ID	NAMES	KEGG	EQUATION	ECs
R02211	Progesterone,hydrogen-donor:oxygen oxidoreductase (17-alpha-hydroxylating)	R02211	C00410[0] + C00030[0] + C00007[0] <=> C01176[0] + C00028[0] + C00001[0]	1.14.99.9
R02212	Progesterone,hydrogen-donor:oxygen oxidoreductase (hydroxylating)	R02212	C00410[0] + C00030[0] + C00007[0] <=> C03027[0] + C00028[0] + C00001[0]	1.14.99.4
R02213	Progesterone,hydrogen-donor:oxygen oxidoreductase (21-hydroxylating)	R02213	C00410[0] + C00030[0] + C00007[0] <=> C03205[0] + C00028[0] + C00001[0]	1.14.99.10
R02214	Progesterone,hydrogen-donor:oxygen oxidoreductase (11alpha-hydroxylating)	R02214	C00410[0] + C00030[0] + C00007[0] <=> C03747[0] + C00028[0] + C00001[0]	1.14.99.14
R02215	5beta-Pregnane-3,20-dione:(acceptor) delta4-oxidoreductase	R02215	C05479[0] + C00028[0] <=> C00410[0] + C00030[0]	1.3.99.6
R02216	Pregnenolone:NAD+ 3-oxidoreductase	R02216	C01953[0] + C00003[0] <=> C00410[0] + C00004[0] + C00080[0]	1.1.1.145|5.3.3.1
R02218	progesterone,reduced ferredoxin:oxygen oxidoreductase (11-hydroxylating)	R02218	C00410[0] + C00138[0] + C00007[0] <=> C05498[0] + C00139[0] + C00001[0]	1.14.15.4
R02219	3-Oxo-5beta-steroid:NADP+ delta4-oxidoreductase|3-Oxo-5beta-steroid: (acceptor) delta4-oxidoreductase	R02219	C00410[0] + C00005[0] + C00080[0] <=> C05479[0] + C00006[0]	1.3.1.3|1.3.99.6
R02220	sinapoyl aldehyde:NADP+ oxidoreductase (CoA-sinapoylating)	R02220	C05610[0] + C00010[0] + C00006[0] <=> C00411[0] + C00005[0] + C00080[0]	1.2.1.44
R02221	Sinapate:CoA ligase (AMP-forming)	R02221	C00002[0] + C00482[0] + C00010[0] <=> C00020[0] + C00013[0] + C00411[0]	6.2.1.12
R02222	steroyl-CoA,hydrogen-donor:oxygen oxidoreductase	R02222	C00412[0] + (2) C00999[0] + C00007[0] + (2) C00080[0] <=> C00510[0] + (2) C00996[0] + (2) C00001[0]	1.14.19.1
R02223	Stearoyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing)	R02223	C00412[0] + C00083[0] + (2) C00004[0] + (2) C00080[0] <=> C02041[0] + C00011[0] + (2) C00003[0] + C00010[0] + C00001[0]	2.3.1.119
R02224	Stearoyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing)	R02224	C00412[0] + C00083[0] + (2) C00005[0] + (2) C00080[0] <=> C02041[0] + C00011[0] + (2) C00006[0] + C00010[0] + C00001[0]	2.3.1.119
R02225	ATP:streptomycin 6-phosphotransferase	R02225	C00002[0] + C00413[0] <=> C00008[0] + C01138[0]	2.7.1.72
R02226	ATP:streptomycin 3''-adenylyltransferase	R02226	C00002[0] + C00413[0] <=> C00013[0] + C03462[0]	2.7.7.47
R02227	ATP:streptomycin 3''-phosphotransferase	R02227	C00002[0] + C00413[0] <=> C00008[0] + C03731[0]	2.7.1.87
R02228	Streptomycin-6-phosphate phosphohydrolase	R02228	C01138[0] + C00001[0] <=> C00413[0] + C00009[0]	3.1.3.39
R02229	cyclohexanol:NAD+ oxidoreductase	R02229	C00414[0] + C00004[0] + C00080[0] <=> C00854[0] + C00003[0]	1.1.1.90|1.1.1.245
R02231	Cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)	R02231	C00414[0] + C00007[0] + C00005[0] + C00080[0] <=> C01880[0] + C00006[0] + C00001[0]	1.14.13.22
R02232	(1-Hydroxycyclohexan-1-yl)acetyl-CoA cyclohexanone-lyase	R02232	C04316[0] <=> C00024[0] + C00414[0]	4.1.3.35
R02233	Cyclohexylamine:oxygen oxidoreductase (deaminating)	R02233	C00571[0] + C00007[0] + C00001[0] <=> C00414[0] + C00027[0] + C00014[0]	1.4.3.12
R02234	Cyclohexanone:(acceptor) 2-oxidoreductase	R02234	C00414[0] + C00028[0] <=> C02395[0] + C00030[0]	1.3.99.14
R02235	dihydrofolate:NAD+ oxidoreductase	R02235	C00415[0] + C00003[0] <=> C00504[0] + C00004[0] + C00080[0]	1.5.1.3
R02236	dihydrofolate:NADP+ oxidoreductase	R02236	C00415[0] + C00006[0] <=> C00504[0] + C00005[0] + C00080[0]	1.5.1.3
R02237	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)	R02237	C00002[0] + C00921[0] + C00025[0] <=> C00008[0] + C00009[0] + C00415[0]	6.3.2.12|6.3.2.17
R02238	Formate:dihydrofolate ligase (ADP-forming)	R02238	C00002[0] + C00058[0] + C00415[0] <=> C00008[0] + C00009[0] + C03204[0]	6.3.4.17
R02239	1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase	R02239	C00416[0] + C00001[0] <=> C00641[0] + C00009[0]	3.1.3.4|3.1.3.81
R02240	ATP:1,2-diacylglycerol 3-phosphotransferase	R02240	C00002[0] + C00641[0] <=> C00008[0] + C00416[0]	2.7.1.107
R02241	acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase	R02241	C00416[0] + C00010[0] <=> C00681[0] + C00040[0]	2.3.1.51
R02242	Acyl-CoA:2-acyl-sn-glycerol-3-phosphate O-acyltransferase	R02242	C00040[0] + C03974[0] <=> C00010[0] + C00416[0]	2.3.1.52
R02243	cis-Aconitate carboxy-lyase	R02243	C00417[0] <=> C00490[0] + C00011[0]	4.1.1.6
R02244	trans-Aconitate delta2-delta3-isomerase	R02244	C02341[0] <=> C00417[0]	5.3.3.7
R02245	ATP:(R)-mevalonate 5-phosphotransferase	R02245	C00002[0] + C00418[0] <=> C00008[0] + C01107[0]	2.7.1.36
R02246	(R)-Mevalonate:NAD+ oxidoreductase	R02246	C00418[0] + C00003[0] <=> C00772[0] + C00004[0] + C00080[0]	1.1.1.32
R02247	(R)-Mevalonate:NADP+ oxidoreductase	R02247	C00418[0] + C00006[0] <=> C00772[0] + C00005[0] + C00080[0]	1.1.1.33
R02248	Polynucleotide 3'-phosphohydrolase	R02248	C03463[0] + C00001[0] <=> C00419[0] + C00009[0]	3.1.3.32
R02249	5'-Phosphopolynucleotide 5'-phosphohydrolase	R02249	C03475[0] + C00001[0] <=> C00419[0] + C00009[0]	3.1.3.33
R02250	triacylglycerol acylhydrolase	R02250	C00422[0] + C00001[0] <=> C00641[0] + C00162[0]	3.1.1.3
R02251	acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase	R02251	C00422[0] + C00010[0] <=> C00641[0] + C00040[0]	2.3.1.20
R02252	phenylpropanoate:NAD+ delta2-oxidoreductase	R02252	C05629[0] + C00003[0] <=> C00423[0] + C00004[0] + C00080[0]	1.3.1.31
R02253	trans-cinnamate,NADPH:oxygen oxidoreductase (4-hydroxylating)	R02253	C00423[0] + C00007[0] + C00005[0] + C00080[0] <=> C00811[0] + C00006[0] + C00001[0]	1.14.13.11
R02254	trans-Cinnamate,NADPH:oxygen oxidoreductase (2-hydroxylating)	R02254	C00423[0] + C00007[0] + C00005[0] + C00080[0] <=> C01772[0] + C00006[0] + C00001[0]	1.14.13.14
R02255	trans-Cinnamate:CoA ligase (AMP-forming)	R02255	C00002[0] + C00423[0] + C00010[0] <=> C00020[0] + C00013[0] + C00540[0]	6.2.1.12
R02256	UDPglucose:trans-cinnamate beta-D-glucosyltransferase	R02256	C00029[0] + C00423[0] <=> C00015[0] + C04164[0]	2.4.1.177
R02257	Propane-1,2-diol:NAD+ oxidoreductase	R02257	C00583[0] + C00003[0] <=> C00424[0] + C00004[0] + C00080[0]	1.1.1.77
R02258	(S)-Propane-1,2-diol:NAD+ oxidoreductase	R02258	C02917[0] + C00003[0] <=> C00424[0] + C00004[0] + C00080[0]	1.1.1.77
R02259	Propane-1,2-diol:NADP+ oxidoreductase	R02259	C00583[0] + C00006[0] <=> C00424[0] + C00005[0] + C00080[0]	1.1.1.55
R02260	(S)-lactaldehyde:NADP+ oxidoreductase	R02260	C00424[0] + C00006[0] <=> C00546[0] + C00005[0] + C00080[0]	1.1.1.283|1.2.1.49
R02261	2-dehydro-3-deoxy-L-rhamnonate (S)-lactaldehyde lyase (pyruvate-forming)	R02261	C03979[0] <=> C00424[0] + C00022[0]	4.1.2.53
R02262	L-Fuculose-1-phosphate lactaldehyde-lyase	R02262	C01099[0] <=> C00111[0] + C00424[0]	4.1.2.17
R02263	L-Rhamnulose-1-phosphate lactaldehyde-lyase	R02263	C01131[0] <=> C00111[0] + C00424[0]	4.1.2.19
R02264		R02264	C00427[0] + C00030[0] <=> C00639[0] + C00028[0]	null
R02265	(5Z,13E)-(15S)-9alpha,11alpha-epidioxy-15-hydroxyprosta-5,13- dienoate E-isomerase	R02265	C00427[0] <=> C00584[0]	5.3.99.3
R02266	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate D-isomerase	R02266	C00427[0] <=> C00696[0]	5.3.99.2
R02267	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate 6-isomerase	R02267	C00427[0] <=> C01312[0]	5.3.99.4
R02268	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-thromboxane-A2-isomerase	R02268	C00427[0] <=> C02198[0]	5.3.99.5
R02269	5,6-Dihydrouracil amidohydrolase	R02269	C00429[0] + C00001[0] <=> C02642[0]	3.5.2.2
R02271	5-Aminolevulinate:pyruvate aminotransferase	R02271	C00430[0] + C00022[0] <=> C02800[0] + C00041[0]	2.6.1.43
R02272	(S)-4-Amino-5-oxopentanoate 4,5-aminomutase	R02272	C00430[0] <=> C03741[0]	5.4.3.8
R02273	5-Aminopentanamide amidohydrolase	R02273	C00990[0] + C00001[0] <=> C00431[0] + C00014[0]	3.5.1.30
R02274	5-Aminopentanoate:2-oxoglutarate aminotransferase	R02274	C00431[0] + C00026[0] <=> C03273[0] + C00025[0]	2.6.1.48
R02276	5-Acetamidopentanoate amidohydrolase	R02276	C03087[0] + C00001[0] <=> C00033[0] + C00431[0]	3.5.1.63
R02277	Secondary-alcohol:oxygen oxidoreductase	R02277	C01612[0] + C00007[0] <=> C01450[0] + C00027[0]	1.1.3.18
R02278	2-Dehydro-3-deoxy-L-arabinonate hydro-lyase	R02278	C00684[0] <=> C00433[0] + C00001[0]	4.2.1.43
R02279	5-Dehydro-4-deoxy-D-glucarate hydro-lyase (decarboxylating)	R02279	C00679[0] <=> C00433[0] + C00001[0] + C00011[0]	4.2.1.41
R02280	1-Pyrroline-4-hydroxy-2-carboxylate aminohydrolase (decyclizing)	R02280	C04282[0] + C00001[0] <=> C00433[0] + C00014[0]	3.5.4.22
R02281	Alkane,reduced-rubredoxin:oxygen 1-oxidoreductase	R02281	C01371[0] + C00340[0] + C00007[0] <=> C00435[0] + C00226[0] + C00001[0]	1.14.15.3
R02282	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase	R02282	C00437[0] + C00025[0] <=> C00077[0] + C00624[0]	2.3.1.35
R02283	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase	R02283	C00437[0] + C00026[0] <=> C01250[0] + C00025[0]	2.6.1.11
R02284	L-5-Carboxymethylhydantoin amidohydrolase	R02284	C03703[0] + C00001[0] <=> C00438[0]	3.5.2.4
R02285	N-Formimino-L-glutamate formiminohydrolase	R02285	C00439[0] + C00001[0] <=> C00025[0] + C00488[0]	3.5.3.8
R02286	N-Formimino-L-glutamate iminohydrolase	R02286	C00439[0] + C00001[0] <=> C01045[0] + C00014[0]	3.5.3.13
R02287	5-Formiminotetrahydrofolate:L-glutamate N-formiminotransferase	R02287	C00664[0] + C00025[0] <=> C00101[0] + C00439[0]	2.1.2.5
R02288	4-imidazolone-5-propanoate amidohydrolase	R02288	C03680[0] + C00001[0] <=> C00439[0]	3.5.2.7
R02289	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	R02289	C00440[0] + C06021[0] + C00080[0] <=> C06020[0] + C00101[0]	2.1.1.258
R02291	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	R02291	C00441[0] + C00009[0] + C00006[0] <=> C03082[0] + C00005[0] + C00080[0]	1.2.1.11
R02293	L-2,4-Diaminobutanoate:pyruvate aminotransferase	R02293	C03283[0] + C00022[0] <=> C00441[0] + C00041[0]	2.6.1.46
R02294	N-Ribosylnicotinamide:orthophosphate ribosyltransferase	R02294	C03150[0] + C00009[0] <=> C00153[0] + C00620[0]	2.4.2.1
R02295	Nicotinate D-ribonucleoside:orthophosphate ribosyltransferase	R02295	C05841[0] + C00009[0] <=> C00253[0] + C00620[0] + C00080[0]	2.4.2.1
R02296	Cytidine:orthophosphate alpha-D-ribosyltransferase	R02296	C00475[0] + C00009[0] <=> C00380[0] + C00620[0]	2.4.2.2
R02297	Xanthosine:orthophosphate ribosyltransferase	R02297	C01762[0] + C00009[0] <=> C00385[0] + C00620[0]	2.4.2.1|2.4.2.-
R02298	Pyrimidine-nucleoside:orthophosphate alpha-D-ribosyltransferase	R02298	C03169[0] + C00009[0] <=> C00396[0] + C00620[0] + C00080[0]	2.4.2.2
R02300	S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)	R02300	C03479[0] <=> C00445[0] + C00001[0]	2.1.2.10
R02301	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming)	R02301	C00002[0] + C03479[0] + C00080[0] <=> C00008[0] + C00009[0] + C00445[0]	6.3.3.2
R02302	5-Formiminotetrahydrofolate ammonia-lyase (cyclizing)	R02302	C00664[0] + C00080[0] <=> C00445[0] + C00014[0]	4.3.1.4
R02303	ATP:farnesyl-diphosphate phosphotransferase	R02303	C00002[0] + C00448[0] <=> C00008[0] + C03115[0]	2.7.4.18
R02305	2-trans,6-trans-farnesyldiphosphate diphosphate-lyase (cyclizing, pentalenene-forming)	R02305	C00448[0] <=> C01841[0] + C00013[0]	4.2.3.7
R02306	trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizing, trichodiene-forming)	R02306	C00448[0] <=> C01860[0] + C00013[0]	4.2.3.6
R02307	trans,trans-Farnesyl-diphosphate farnesyltransferase (bicyclizing)	R02307	C00448[0] <=> C02004[0] + C00013[0]	4.2.3.9
R02310	trans,trans-Farnesyl-diphosphate sesquiterpenoid-lyase (isomerizing)	R02310	C00448[0] <=> C06111[0]	5.5.1.-
R02311	2-trans,6-trans-Farnesyl-diphosphate diphosphate-lyase (cyclizing, (+)-delta-cadinene-forming)	R02311	C00448[0] <=> C06394[0] + C00013[0]	4.2.3.13
R02313	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase|N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-glutamate-forming)	R02313	C00449[0] + C00003[0] + C00001[0] <=> C00025[0] + C04076[0] + C00004[0] + C00080[0]	1.5.1.9
R02315	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase	R02315	C00449[0] + C00006[0] + C00001[0] <=> C00025[0] + C04076[0] + C00005[0] + C00080[0]	1.5.1.10
R02317	(S)-2-Amino-6-oxohexanoate hydro-lyase (spontaneous)	R02317	C00450[0] + C00001[0] <=> C04076[0]	1.4.1.18
R02318	(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate 1-epimerase	R02318	C00451[0] <=> C04617[0]	5.1.2.6
R02319	NTP phosphohydrolase	R02319	C00201[0] + C00001[0] <=> C00454[0] + C00009[0]	3.6.1.5|3.6.1.15
R02320	NTP:pyruvate O2-phosphotransferase	R02320	C00201[0] + C00022[0] <=> C00454[0] + C00074[0]	2.7.1.40
R02321	NTP:deoxycitidine 5'-phosphotransferase	R02321	C00201[0] + C00881[0] <=> C00454[0] + C00239[0]	2.7.1.74
R02322	nicotinamide-D-ribonucleotide amidohydrolase	R02322	C00455[0] + C00001[0] <=> C01185[0] + C00014[0]	3.5.1.42
R02323	Nicotinamide ribonucleotide phosphohydrolase	R02323	C00455[0] + C00001[0] <=> C03150[0] + C00009[0]	3.1.3.5|3.1.3.-
R02324	ATP:N-ribosylnicotinamide 5'-phosphotransferase	R02324	C00002[0] + C03150[0] <=> C00008[0] + C00455[0]	2.7.1.22
R02325	dCTP aminohydrolase	R02325	C00458[0] + C00001[0] <=> C00460[0] + C00014[0]	3.5.4.13
R02326	ATP:dCDP phosphotransferase	R02326	C00002[0] + C00705[0] <=> C00008[0] + C00458[0]	2.7.4.6
R02327	dCTP:uridine 5'-phosphotransferase	R02327	C00458[0] + C00299[0] <=> C00705[0] + C00105[0]	2.7.1.48
R02328	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase	R02328	C00459[0] + C00103[0] <=> C00013[0] + C00842[0]	2.7.7.24
R02329	dTTP:alpha-D-galactose-1-phosphate thymidylyltransferase	R02329	C00459[0] + C00446[0] <=> C00013[0] + C02097[0]	2.7.7.32
R02330	dUTP nucleotidohydrolase	R02330	C00460[0] + C00001[0] <=> C01346[0] + C00009[0]	3.6.1.39
R02331	ATP:dUDP phosphotransferase	R02331	C00002[0] + C01346[0] <=> C00008[0] + C00460[0]	2.7.4.6
R02332	dUTP:uridine 5'-phosphotransferase	R02332	C00460[0] + C00299[0] <=> C01346[0] + C00105[0]	2.7.1.48
R02333	Chitin amidohydrolase	R02333	C00461[0] + C00001[0] <=> C00734[0] + C00033[0]	3.5.1.41
R02334	[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase	R02334	C00461[0] + C00001[0] <=> C03518[0] + C00461[0]	3.2.1.14
R02335	UDP-N-acetyl-D-glucosamine:chitin 4-beta-N-acetylglucosaminyl-transferase	R02335	C00043[0] + C00461[0] <=> C00015[0] + C00461[0]	2.4.1.16
R02336	Haloacetate halidohydrolase	R02336	C01812[0] + C00001[0] <=> C00160[0] + C00462[0]	3.8.1.3
R02337	1-Haloalkane halidohydrolase	R02337	C01872[0] + C00001[0] <=> C00226[0] + C00462[0]	3.8.1.5
R02338	Indole:oxygen 2,3-oxidoreductase (decyclizing)	R02338	C00463[0] + C00007[0] <=> C03574[0]	1.13.11.17
R02339		R02339	C00463[0] + C00007[0] + C00005[0] + C00080[0] <=> C05658[0] + C00001[0] + C00006[0]	1.14.16.-
R02340	(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase	R02340	C03506[0] <=> C00463[0] + C00118[0]	4.1.2.8|4.2.1.20
R02341	N-D-ribosylpurine ribohydrolase	R02341	C15586[0] + C00001[0] <=> C15587[0] + C00121[0]	3.2.2.1
R02343	Acetoin:NAD+ oxidoreductase	R02343	C00466[0] + C00003[0] <=> C00741[0] + C00004[0] + C00080[0]	null
R02344	(S,S)-butane-2,3-diol:NAD+ oxidoreductase	R02344	C03046[0] + C00003[0] <=> C00466[0] + C00004[0] + C00080[0]	null
R02345	3-Hydroxybutan-2-one:D-ribose-5-phosphate aldehydetransferase	R02345	C00466[0] + C00117[0] <=> C00084[0] + C04359[0]	2.2.1.4
R02347	Estradiol-17alpha:NAD+ 17-oxidoreductase	R02347	C02537[0] + C00003[0] <=> C00468[0] + C00004[0] + C00080[0]	1.1.1.148
R02349	Estradiol-17alpha:NADP+ 16-oxidoreductase	R02349	C02537[0] + C00006[0] <=> C00468[0] + C00005[0] + C00080[0]	1.1.1.148
R02350	3'-Phosphoadenylylsulfate:estrone 3-sulfotransferase	R02350	C00053[0] + C00468[0] <=> C00054[0] + C02538[0]	2.8.2.4|2.8.2.15
R02351	19-oxoandrostenedione,reduced-flavoprotein:oxygen oxidoreductase (aromatizing, formate-forming)	R02351	C00468[0] + C00058[0] + C03161[0] + C00001[0] <=> C05297[0] + C00007[0] + C03024[0]	1.14.14.14
R02352	Estradiol-17beta:NAD+ 17-oxidoreductase	R02352	C00951[0] + C00003[0] <=> C00468[0] + C00004[0] + C00080[0]	1.1.1.51|1.1.1.62
R02353	Estradiol-17beta:NADP+ 17-oxidoreductase	R02353	C00951[0] + C00006[0] <=> C00468[0] + C00005[0] + C00080[0]	1.1.1.51|1.1.1.62
R02354		R02354	C00468[0] + C00080[0] + C00007[0] + C00004[0] <=> C05298[0] + C00003[0] + C00001[0]	1.14.14.1
R02355		R02355	C00468[0] + C00080[0] + C00007[0] + C00005[0] <=> C05298[0] + C00006[0] + C00001[0]	1.14.14.1
R02356		R02356	C00468[0] + C00080[0] + C00007[0] + C00005[0] <=> C05300[0] + C00006[0] + C00001[0]	1.14.13.-|1.14.14.1
R02358	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	R02358	C00468[0] + C00167[0] <=> C11133[0] + C00015[0]	2.4.1.17
R02359	Urethane amidohydrolase (decarboxylating)	R02359	C01537[0] + C00001[0] <=> C00469[0] + C00011[0] + C00014[0]	3.5.1.75
R02360	Poly(1,4-alpha-D-galacturonate) glycanohydrolase	R02360	C00470[0] + C00001[0] <=> C02273[0] + C00470[0]	3.2.1.15
R02361	(1->4)-alpha-D-galacturonan reducing-end-disaccharide-lyase	R02361	C00470[0] <=> C06118[0] + C00470[0]	4.2.2.2|4.2.2.9
R02362	Pectin pectylhydrolase	R02362	C00714[0] + C00001[0] <=> C00132[0] + C00470[0]	3.1.1.11
R02363	Hydroquinone:oxygen oxidoreductase	R02363	(2) C00530[0] + C00007[0] <=> (2) C00472[0] + (2) C00001[0]	1.14.18.1
R02364	NADPH2:quinone oxidoreductase	R02364	(2) C15602[0] + C00005[0] + C00080[0] <=> (2) C05309[0] + C00006[0]	1.6.5.5
R02365	Cellobiose:quinone 1-oxidoreductase	R02365	C00185[0] + C15602[0] <=> C01093[0] + C15603[0]	1.1.99.18
R02366	Acyl-CoA:retinol O-acyltransferase	R02366	C00040[0] + C00473[0] <=> C00010[0] + C02075[0]	2.3.1.76
R02367	Palmitoyl-CoA:retinol O-acyltransferase	R02367	C00154[0] + C00473[0] <=> C00010[0] + C02588[0]	2.3.1.76
R02368	retinyl-palmitate palmitohydrolase	R02368	C02588[0] + C00001[0] <=> C00473[0] + C00249[0]	3.1.1.-
R02369	all-trans-Retinol 11-cis-trans-isomerase	R02369	C00473[0] <=> C00899[0]	null
R02370	Cytidine 3'-phosphate phosphohydrolase	R02370	C05822[0] + C00001[0] <=> C00475[0] + C00009[0]	3.1.3.6
R02371	dCTP:cytidine 5'-phosphotransferase	R02371	C00458[0] + C00475[0] <=> C00705[0] + C00055[0]	2.7.1.48
R02372	dUTP:cytidine 5'-phosphotransferase	R02372	C00460[0] + C00475[0] <=> C01346[0] + C00055[0]	2.7.1.48
R02373	ecdysone:oxygen 3-oxidoreductase	R02373	C00477[0] + C00007[0] <=> C02513[0] + C00027[0]	1.1.3.16
R02374	Ecdysone, hydrogen-donor:oxygen oxidoreductase (20-hydroxylating)	R02374	C00477[0] + C00030[0] + C00007[0] <=> C02633[0] + C00028[0] + C00001[0]	1.14.99.22
R02375	Palmitoyl-CoA:ecdysone O-palmitoyltransferase	R02375	C00154[0] + C00477[0] <=> C00010[0] + C02681[0]	2.3.1.139
R02376	propane-1,2-diol hydro-lyase	R02376	C00583[0] <=> C00479[0] + C00001[0]	4.2.1.28
R02377	Propane-1,3-diol:NAD+ 1-oxidoreductase	R02377	C05979[0] + C00003[0] <=> C00479[0] + C00004[0] + C00080[0]	1.1.1.202
R02378	L-Serine hydro-lyase (adding pyrazole)	R02378	C00065[0] + C00481[0] <=> C01162[0] + C00001[0]	4.2.1.50
R02379	S-Adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	R02379	C00019[0] + C05619[0] <=> C00021[0] + C00482[0]	2.1.1.68
R02380	UDPglucose:sinapate D-glucosyltransferase	R02380	C00029[0] + C00482[0] <=> C00015[0] + C01175[0]	2.4.1.120|2.4.1.126
R02381	Sinapoylcholine sinapohydrolase	R02381	C00933[0] + C00001[0] <=> C00482[0] + C00114[0]	3.1.1.49
R02382	Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing)	R02382	C00483[0] + C00001[0] + C00007[0] <=> C03765[0] + C00014[0] + C00027[0]	1.4.3.4|1.4.3.21|1.4.9.2
R02383	Monophenol,L-dopa:oxygen oxidoreductase	R02383	C00483[0] + C00007[0] + C00004[0] + C00080[0] <=> C03758[0] + C00003[0] + C00001[0]	1.14.13.-|1.14.18.1
R02384	S-Adenosyl-L-methionine:tyramine N-methyltransferase	R02384	C00019[0] + C00483[0] <=> C00021[0] + C02442[0]	2.1.1.27
R02385	Feruloyl-CoA:tyramine N-(hydroxycinnamoyl)transferase	R02385	C00406[0] + C00483[0] <=> C00010[0] + C02717[0]	2.3.1.110
R02387	Acetyl-CoA:arylamine N-acetyltransferase	R02387	C00024[0] + C00292[0] <=> C00010[0] + C07565[0]	2.3.1.5
R02388	UDPglucose:arylamine N-D-glucosyltransferase	R02388	C00029[0] + C00292[0] <=> C00015[0] + C03142[0]	2.4.1.71
R02389	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	R02389	(2) C00167[0] + C00486[0] <=> (2) C00015[0] + C05787[0]	2.4.1.17
R02391	Bilirubin:NAD+ oxidoreductase	R02391	C00486[0] + C00003[0] <=> C00500[0] + C00004[0] + C00080[0]	1.3.1.24
R02393	Bilirubin:NADP+ oxidoreductase	R02393	C00486[0] + C00006[0] <=> C00500[0] + C00005[0] + C00080[0]	1.3.1.24
R02394	Bilirubin:oxygen oxidoreductase	R02394	(2) C00486[0] + C00007[0] <=> (2) C00500[0] + (2) C00001[0]	1.3.3.5
R02395	Carnitine:NAD+ 3-oxidoreductase	R02395	C00487[0] + C00003[0] <=> C02636[0] + C00004[0] + C00080[0]	1.1.1.108
R02396	Acetyl-CoA:carnitine O-acetyltransferase	R02396	C00024[0] + C00487[0] <=> C00010[0] + C02571[0]	2.3.1.7
R02397	4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	R02397	C01181[0] + C00026[0] + C00007[0] <=> C00487[0] + C00042[0] + C00011[0]	1.14.11.1
R02398	Carnitine carboxy-lyase	R02398	C00487[0] <=> C02224[0] + C00011[0]	4.1.1.42
R02401	glutarate-semialdehyde:NAD+ oxidoreductase	R02401	C03273[0] + C00003[0] + C00001[0] <=> C00489[0] + C00004[0] + C00080[0]	1.2.1.20
R02402	Glutarate:CoA ligase (ADP-forming)	R02402	C00002[0] + C00489[0] + C00010[0] <=> C00008[0] + C00009[0] + C00527[0]	6.2.1.6
R02404	Itaconate:CoA ligase (ADP-forming)	R02404	C00002[0] + C00490[0] + C00010[0] <=> C00008[0] + C00009[0] + C00531[0]	6.2.1.5
R02405	Itaconate:CoA ligase (GDP-forming)	R02405	C00044[0] + C00490[0] + C00010[0] <=> C00035[0] + C00009[0] + C00531[0]	6.2.1.4
R02406	Itaconate:CoA ligase (IDP-forming)	R02406	C00081[0] + C00490[0] + C00010[0] <=> C00104[0] + C00009[0] + C00531[0]	6.2.1.4
R02407	succinyl-CoA:itaconate CoA-transferase	R02407	C00091[0] + C00490[0] <=> C00042[0] + C00531[0]	2.8.3.-
R02408	L-Cystine L-Cysteine-lyase (deaminating)	R02408	C00491[0] + C00001[0] <=> C00022[0] + C00014[0] + C01962[0]	4.4.1.1|4.4.1.8
R02409	Coenzyme A:oxidized-glutathione oxidoreductase	R02409	C00491[0] + C00059[0] <=> C05824[0] + C00097[0]	1.8.4.3
R02410	Raffinose fructohydrolase	R02410	C00492[0] + C00001[0] <=> C05402[0] + C00095[0]	3.2.1.26
