ID	NAMES	METACYC	EQUATION	ECs
RXN-8930		RXN-8930	CPD-809[0] + WATER[0] <=> CPD-578[0] + AMMONIUM[0]	EC-3.5.1.84
ACETOIN-RACEMASE-RXN		ACETOIN-RACEMASE-RXN	CPD-255[0] <=> CPD-10353[0]	EC-5.1.2.4
RXN-18626		RXN-18626	STRICTOSIDINE-AGLYCONE[0] => CPD-7859[0]	-
RXN-9743	2-hydroxylamino-4,6-dinitrotoluene 2-O-glucosyltransferase	RXN-9743	CPD-12575[0] + CPD-10447[0] <=> CPD-10448[0] + UDP[0] + PROTON[0]	EC-2.4.1
RXN-15538		RXN-15538	S-SCOULERINE[0] + Red-NADPH-Hemoprotein-Reductases[0] + OXYGEN-MOLECULE[0] => CPD-16783[0] + Ox-NADPH-Hemoprotein-Reductases[0] + (2) WATER[0]	EC-1.14.19.73
RXN-12575	all-trans retinyl-ester hydrolase	RXN-12575	All-trans-Retinyl-Esters[0] + WATER[0] => CPD-13524[0] + Fatty-Acids[0] + PROTON[0]	EC-3.1.1.1
RXN-15079		RXN-15079	CPD-15966[0] + NADPH[0] + OXYGEN-MOLECULE[0] <=> CPD-15967[0] + NADP[0] + WATER[0]	EC-1.14.13
RXN-11707		RXN-11707	CPD-55[0] + NAD-P-OR-NOP[0] + ACP[0] <=> Stearoyl-ACPs[0] + NADH-P-OR-NOP[0] + PROTON[0]	EC-1.2.1.80
RXN-12847		RXN-12847	EPOXYSQUALENE[0] <=> CPD-13885[0]	EC-5.4.99.55
RXN-7965		RXN-7965	Aldopyranoses[0] + Acceptor[0] <=> 3-Dehydropyranoses[0] + Donor-H2[0]	EC-1.1.99.29
RXN-5501		RXN-5501	S-ADENOSYLMETHIONINE[0] + CPD-3161[0] <=> (2) PROTON[0] + CPD-5421[0] + ADENOSYL-HOMO-CYS[0]	EC-2.1.1
RXN-14477		RXN-14477	ENTEROBACTIN[0] + WATER[0] <=> CPD0-2483[0] + PROTON[0]	EC-3.1.1
RXN-10889	3-methylgallate 3,4-dioxygenase	RXN-10889	CPD-721[0] + OXYGEN-MOLECULE[0] <=> PROTON[0] + CPD-13530[0]	-
RXN-15102		RXN-15102	CPD-13776[0] + CPD-15995[0] => CPD-13834[0] + TDP[0] + PROTON[0]	EC-2.4.1.277
1.10.1.1-RXN		1.10.1.1-RXN	--TRANS-ACENAPHTHENE-12-DIOL[0] + (2) NADP[0] <=> ACENAPHTHENEQUINONE[0] + (2) NADPH[0] + (2) PROTON[0]	EC-1.10.1.1
RXN-8450		RXN-8450	CPD-7087[0] + 2-KETOGLUTARATE[0] + OXYGEN-MOLECULE[0] <=> MYRICETIN[0] + SUC[0] + CARBON-DIOXIDE[0] + WATER[0]	EC-1.14.20.6
NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN		NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN	2-Deoxy-D-Ribosyl-Base[0] + Bases[0] => 2-Deoxy-D-Ribosyl-Base[0] + Bases[0]	EC-2.4.2.6
2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN		2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN	2-KETOGLUTARATE[0] + L-2-AMINOHEXANOATE[0] <=> GLT[0] + 2-OXOHEXANOATE[0]	EC-2.6.1.67
RXNQT-4323		RXNQT-4323	CPDQT-410[0] + WATER[0] => CPDQT-415[0] + PYRUVATE[0] + AMMONIUM[0]	EC-4.4.1.13
3.4.21.75-RXN		3.4.21.75-RXN	WATER[0] + protein-precursor[0] => mature-protein[0] + Peptides-holder[0]	EC-3.4.21.75
RXN-10998		RXN-10998	CPD-11956[0] + ATP[0] <=> PROTON[0] + CPD-11957[0] + AMP[0] + PPI[0]	EC-6.3.3
RXN-16155		RXN-16155	CPD-17402[0] <=> CPD-17403[0] + WATER[0]	EC-4.2.1.134
RXN-4101		RXN-4101	CPD-696[0] + Demethylated-methyl-acceptors[0] <=> CYCLOEUCALENOL[0] + Methylated-methyl-acceptors[0]	EC-2.1.1
RXN-18274		RXN-18274	CPD-14795[0] + Ganglioside-GD3[0] => Ganglioside-GD2[0] + PROTON[0] + UDP[0]	EC-2.4.1.92
RXN-9802		RXN-9802	16-HYDROXYPALMITATE[0] + NADP[0] <=> CPD-10512[0] + NADPH[0] + PROTON[0]	EC-1.1.1
RXN-7911		RXN-7911	TRANS-D2-ENOYL-COA[0] + NADP[0] <= TETRADEHYDROACYL-COA[0] + NADPH[0] + PROTON[0]	EC-1.3.1.34
RXN-16256	maackiain reductase	RXN-16256	CPD-3631[0] + NADPH[0] + PROTON[0] <=> CPD-17502[0] + NADP[0]	EC-1.1.1
3.2.1.146-RXN		3.2.1.146-RXN	Beta-Galactofuranosides[0] + WATER[0] => D-galactopyranose[0] + Non-Galactosylated-Galactose-Acceptors[0]	EC-3.2.1.146
RXN-8720		RXN-8720	(4) CPD-8949[0] + OXYGEN-MOLECULE[0] <=> (2) CPD-8950[0] + (2) WATER[0]	EC-1.10.3
KETOHEXOKINASE-RXN		KETOHEXOKINASE-RXN	BETA-D-FRUCTOSE[0] + ATP[0] <=> PROTON[0] + FRU1P[0] + ADP[0]	EC-2.7.1.3
METHYLGUTAMATE-DEHYDROGENASE-RXN		METHYLGUTAMATE-DEHYDROGENASE-RXN	WATER[0] + Acceptor[0] + CPD-404[0] <=> GLT[0] + Donor-H2[0] + FORMALDEHYDE[0]	EC-1.5.99.5
RXN-8075		RXN-8075	GAP[0] <=> CPD-10807[0] + Pi[0]	EC-4.2.3
RXN-15678		RXN-15678	PHE[0] + SER[0] + (2) ATP[0] <=> CPD-17043[0] + (2) ADP[0] + (2) Pi[0] + (2) PROTON[0]	EC-6.3.2
RXN0-5074		RXN0-5074	XTP[0] + WATER[0] => PROTON[0] + XDP[0] + Pi[0]	EC-3.6.1
RXN18HP-9		RXN18HP-9	CPD-4211[0] + CPD-19285[0] + WATER[0] + Acceptor[0] => CPD-19251[0] + PPI[0] + Donor-H2[0]	EC-2.5.1.cb
RXN-19413		RXN-19413	CPD-20977[0] + WATER[0] <=> CPD-20982[0] + PROTON[0]	EC-3.1.1
RXN-4621		RXN-4621	CPD-4209[0] + FAD[0] + WATER[0] + PROTON[0] <=> PRENAL[0] + ADENINE[0] + FADH2[0]	EC-1.5.99
2.4.1.39-RXN		2.4.1.39-RXN	UDP-N-ACETYL-D-GLUCOSAMINE[0] + ESTRADIOL-ETCETERA-GLUCURONOSIDE[0] <=> ALPHA-N-ACETYL-ETCETERA-ESTRADIOL-GLUCUR[0] + UDP[0] + PROTON[0]	EC-2.4.1.39
RXN-15427		RXN-15427	ALL-TRANS-PENTAPRENYL-DIPHOSPHATE[0] + WATER[0] <=> CPD-16664[0] + PPI[0]	EC-4.2.3.145
RXN-11052		RXN-11052	CPD-712[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] => CPD-720[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14.147
RXN-18633		RXN-18633	CPD-19928[0] <=> CPD-19926[0] + WATER[0]	-
RXN-17657		RXN-17657	CPD-7287[0] + (2) Reduced-ferredoxins[0] + OXYGEN-MOLECULE[0] + (2) PROTON[0] <=> CPD-19075[0] + (2) Oxidized-ferredoxins[0] + (2) WATER[0]	-
RXN0-6274		RXN0-6274	CPD-4211[0] + tRNA-Adenosines-37[0] <=> 6-Dimethylallyladenosine37-tRNAs[0] + PPI[0]	EC-2.5.1.75
METHYLGUANIDINASE-RXN		METHYLGUANIDINASE-RXN	WATER[0] + CPD-593[0] <=> UREA[0] + METHYLAMINE[0]	EC-3.5.3.16
RXN-9500		RXN-9500	S-ADENOSYLMETHIONINE[0] + CPD-4586[0] <=> PROTON[0] + CPD-4587[0] + ADENOSYL-HOMO-CYS[0]	EC-2.1.1.109
RXN-11469		RXN-11469	CPD-7727[0] + WATER[0] <=> CPD-693[0] + Glucopyranose[0] + PROTON[0]	EC-3.2.1.175
UROGENIIISYN-RXN		UROGENIIISYN-RXN	HYDROXYMETHYLBILANE[0] <=> UROPORPHYRINOGEN-III[0] + WATER[0]	EC-4.2.1.75
RXN-17911		RXN-17911	Cyclic-Phosphate-Terminated-RNAs[0] + WATER[0] <=> 3-Prime-Phosphate-Terminated-RNAs[0] + PROTON[0]	-
RXN-14795		RXN-14795	CPD-15683[0] + (2) CO-A[0] + (2) NAD[0] + (2) OXYGEN-MOLECULE[0] + (2) WATER[0] <=> CPD-15684[0] + (2) ACETYL-COA[0] + (2) NADH[0] + (2) HYDROGEN-PEROXIDE[0] + (2) PROTON[0]	-
RXN-17764		RXN-17764	CPD-6995[0] + NAD[0] <=> ERYTHRULOSE[0] + NADH[0] + PROTON[0]	EC-1.1.1.M29
RXN-18603		RXN-18603	an-oxidized-NrfB-protein[0] + E-[0] <=> a-reduced-NrfB-protein[0]	-
ATP-ADENYLYLTRANSFERASE-RXN		ATP-ADENYLYLTRANSFERASE-RXN	PROTON[0] + ATP[0] + ADP[0] <=> Pi[0] + ADENOSYL-P4[0]	EC-2.7.7.53
RXN-9766		RXN-9766	CPD-7670[0] + OXYGEN-MOLECULE[0] + NADPH[0] + PROTON[0] <=> DMSO[0] + WATER[0] + NADP[0]	EC-1.14.13.M46
RXN-1304		RXN-1304	BENZOYL-ACETATE[0] + CO-A[0] + ATP[0] <=> CPD-514[0] + AMP[0] + PPI[0]	-
RXN-15345		RXN-15345	CPD-15318[0] => CPD-16551[0]	-
RXN-19811		RXN-19811	ATP[0] + STEARIC_ACID[0] => ADP[0] + CPD-21425[0]	EC-2.7.2.b
RXN-3624		RXN-3624	S-ADENOSYLMETHIONINE[0] + 2-HYDROXYISOFLAVANONE[0] <=> PROTON[0] + CPD-3502[0] + ADENOSYL-HOMO-CYS[0]	EC-2.1.1.212
PRODISULFREDUCT-RXN		PRODISULFREDUCT-RXN	(2) GLUTATHIONE[0] + Protein-Disulfides[0] => OXIDIZED-GLUTATHIONE[0] + Protein-Dithiols[0]	EC-1.8.4.2
2.4.1.224-RXN		2.4.1.224-RXN	UDP-N-ACETYL-D-GLUCOSAMINE[0] + GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Protein[0] => GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Core[0] + UDP[0] + PROTON[0]	EC-2.4.1.224
DMBPPRIBOSYLTRANS-RXN		DMBPPRIBOSYLTRANS-RXN	NICOTINATE_NUCLEOTIDE[0] + DIMETHYLBENZIMIDAZOLE[0] => ALPHA-RIBAZOLE-5-P[0] + NIACINE[0] + PROTON[0]	EC-2.4.2.21
RXN-7262		RXN-7262	SARCOSINE[0] + Pi[0] + PROTON[0] + Donor-H2[0] <=> METHYLAMINE[0] + ACETYL-P[0] + WATER[0] + Acceptor[0]	EC-1.4.4
R313-RXN		R313-RXN	NIACINAMIDE[0] <=> 3-CYANOPYRIDINE[0] + WATER[0]	EC-4.2.1.84
RXN-14214		RXN-14214	DATP[0] + WATER[0] <=> DADP[0] + Pi[0] + PROTON[0]	-
RXN-11937		RXN-11937	CPD-12912[0] + (2) FERROCYTOCHROME-B5[0] + OXYGEN-MOLECULE[0] + PROTON[0] <=> CPD-12914[0] + (2) FERRICYTOCHROME-B5[0] + WATER[0]	-
RXN-17679		RXN-17679	2R-3R-Dihydroflavonols[0] + 2-KETOGLUTARATE[0] + OXYGEN-MOLECULE[0] <=> Flavonols[0] + SUC[0] + CARBON-DIOXIDE[0] + WATER[0]	EC-1.14.20.6
RXN-12071		RXN-12071	CPD-13034[0] + NAD[0] <=> CPD-10796[0] + NADH[0] + PROTON[0]	EC-1.3.1.87
RXN-18693		RXN-18693	SAMP-C-Terminal-thiol[0] + tRNA-uridine34[0] + ATP[0] + WATER[0] => SAMP-C-Terminal-Glycine[0] + tRNA-2-thiouridine34[0] + AMP[0] + PPI[0] + (2) PROTON[0]	EC-2.8.1.13
RXN-16165		RXN-16165	Initiation-tRNAmet[0] + MET[0] + ATP[0] => L-methionyl-tRNAfmet[0] + PPI[0] + AMP[0]	EC-6.1.1.10
RXN-12693		RXN-12693	CHOLESTEROL[0] + NAD[0] <=> CPD-13684[0] + NADH[0] + PROTON[0]	EC-1.1.1.145
ARYLAMINE-SULFOTRANSFERASE-RXN		ARYLAMINE-SULFOTRANSFERASE-RXN	PAPS[0] + Primary-Amines[0] <=> 3-5-ADP[0] + Sulfamates[0] + (2) PROTON[0]	EC-2.8.2.3
RXN-8905		RXN-8905	CPD-9298[0] + OXYGEN-MOLECULE[0] + WATER[0] <=> CPD-9269[0] + HYDROGEN-PEROXIDE[0]	EC-1.8.3
RXN-17140		RXN-17140	GTP[0] + DGMP[0] <=> GDP[0] + DGDP[0]	EC-2.7.4.M1
MANNPDEHYDROG-RXN		MANNPDEHYDROG-RXN	MANNITOL-1P[0] + NAD[0] <=> PROTON[0] + FRUCTOSE-6P[0] + NADH[0]	EC-1.1.1.17
RXN-18028		RXN-18028	Teichoic-P-Gro-Glc[0] + ATP[0] + WATER[0] => Teichoic-P-Gro-Glc[1] + ADP[0] + Pi[0] + PROTON[0]	EC-7.5.2.e
RXN-19630		RXN-19630	(2) L-1-PHOSPHATIDYL-ETHANOLAMINE[0] + CELLULOSE[0] => (2) DIACYLGLYCEROL[0] + phosphoethanolamine-cellulose[0]	EC-2.7.8
2.1.1.116-RXN		2.1.1.116-RXN	S-ADENOSYLMETHIONINE[0] + 3-HYDROXY-N-METHYL-S-COCLAURINE[0] <=> PROTON[0] + ADENOSYL-HOMO-CYS[0] + S-RETICULINE[0]	EC-2.1.1.116
RXN-18700		RXN-18700	URM1[0] + ATP[0] + PROTON[0] => Carboxyadenylated-URM1[0] + PPI[0]	EC-2.7.7
RXN-9594		RXN-9594	Amino-Hydroxybenzoyl-Acps[0] + (2) D-METHYL-MALONYL-COA[0] + MALONYL-COA[0] + NADPH[0] + (4) PROTON[0] <=> Rifamycin-Tetraketide-Acps[0] + (3) CO-A[0] + NADP[0] + (3) CARBON-DIOXIDE[0]	EC-2.3.1
RXN-19275		RXN-19275	L-DIHYDROXY-PHENYLALANINE[0] + OXYGEN-MOLECULE[0] + WATER[0] => 34-DIHYDROXYPHENYLACETALDEHYDE[0] + CARBON-DIOXIDE[0] + AMMONIA[0] + HYDROGEN-PEROXIDE[0]	EC-4.1.1.107
RXN-14642		RXN-14642	GLYCOLALDEHYDE[0] + Acceptor[0] <=> GLYCOLLATE[0] + Donor-H2[0] + PROTON[0]	EC-1.2.99
RXN-12323		RXN-12323	CPD-13260[0] + WATER[0] => CPD-2041[0] + CPD-13261[0]	EC-3.4.11.25
RXN-19013		RXN-19013	CPD-20473[0] => CPD-20474[0]	EC-5.4.99.65
RXN-16545		RXN-16545	S-ADENOSYLMETHIONINE[0] + CPD-17799[0] <=> CPD-17800[0] + ADENOSYL-HOMO-CYS[0] + PROTON[0]	EC-2.1.1
RXN-18839		RXN-18839	CPD-20205[0] + CYS[0] + Acceptor[0] <=> CPD-20206[0] + AMMONIUM[0] + Donor-H2[0]	-
RXN-18077		RXN-18077	Cellulose-D-glucono-1-5-lactone[0] + WATER[0] => Cellulose-D-Gluconate[0] + PROTON[0]	-
RXN-14963		RXN-14963	Rhodoquinols[0] + FUM[0] => Rhodoquinones[0] + SUC[0]	EC-1.3.5.4
RXN-8136		RXN-8136	THIOHYDROXIMATE-O-SULFATES[0] => Nitriles[0] + SULFATE[0] + Elemental-Sulfur[0] + PROTON[0]	EC-4.99.1.M4
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN		ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	Aromatic-Primary-Alcohols[0] + NADP[0] <=> Aryl-Aldehyde[0] + NADPH[0] + PROTON[0]	EC-1.1.1.91
RXN-9202		RXN-9202	PROTON[0] + CPD-7994[0] + CPD-9778[0] <=> CPD-9779[0] + CARBON-DIOXIDE[0]	-
RXN-16185	prochaetoglobosin I oxygenase	RXN-16185	CPD-17428[0] + OXYGEN-MOLECULE[0] + Red-NADPH-Hemoprotein-Reductases[0] <=> CPD-17431[0] + Ox-NADPH-Hemoprotein-Reductases[0] + WATER[0]	EC-1.14.14
RXN-16660		RXN-16660	CPD-17926[0] + CPD-17931[0] => CPD-17947[0] + D-ALANINE[0]	-
RXN-18200		RXN-18200	CPDQT-40[0] + NAD[0] <=> CPD-19487[0] + NADH[0] + PROTON[0]	-
PROLINE--TRNA-LIGASE-RXN		PROLINE--TRNA-LIGASE-RXN	PRO-tRNAs[0] + PRO[0] + ATP[0] => Charged-PRO-tRNAs[0] + PPI[0] + AMP[0]	EC-6.1.1.15
TRANS-RXN-116	cytosine:proton symport	TRANS-RXN-116	PROTON[1] + CYTOSINE[1] => PROTON[0] + CYTOSINE[0]	-
RXN-15819		RXN-15819	CPD-17076[0] + NAD[0] + WATER[0] <=> CPD-17077[0] + NADH[0] + (2) PROTON[0]	EC-1.2.1
CARBPSYN-RXN		CARBPSYN-RXN	(2) ATP[0] + GLN[0] + HCO3[0] + WATER[0] => GLT[0] + CARBAMOYL-P[0] + (2) ADP[0] + Pi[0] + (2) PROTON[0]	EC-6.3.5.5
RXN-14866		RXN-14866	CPD-15787[0] + PROTON[0] => CPD-15788[0] + CARBON-DIOXIDE[0]	EC-4.1.1
RXN-17253		RXN-17253	CPD-18666[0] + WATER[0] <=> CPD-7063[0]	-
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN		SUCCINATE--COA-LIGASE-GDP-FORMING-RXN	SUC[0] + GTP[0] + CO-A[0] => SUC-COA[0] + GDP[0] + Pi[0]	EC-6.2.1.4
RXN-9028		RXN-9028	CHORISMATE[0] + GLN[0] <=> CPD-9517[0] + GLT[0]	EC-2.6.1.86
3.2.1.61-RXN		3.2.1.61-RXN	Nigerans[0] + WATER[0] => CPD-13732[0] + 3-BETA-D-GLUCOSYLGLUCOSE[0]	EC-3.2.1.61
NICOTINATE-GLUCOSYLTRANSFERASE-RXN		NICOTINATE-GLUCOSYLTRANSFERASE-RXN	CPD-12575[0] + NIACINE[0] <=> CPD-446[0] + UDP[0]	EC-2.4.1.196
RXN-12413		RXN-12413	CPD-12321[0] + (5) Acceptor[0] => CPD-12932[0] + (5) Donor-H2[0]	EC-1.3.99.30
RXN-18059		RXN-18059	CPD-14795[0] + CPD-19341[0] => CPD-19342[0] + UMP[0] + PROTON[0]	EC-2.4.1
3.4.19.7-RXN		3.4.19.7-RXN	Protein-with-N-terminal-formylmethionine[0] + WATER[0] => N-FORMYLMETHIONINE[0] + Peptide-Holder-Alternative[0]	EC-3.4.19.7
RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN		RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN	CPD-372[0] + NADP[0] <= RIBULOSE-5P[0] + NADPH[0] + PROTON[0]	EC-1.1.1.405
RXN-13242	fatty acid decarboxylase	RXN-13242	ARACHIDIC_ACID[0] + HYDROGEN-PEROXIDE[0] + PROTON[0] => CPD-14220[0] + CARBON-DIOXIDE[0] + (2) WATER[0]	-
RXN-1122		RXN-1122	5-HYDROXY-FERULIC-ACID[0] + CO-A[0] + ATP[0] => 5-HYDROXY-FERULOYL-COA[0] + AMP[0] + PPI[0]	EC-6.2.1.12
RXN-12378		RXN-12378	S-ADENOSYLMETHIONINE[0] + Guanine26-Guanine27-in-tRNAs[0] => tRNA-Containing-N2-Methylgua-26-Gua27[0] + ADENOSYL-HOMO-CYS[0] + PROTON[0]	EC-2.1.1.215
2.4.1.146-RXN		2.4.1.146-RXN	UDP-N-ACETYL-D-GLUCOSAMINE[0] + Core2[0] <=> N-ACETYL-ETCETERA-GALACTOSAMINYL-R[0] + PROTON[0] + UDP[0]	EC-2.4.1.146
TREHALOSEPHOSPHA-RXN		TREHALOSEPHOSPHA-RXN	TREHALOSE-6P[0] + WATER[0] => TREHALOSE[0] + Pi[0]	EC-3.1.3.12
RXN-12053		RXN-12053	CPD-13022[0] + Donor-H2[0] <=> CPD-13020[0] + Acceptor[0] + CPD-387[0] + PROTON[0]	-
RXN0-985		RXN0-985	N3-METHYLCYTOSINE[0] + OXYGEN-MOLECULE[0] + 2-KETOGLUTARATE[0] => PROTON[0] + CYTOSINE[0] + CARBON-DIOXIDE[0] + FORMALDEHYDE[0] + SUC[0]	EC-1.14.11.33
RXN-14979		RXN-14979	CPD-12575[0] + CPD-15447[0] => CPD-15448[0] + UDP[0] + PROTON[0]	EC-2.4.1.ds
RXN-14022		RXN-14022	CPD-15377[0] + NAD[0] + WATER[0] <=> D-XYLONATE[0] + NADH[0] + (2) PROTON[0]	-
RXN-16067		RXN-16067	ACYL-ACP[0] + CPD0-2113[0] => 1-Stearoyl-L-Phosphatidate[0] + ACP[0]	EC-2.3.1.51
PHENPRODIOLDEHYDROG-RXN		PHENPRODIOLDEHYDROG-RXN	CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL[0] + NAD[0] <=> PROTON[0] + 2-3-DIHYDROXYPHENYL-PROPIONATE[0] + NADH[0]	EC-1.3.1.87
RXN-17152		RXN-17152	CPD-18545[0] + PROTON[0] <=> CPD-18546[0] + CARBON-DIOXIDE[0]	-
RXN-15764		RXN-15764	METHYLENE-THF[0] + (2) PROTON[0] + (2) E-[0] => 5-METHYL-THF[0]	-
RXN-12781	3-oxo-24-(isopropanoate)-cholest-4,24-dien-26-oyl-CoA hydrolase	RXN-12781	CPD-13799[0] + WATER[0] <=> CPD-13801[0] + PROPIONYL-COA[0]	EC-3.1.2
RXN1G-526	trans-tetracos-2-enoyl-[acyl-carrier protein] reductase	RXN1G-526	Lignoceroyl-ACPs[0] + NAD[0] <=> trans-delta2-lignoceroyl-ACPs[0] + NADH[0] + PROTON[0]	EC-1.3.1.9
RXN-8625		RXN-8625	CPD-8853[0] + CPD-8651[0] + PROTON[0] + Acceptor[0] <=> CPD-8854[0] + WATER[0] + Donor-H2[0]	-
RXN-12606		RXN-12606	CPD-13573[0] <=> CPD-13570[0]	-
GLYCEROL-3-PHOSPHATE-OXIDASE-RXN		GLYCEROL-3-PHOSPHATE-OXIDASE-RXN	OXYGEN-MOLECULE[0] + GLYCEROL-3P[0] => HYDROGEN-PEROXIDE[0] + DIHYDROXY-ACETONE-PHOSPHATE[0]	EC-1.1.3.21
RXN-18442		RXN-18442	CPD-4211[0] + CPD-19784[0] => PPI[0] + CPD-19785[0] + PROTON[0]	EC-2.5.1.136
LACCASE-RXN		LACCASE-RXN	(4) Benzenediols[0] + OXYGEN-MOLECULE[0] => (4) Benzosemiquinones[0] + (2) WATER[0]	EC-1.10.3.2
RXN-11009		RXN-11009	CPD-11965[0] + ATP[0] <=> PROTON[0] + CPD-11967[0] + AMP[0] + PPI[0]	EC-6.3.2
RXN-19397		RXN-19397	ATP[0] + bGalNAc-13-bGlucNAc-14-Man-R[0] => bGalNAc-13-bGlucNAc-14-Man6P-R[0] + ADP[0] + PROTON[0]	EC-2.7.1.183
RXN-17794		RXN-17794	CPD-19157[0] + NADH[0] + PROTON[0] <= CPD-19154[0] + NAD[0]	EC-1.1.1.35
RXN-18432		RXN-18432	R-2-HYDROXYGLUTARATE[0] + PYRUVATE[0] <=> 2-KETOGLUTARATE[0] + D-LACTATE[0]	EC-1.1.99.40
RXN-17329		RXN-17329	CPD-18727[0] + OXYGEN-MOLECULE[0] + NADH-P-OR-NOP[0] + PROTON[0] <=> CPD-18728[0] + NAD-P-OR-NOP[0] + WATER[0]	EC-1.14.13.211
RXN-684		RXN-684	CPD-1023[0] + CIT[0] + ATP[0] => CPD-21028[0] + AMP[0] + PPI[0] + PROTON[0]	EC-6.3.2
3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN		3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN	3-OH-BENZALDEHYDE[0] + NADP[0] + WATER[0] <=> 3-HYDROXYBENZOATE[0] + NADPH[0] + (2) PROTON[0]	EC-1.2.1.7
RXN-12236		RXN-12236	CPD-13164[0] + WATER[0] <=> CPD-13165[0] + GDP[0] + PROTON[0]	EC-3.2.1
RXN-15092		RXN-15092	Hpr-pi-phospho-L-histidines[0] + MALTOSE[1] => CPD-15982[0] + Hpr-Histidine[0]	EC-2.7.1.208
RXN-15805		RXN-15805	SIROHEME[0] + (2) PROTON[0] <=> CPD-17068[0] + (2) CARBON-DIOXIDE[0]	EC-4.1.1.111
RXN-12391		RXN-12391	Glucans[0] + MALTOTRIOSE[0] <=> Glucans[0] + Glucopyranose[0]	EC-2.4.1.25
RXN-11502		RXN-11502	CPD-1099[0] + WATER[0] <=> ALPHA-D-GALACTOSE[0] + SUCROSE[0]	EC-3.2.1
RXN-8025	CrtZ|beta-carotene,NADH:oxygen 3-oxidoreductase|beta-carotene 3,3'-monooxygenase	RXN-8025	CPD1F-129[0] + OXYGEN-MOLECULE[0] + (2) Reduced-ferredoxins[0] + (2) PROTON[0] <=> CPD-7409[0] + WATER[0] + (2) Oxidized-ferredoxins[0]	-
RXN-17935		RXN-17935	GTP[0] + RNA-Ligase-L-histidine[0] <=> RNA-Ligase-L-histidine-guanylate[0] + PPI[0]	-
RXN-18221		RXN-18221	CPD-12139[0] => CPD-19502[0] + SULFATE[0] + PROTON[0]	EC-4.99.1.M5
RXN-13070		RXN-13070	CPD-2301[0] <=> CPD-14083[0] + PROTON[0]	-
RXN-15283		RXN-15283	CPD-16497[0] + PROTON[0] <=> CPD-7898[0] + CARBON-DIOXIDE[0]	EC-4.1.1.56
DTMPKI-RXN		DTMPKI-RXN	ATP[0] + TMP[0] <=> ADP[0] + TDP[0]	EC-2.7.4.12|EC-2.7.4.13|EC-2.7.4.9
2.7.8.10-RXN		2.7.8.10-RXN	SPHINGOSINE[0] + CDP-CHOLINE[0] <=> PROTON[0] + CPD-481[0] + CMP[0]	EC-2.7.8.10
DAPASYN-RXN		DAPASYN-RXN	S-ADENOSYLMETHIONINE[0] + 8-AMINO-7-OXONONANOATE[0] => S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE[0] + DIAMINONONANOATE[0]	EC-2.6.1.62
R162-RXN		R162-RXN	CPD-107[0] + WATER[0] + Acceptor[0] <=> CPD-113[0] + Donor-H2[0]	EC-1.5.99.14
RXN-17770		RXN-17770	ERYTHRITOL[0] + ATP[0] => CPD-19138[0] + ADP[0] + PROTON[0]	EC-2.7.1.215
RXN-7541		RXN-7541	URACIL[0] + ACETYLSERINE[0] <=> PROTON[0] + 3-URACIL-1-YL-L-SERINE[0] + ACET[0]	EC-2.5.1.53
RXN-14496		RXN-14496	CPD-7864[0] + CPD-8674[0] <=> CPD-15371[0] + Glucopyranose[0]	EC-2.3.1
RXN-17317		RXN-17317	(3) CPD-18706[0] <=> CPD-18600[0] + (2) CPD-18704[0]	EC-2.3.1.dc
RXN-14472		RXN-14472	L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE[0] + NAD[0] + WATER[0] => L-ERYTHRO-4-HYDROXY-GLUTAMATE[0] + NADH[0] + (2) PROTON[0]	EC-1.2.1
RXN-19743		RXN-19743	CPD-21376[0] <=> CAFFEOYL-COA[0] + WATER[0]	EC-4.2.1.101
RXN-8800		RXN-8800	AMP[0] + Pi[0] => ADENINE[0] + RIBOSE-15-BISPHOSPHATE[0]	EC-2.4.2.57
LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN		LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN	UDP-GLUCURONATE[0] + 5734-TETRAHYDROXYFLAVONE[0] <=> LUTEOLIN-7-O-BETA-D-GLUCURONIDE[0] + UDP[0]	EC-2.4.1.189
RXN-19751		RXN-19751	CPD-9768[0] + CO-A[0] + ATP[0] => CPD0-2117[0] + PPI[0] + AMP[0]	EC-6.2.1.3
