Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn03632	rxn17134	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] => (2) H2O[0] + (1) NAD[0] + (1) (11Z)-Tetradecenoyl-CoA[0]	(1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) (11Z)-Tetradecenoyl-CoA[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn03651	rxn45333	(1) NAD[0] + (1) 9-Fluorenol[0] <=> (1) NADH[0] + (1) H+[0] + (1) 9-Fluorenone[0]	(1) 9-Fluorenol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 9-Fluorenone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03652	rxn45333	(1) NADP[0] + (1) 9-Fluorenol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 9-Fluorenone[0]	(1) 9-Fluorenol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 9-Fluorenone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03714	rxn21900	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Carbazole[0] => (1) NAD[0] + (1) 2'-Aminobiphenyl-2,3-diol[0]	(1) O2[0] + (1) H+[0] + (1) Carbazole[0] + (1) NADH-P-OR-NOP[0] => (1) 2'-Aminobiphenyl-2,3-diol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn03804	rxn43436	(1) NADH[0] + (1) H+[0] + (1) Streptomycin 6-phosphate[0] <=> (1) NAD[0] + (1) Dihydrostreptomycin 6-phosphate[0]	(1) Dihydrostreptomycin 6-phosphate[0] + (1) Acceptor[0] <=> (1) Streptomycin 6-phosphate[0] + (1) Donor-H2[0]	cpd00004:cpd26978;cpd00003:cpd22290	
rxn03860	rxn25328	(1) NAD[0] + (1) (Hydroxymethylphenyl)succinyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Benzoylsuccinyl-CoA[0]	(1) (Hydroxymethylphenyl)succinyl-CoA[0] + (1) Acceptor[0] <=> (1) Benzoylsuccinyl-CoA[0] + (1) Donor-H2[0]	cpd00003:cpd22290;cpd00004:cpd26978	
rxn03906	rxn23162	(1) NADH[0] + (1) O2[0] + (2) H+[0] + (1) 1-Hydroxy-2-naphthoate[0] => (1) H2O[0] + (1) NAD[0] + (1) CO2[0] + (1) 1,2-Naphthalenediol[0]	(1) O2[0] + (2) H+[0] + (1) 1-Hydroxy-2-naphthoate[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) CO2[0] + (1) 1,2-Naphthalenediol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn03913	rxn06450	(1) NADP[0] + (1) Ergosterol[0] <= (1) NADPH[0] + (1) H+[0] + (1) 5,7,22,24(28)-Ergostatetraenol[0]	(1) Ergosterol[0] + (1) A[0] <=> (2) H+[0] + (1) 5,7,22,24(28)-Ergostatetraenol[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn03953	rxn16877	(1) NAD[0] + (1) L-Idonate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 5-Dehydrogluconate[0]	(1) L-Idonate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 5-Dehydrogluconate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03954	rxn16877	(1) NADP[0] + (1) L-Idonate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5-Dehydrogluconate[0]	(1) L-Idonate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 5-Dehydrogluconate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03955	rxn16878	(1) NAD[0] + (1) Isoamyl alcohol[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Methylbutanal[0]	(1) Isoamyl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 3-Methylbutanal[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03956	rxn16878	(1) NADP[0] + (1) Isoamyl alcohol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 3-Methylbutanal[0]	(1) Isoamyl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 3-Methylbutanal[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03957	rxn45914	(1) NADP[0] + (1) dTDP-D-fucose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) dTDP-4-oxo-6-deoxy-D-glucose[0]	(1) dTDP-D-fucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) dTDP-4-oxo-6-deoxy-D-glucose[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03970	rxn22875	(1) H2O[0] + (1) NAD[0] + (1) Ferulaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) Ferulate[0]	(1) H2O[0] + (1) Ferulaldehyde[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Ferulate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03971	rxn22875	(1) H2O[0] + (1) NADP[0] + (1) Ferulaldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Ferulate[0]	(1) H2O[0] + (1) Ferulaldehyde[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Ferulate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03974	rxn19711	(1) NAD[0] + (1) FMNH2[0] <= (1) NADH[0] + (1) FMN[0] + (1) H+[0]	(1) FMNH2[0] + (1) NAD-P-OR-NOP[0] <=> (1) FMN[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03975	rxn19711	(1) NADP[0] + (1) FMNH2[0] <= (1) NADPH[0] + (1) FMN[0] + (1) H+[0]	(1) FMNH2[0] + (1) NAD-P-OR-NOP[0] <=> (1) FMN[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03976	rxn22910	(1) NADP[0] + (1) Reduced riboflavin[0] <= (1) NADPH[0] + (2) H+[0] + (1) Riboflavin[0]	(1) Reduced riboflavin[0] + (1) NAD-P-OR-NOP[0] <=> (2) H+[0] + (1) Riboflavin[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03981	rxn17268	(1) NAD[0] + (2) Mycothiol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Mycothione[0]	(2) Mycothiol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Mycothione[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn03982	rxn17268	(1) NADP[0] + (2) Mycothiol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Mycothione[0]	(2) Mycothiol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Mycothione[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn03990	rxn20769	(1) NADH[0] + (2) O2[0] + (2) NO[0] => (1) NAD[0] + (1) H+[0] + (2) Nitrate[0]	(2) O2[0] + (2) NO[0] + (1) NADH-P-OR-NOP[0] => (1) H+[0] + (2) Nitrate[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn03991	rxn20769	(1) NADPH[0] + (2) O2[0] + (2) NO[0] => (1) NADP[0] + (1) H+[0] + (2) Nitrate[0]	(2) O2[0] + (2) NO[0] + (1) NADH-P-OR-NOP[0] => (1) H+[0] + (2) Nitrate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn03997	rxn11615	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) (S)-N-Methylcoclaurine[0] => (1) H2O[0] + (1) NADP[0] + (1) (S)-3'-Hydroxy-N-methylcoclaurine[0]	(1) O2[0] + (1) (S)-N-Methylcoclaurine[0] + (1) AH2[0] => (1) H2O[0] + (1) (S)-3'-Hydroxy-N-methylcoclaurine[0] + (1) A[0]	cpd00005:cpd11610;cpd00006:cpd11609	
rxn03998	rxn24146	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] => (2) H2O[0] + (1) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0]	(1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn04001	rxn17094	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (1) H2O[0] + (1) NADP[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0]	(1) O2[0] + (1) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04002	rxn24146	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] => (2) H2O[0] + (1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0]	(1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04003	rxn24145	(1) NADPH[0] + (1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] => (1) H2O[0] + (1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	(1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04056	rxn07186	(1) NADP[0] + (1) 2-Dehydro-D-gluconate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2,5-diketo-D-gluconate[0]	(1) 2-Dehydro-D-gluconate[0] + (1) A[0] <=> (1) 2,5-diketo-D-gluconate[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn04056	rxn19452	(1) NADP[0] + (1) 2-Dehydro-D-gluconate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2,5-diketo-D-gluconate[0]	(1) 2-Dehydro-D-gluconate[0] + (1) Acceptor[0] <=> (1) 2,5-diketo-D-gluconate[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn04061	rxn17103	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Sarpagan-17-ol[0] => (1) H2O[0] + (1) NADP[0] + (1) Sarpagine[0]	(1) O2[0] + (1) H+[0] + (1) Sarpagan-17-ol[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Sarpagine[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04113	rxn19954	(1) NADPH[0] + (1) H+[0] + (1) 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate[0] => (1) H2O[0] + (1) NADP[0] + (1) Isopentenyldiphosphate[0]	(1) H2O[0] + (1) Isopentenyldiphosphate[0] + (1) NAD-P-OR-NOP[0] <= (1) H+[0] + (1) 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate[0] + (1) NADH-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04147	rxn23431	(1) NADPH[0] + (2) Farnesyldiphosphate[0] => (1) NADP[0] + (2) PPi[0] + (1) H+[0] + (1) Supraene[0]	(2) Farnesyldiphosphate[0] + (1) NADH-P-OR-NOP[0] => (2) PPi[0] + (1) H+[0] + (1) Supraene[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04661	rxn24537	(1) NADP[0] + (1) Quinate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5-Dehydroquinate[0]	(1) Quinate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 5-Dehydroquinate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04662	rxn24538	(1) NAD[0] + (1) Shikimate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Dehydroshikimate[0]	(1) Shikimate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 3-Dehydroshikimate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn04701	rxn17098	(1) NADPH[0] + (1) O2[0] + (1) 4'-Hydroxyacetophenone[0] => (1) H2O[0] + (1) NADP[0] + (1) 4-Hydroxyphenylacetate[0]	(1) O2[0] + (1) 4'-Hydroxyacetophenone[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) 4-Hydroxyphenylacetate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04755	rxn24540	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NAD[0] + (1) Antheraxanthin[0]	(1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Antheraxanthin[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn04756	rxn24544	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] => (1) H2O[0] + (1) NAD[0] + (1) Violaxanthin[0]	(1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Violaxanthin[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn04792	rxn23825	(1) NAD[0] + (1) S-(Hydroxymethyl)glutathione[0] <=> (1) NADH[0] + (1) H+[0] + (1) S-Formylglutathione[0]	(1) S-(Hydroxymethyl)glutathione[0] + (1) NAD-P-OR-NOP[0] => (1) H+[0] + (1) S-Formylglutathione[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn04934	rxn16881	(1) NAD[0] + (1) (2R)-3-Sulfolactate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Sulfopyruvate[0]	(1) (2R)-3-Sulfolactate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 3-Sulfopyruvate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn04935	rxn16881	(1) NADP[0] + (1) (2R)-3-Sulfolactate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 3-Sulfopyruvate[0]	(1) (2R)-3-Sulfolactate[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 3-Sulfopyruvate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04936	rxn40705	(1) NADP[0] + (1) 3beta-Hydroxy-5alpha-pregnane-20-one[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5alpha-Pregnane-3,20-dione[0]	(1) 3beta-Hydroxy-5alpha-pregnane-20-one[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 5alpha-Pregnane-3,20-dione[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04938	rxn23825	(1) NADP[0] + (1) S-(Hydroxymethyl)glutathione[0] <=> (1) NADPH[0] + (1) H+[0] + (1) S-Formylglutathione[0]	(1) S-(Hydroxymethyl)glutathione[0] + (1) NAD-P-OR-NOP[0] => (1) H+[0] + (1) S-Formylglutathione[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04939	rxn16884	(1) NAD[0] + (1) 2'-Deoxymugineic acid[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3''-Deamino-3''-oxonicotianamine[0]	(1) 2'-Deoxymugineic acid[0] + (1) NAD-P-OR-NOP[0] <= (1) H+[0] + (1) 3''-Deamino-3''-oxonicotianamine[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn04940	rxn16884	(1) NADP[0] + (1) 2'-Deoxymugineic acid[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 3''-Deamino-3''-oxonicotianamine[0]	(1) 2'-Deoxymugineic acid[0] + (1) NAD-P-OR-NOP[0] <= (1) H+[0] + (1) 3''-Deamino-3''-oxonicotianamine[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04945	rxn05806	(1) NADP[0] + (1) D-Glucose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) A[0] <=> (1) Gluconolactone[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn04945	rxn48251	(1) NADP[0] + (1) D-Glucose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Gluconolactone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04945	rxn43580	(1) NADP[0] + (1) D-Glucose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Gluconolactone[0]	(1) D-Glucose[0] + (1) Acceptor[0] <=> (1) Gluconolactone[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn04947	rxn16861	(1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0] => (1) NADPH[0] + (1) CO2[0] + (1) 4alpha-Methyl-5alpha-cholest-7-en-3-one[0]	(1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0] + (1) NAD-P-OR-NOP[0] => (1) CO2[0] + (1) 4alpha-Methyl-5alpha-cholest-7-en-3-one[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04952	rxn17240	(1) H2O[0] + (1) NAD[0] + (1) L-Aspartate[0] <=> (1) NADH[0] + (1) NH3[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) H2O[0] + (1) L-Aspartate[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn04953	rxn17240	(1) H2O[0] + (1) NADP[0] + (1) L-Aspartate[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) Oxaloacetate[0] + (1) H+[0]	(1) H2O[0] + (1) L-Aspartate[0] + (1) NAD-P-OR-NOP[0] => (1) NH3[0] + (1) Oxaloacetate[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04957	rxn21096	(1) NADH[0] + (1) O2[0] + (1) H+[0] => (1) NAD[0] + (1) H2O2[0]	(1) O2[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0] => (1) H2O2[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn04958	rxn21096	(1) NADPH[0] + (1) O2[0] + (1) H+[0] => (1) NADP[0] + (1) H2O2[0]	(1) O2[0] + (1) H+[0] + (1) NADH-P-OR-NOP[0] => (1) H2O2[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04960	rxn19318	(1) NADP[0] + (2) CoA[0] <= (1) NADPH[0] + (1) H+[0] + (1) CoA-disulfide[0]	(2) CoA[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) CoA-disulfide[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn04977	rxn17101	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Liquiritigenin[0] => (1) H2O[0] + (1) NADP[0] + (1) Licodione[0]	(1) O2[0] + (1) H+[0] + (1) Liquiritigenin[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Licodione[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04978	rxn24540	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NADP[0] + (1) Antheraxanthin[0]	(1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Antheraxanthin[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04979	rxn24544	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] => (1) H2O[0] + (1) NADP[0] + (1) Violaxanthin[0]	(1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Violaxanthin[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04980	rxn17108	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Phenylacetone[0] => (1) H2O[0] + (1) NADP[0] + (1) benzylacetate[0]	(1) O2[0] + (1) H+[0] + (1) Phenylacetone[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) benzylacetate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04982	rxn17110	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Lithocholate[0] => (1) H2O[0] + (1) NADP[0] + (1) Murideoxycholic acid[0]	(1) O2[0] + (1) H+[0] + (1) Lithocholate[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Murideoxycholic acid[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04983	rxn17112	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 5beta-Cholestane-3alpha,7alpha-diol[0] => (1) H2O[0] + (1) NADP[0] + (1) 3alpha,7alpha,12alpha-Trihydroxycoprostane[0]	(1) O2[0] + (1) H+[0] + (1) 5beta-Cholestane-3alpha,7alpha-diol[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) 3alpha,7alpha,12alpha-Trihydroxycoprostane[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04993	rxn17125	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Lathosterol[0] => (2) H2O[0] + (1) NADP[0] + (1) Provitamin D3[0]	(1) O2[0] + (1) H+[0] + (1) Lathosterol[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) Provitamin D3[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04994	rxn17133	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] => (2) H2O[0] + (1) NADP[0] + (1) (11E)-Tetradecenoyl-CoA[0]	(1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) (11E)-Tetradecenoyl-CoA[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04995	rxn17134	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] => (2) H2O[0] + (1) NADP[0] + (1) (11Z)-Tetradecenoyl-CoA[0]	(1) O2[0] + (1) H+[0] + (1) Myristoyl-CoA[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) (11Z)-Tetradecenoyl-CoA[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn04996	rxn26478	(1) H2O[0] + (1) NADP[0] + (1) DMAPP[0] <= (1) NADPH[0] + (1) H+[0] + (1) 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate[0]	(1) H2O[0] + (1) DMAPP[0] + (1) NAD-P-OR-NOP[0] <= (1) H+[0] + (1) 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn05085	rxn06027	(1) NADP[0] + (1) Sorbitol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Sorbose[0]	(1) Sorbitol[0] + (1) A[0] <=> (1) L-Sorbose[0] + (1) AH2[0]	cpd00006:cpd11609;cpd00005:cpd11610	
rxn05085	rxn19380	(1) NADP[0] + (1) Sorbitol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-Sorbose[0]	(1) Sorbitol[0] + (1) Acceptor[0] <=> (1) L-Sorbose[0] + (1) Donor-H2[0]	cpd00006:cpd22290;cpd00005:cpd26978	
rxn05087	rxn17245	(1) NAD[0] + (1) Tetrahydropteridine[0] <=> (1) NADH[0] + (1) H+[0] + (1) Dihydropteridine[0]	(1) Tetrahydropteridine[0] + (1) NAD-P-OR-NOP[0] => (1) H+[0] + (1) Dihydropteridine[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn05088	rxn17245	(1) NADP[0] + (1) Tetrahydropteridine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Dihydropteridine[0]	(1) Tetrahydropteridine[0] + (1) NAD-P-OR-NOP[0] => (1) H+[0] + (1) Dihydropteridine[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn05113	rxn24186	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) indol[0] => (1) H2O[0] + (1) NADP[0] + (1) Indolin-2-one[0]	(1) O2[0] + (1) H+[0] + (1) indol[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Indolin-2-one[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
