CHEBI:7	 (+)-car-3-ene
CHEBI:57632	 UDP-alpha-D-xylose
CHEBI:57634	 beta-D-fructose 6-phosphate
CHEBI:57635	 UDP-alpha-D-galacturonate
CHEBI:57637	 2-methylene-3-methylsuccinate
CHEBI:57638	 GDP-6-deoxy-alpha-D-talose
CHEBI:57639	 4-(L-alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
CHEBI:57640	 1,6-dihydroxy-2-methylcyclohexa-2,4-dienecarboxylate
CHEBI:57641	 2,4-dichloro-5-oxo-2,5-dihydro-2-furylacetate
CHEBI:57642	 dihydroxyacetone phosphate
CHEBI:57643	 a 1,2-diacyl-sn-glycero-3-phosphocholine
CHEBI:57644	 chlorogenate
CHEBI:57646	 beta-D-GalNAc-(1->4)-alpha-Neu5Ac-(2->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer
CHEBI:57647	 3-(3,5-diiodo-4-hydroxyphenyl)lactate
CHEBI:57649	 dTDP-4-dehydro-6-deoxy-alpha-D-glucose
CHEBI:57653	 2-deoxy-D-gluconate
CHEBI:57654	 all-trans-undecaprenyl phosphate
CHEBI:57655	 3-dehydro-L-gulonate
CHEBI:57656	 1-guanidino-1-deoxy-scyllo-inositol 4-phosphate
CHEBI:57657	 4-O-deacetyl-16-O-demethylvindoline
CHEBI:57658	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4-bisphosphate)
CHEBI:57660	 1D-myo-inositol 1,3,4,6-tetrakisphosphate
CHEBI:57661	 O-succinyl-L-homoserine
CHEBI:57662	 S-carboxymethyl-L-cysteine
CHEBI:57664	 6-hydroxynicotinate
CHEBI:57665	 neryl diphosphate
CHEBI:57666	 an N-acyl-D-mannosamine 6-phosphate
CHEBI:57667	 dADP
CHEBI:57668	 D-ornithine
CHEBI:57670	 an N-acylglycine
CHEBI:57671	 1-amino-1-deoxy-scyllo-inositol
CHEBI:57672	 (7S)-O-acetylsalutaridinol
CHEBI:57673	 dGMP
CHEBI:57674	 an N-acylsphing-4-enine 1-phosphate
CHEBI:57676	 questin
CHEBI:57677	 sn-3-O-(geranylgeranyl)glycerol 1-phosphate
CHEBI:57678	 2-oxo-3-sulfanylpropanoate
CHEBI:57679	 hypotaurocyamine
CHEBI:57680	 (E)-sinapoyltartronate
CHEBI:57681	 cis-2-chloro-4-carboxymethylenebut-2-en-1,4-olide
CHEBI:57682	 coformycin
CHEBI:57684	 beta-D-glucose 1-phosphate
CHEBI:57685	 sn-glycerol 1-phosphate
CHEBI:57688	 S-formylglutathione
CHEBI:57689	 2,2-dialkylglycine
CHEBI:57690	 cis-4-hydroxy-D-proline
CHEBI:57691	 an N(6)-acyl-L-lysine
CHEBI:57692	 FAD
CHEBI:57693	 D-arabinose 5-phosphate
CHEBI:57694	 quercetin
CHEBI:57695	 D-ribitol 5-phosphate
CHEBI:57697	 deaminohydroxyblasticidin S
CHEBI:57698	 2-(acetamidomethylene)succinate
CHEBI:57699	 L-histidinol
CHEBI:57700	 2-methyl-3-oxopropanoate
CHEBI:57701	 5-O-(1-carboxyvinyl)-3-phosphoshikimate
CHEBI:57702	 N-acetyl-L-phenylalanine
CHEBI:57703	 2-nitrophenol
CHEBI:57705	 UDP-N-acetyl-alpha-D-glucosamine
CHEBI:57706	 succinate semialdehyde
CHEBI:57708	 N(4)-benzoylagmatine
CHEBI:57710	 5,12-dihydroxanthommatin
CHEBI:57711	 all-trans-octaprenyl diphosphate
CHEBI:57712	 2-hydroxy-3-oxoadipate
CHEBI:57713	 3-(2-carboxyethenyl)-cis,cis-muconate
CHEBI:57716	 O-acetyl-L-homoserine
CHEBI:57719	 D-tryptophan
CHEBI:57720	 alpha-D-ribose 1-phosphate
CHEBI:57721	 (S)-2,3-diaminopropanoate
CHEBI:57722	 N(2),N(5)-dibenzoyl-L-ornithine
CHEBI:57723	 sucrose 6(F)-phosphate
CHEBI:57726	 D-proline
CHEBI:57727	 N-formylmethanofuran
CHEBI:57728	 morphinone
CHEBI:57729	 3alpha-hydroxyglycyrrhetinate
CHEBI:57730	 4-nitrocatechol
CHEBI:57731	 (R)-3-amino-2-methylpropanoate
CHEBI:57733	 1D-myo-inositol 1,3,4,5,6-pentakisphosphate
CHEBI:57734	 alpha-D-hexose 1-phosphate
CHEBI:57735	 2-oxosuccinamate
CHEBI:57737	 D-xylulose 5-phosphate
CHEBI:57738	 2-arylpropionate
CHEBI:57740	 L-5-carboxymethylhydantoin
CHEBI:57741	 phenylethanolamine
CHEBI:57742	 guanidinoacetate
CHEBI:57743	 L-citrulline
CHEBI:57744	 2-O-(alpha-D-mannosyl)-3-phosphoglycerate
CHEBI:57745	 4-hydroxy-1-pyrroline-2-carboxylate
CHEBI:57746	 3',5'-cyclic GMP
CHEBI:57747	 3-(pyrazol-1-yl)-L-alanine
CHEBI:57752	 (S)-3-(imidazol-5-yl)lactate
CHEBI:57753	 vindoline
CHEBI:57754	 5-O-[(E)-caffeoyl]-D-quinate
CHEBI:57755	 (R)-N-methylcoclaurine
CHEBI:57756	 sphing-4-enine
CHEBI:57757	 D-threonine
CHEBI:57758	 N(3)-oxalyl-L-2,3-diaminopropanoate
CHEBI:57760	 3-oxoglycyrrhetinate
CHEBI:57761	 pyridoxamine
CHEBI:57762	 L-valine
CHEBI:57763	 limonoate
CHEBI:57764	 1-deoxy-D-altro-heptulose 7-phosphate
CHEBI:57766	 3-(imidazol-4-yl)-2-oxopropyl phosphate
CHEBI:57767	 bilirubin-glucuronoside
CHEBI:57768	 trans-4-coumaroylshikimate
CHEBI:57769	 precorrin-4
CHEBI:57770	 (E)-caffeate
CHEBI:57772	 N(alpha)-acetyl-L-histidine
CHEBI:57773	 N-(carboxymethyl)-D-alanine
CHEBI:57774	 2-acetolactate
CHEBI:57775	 stipitatonate
CHEBI:57776	 N-acetyl-alpha-D-glucosamine 1-phosphate
CHEBI:57777	 1,4,5,6-tetrahydro-6-oxonicotinate
CHEBI:57779	 tauropine
CHEBI:57781	 N-methylethanolamine phosphate
CHEBI:57782	 cortisol 21-sulfate
CHEBI:57783	 NADPH
CHEBI:57787	 streptomycin 6-phosphate
CHEBI:57790	 benzyl cetraxate
CHEBI:57791	 meso-2,6-diaminoheptanedioate
CHEBI:57792	 1-deoxy-D-xylulose 5-phosphate
CHEBI:57795	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-5-phosphate)
CHEBI:57797	 dihydrostreptomycin 6-phosphate
CHEBI:57798	 1D-myo-inositol 1,2,4,5,6-pentakisphosphate
CHEBI:57799	 chrysoeriol
CHEBI:57800	 3-ADP-glycerate
CHEBI:57801	 trimetaphosphate
CHEBI:57803	 L-tryptophanamide
CHEBI:57804	 L-serine-phosphoethanolamine
CHEBI:57805	 N(2)-acetyl-L-ornithine
CHEBI:57808	 xanthommatin
CHEBI:57809	 N-formyl-L-methionine
CHEBI:57811	 sym-homospermidine
CHEBI:57812	 CMP-N-acetyl-beta-neuraminate
CHEBI:57814	 triacetate
CHEBI:57817	 sphinganine
CHEBI:57818	 5,10-methylenetetrahydromethanopterin
CHEBI:57820	 N(6)-hydroxy-L-lysine
CHEBI:57822	 D-alanyl-D-alanine
CHEBI:57823	 4-CDP-2-C-methyl-D-erythritol
CHEBI:57824	 N-carbamoyl-2-oxoglycine
CHEBI:57825	 L-lombricine
CHEBI:57826	 6-aminohexanoate
CHEBI:57828	 D-hamamelose 2'-phosphate
CHEBI:57829	 L-xylulose 5-phosphate
CHEBI:57830	 cyanidin 3-O-rutinoside 5-O-beta-D-glucoside
CHEBI:57831	 glycerol 1,2-cyclic phosphate
CHEBI:57832	 1,2-diacyl-3-[3-(N-acetyl-alpha-D-neuraminyl)-beta-D-galactosyl]-sn-glycerol
CHEBI:57833	 N-benzoyl-4-hydroxyanthranilate
CHEBI:57834	 spermidine
CHEBI:57835	 glutathionylspermidine
CHEBI:57836	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4,5-trisphosphate)
CHEBI:57838	 N-phosphotaurocyamine
CHEBI:57839	 3-dehydro-2-deoxy-D-gluconate
CHEBI:57840	 methylguanidine
CHEBI:57841	 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine
CHEBI:57842	 vitexin 2''-O-beta-D-glucoside
CHEBI:57843	 L-selenocysteine
CHEBI:57844	 L-methionine
CHEBI:57845	 hydroxymethylbilane
CHEBI:57846	 L-fuculose 1-phosphate
CHEBI:57848	 1,4-diguanidinobutane
CHEBI:57849	 (R)-4-dehydropantoate
CHEBI:57850	 4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine
CHEBI:57851	 tropinone
CHEBI:57853	 hypotaurine
CHEBI:57854	 4-guanidinobutanal
CHEBI:57856	 S-adenosyl-L-homocysteine
CHEBI:57857	 N-acetyl-beta-alanine
CHEBI:57858	 atropine
CHEBI:57859	 5-(3-carboxy-3-oxoprop-1-en-1-yl)-4,6-dihydroxypyridine-2-carboxylate
CHEBI:57865	 UMP
CHEBI:57866	 3-(methylsulfanyl)propanamine
CHEBI:57867	 a nucleoside 5'-phosphate
CHEBI:57868	 N-sulfo-D-glucosamine
CHEBI:57869	 6-aminopenicillanate
CHEBI:57870	 D-ribulose 1,5-bisphosphate
CHEBI:57871	 codeine
CHEBI:57872	 2-methyl-cis-aconitate
CHEBI:57873	 (S)-reticuline
CHEBI:57875	 a 2-acyl-sn-glycero-3-phosphocholine
CHEBI:57876	 CDP-ethanolamine
CHEBI:57877	 N-acetyl-D-tryptophan
CHEBI:57878	 4-deoxy-beta-D-gluc-4-enuronosyl-(1->3)-N-acetyl-D-galactosamine 6-sulfate
CHEBI:57879	 4-methylene-L-glutamine
CHEBI:57880	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)
CHEBI:57882	 (5R)-5-phosphooxy-L-lysine
CHEBI:57883	 4-carboxymethyl-3-methylbut-2-en-1,4-olide
CHEBI:57885	 3-dehydrocarnitine
CHEBI:57886	 5-methyldeoxycytidine 5'-phosphate
CHEBI:57887	 tryptamine
CHEBI:57888	 4-carboxymethyl-4-methylbut-2-en-1,4-olide
CHEBI:57889	 N(5)-[1(S)-1-carboxyethyl]-L-ornithine
CHEBI:57890	 adenosine 5'-phosphoramidate
CHEBI:57891	 trans-2-chloro-4-carboxymethylenebut-2-en-1,4-olide
CHEBI:57893	 (-)-tabersonine
CHEBI:57894	 berbamunine
CHEBI:57895	 1D-myo-inositol 1,3,4,5-tetrakisphosphate
CHEBI:57896	 diisopropyl phosphate
CHEBI:57897	 1-phospho-alpha-D-glucuronate
CHEBI:57899	 15,16-dihydrobiliverdin
CHEBI:57901	 L-threo-3-phenylserine
CHEBI:57902	 (RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline
CHEBI:57903	 1-(5-phosphoribosyl)imidazole-4-acetate
CHEBI:57905	 3beta-sulfooxy-androst-5-en-17-one
CHEBI:57906	 trans-4-hydroxycyclohexanecarboxylate
CHEBI:57907	 (2E,6E,10E,14E)-geranylfarnesyl diphosphate
CHEBI:57908	 N(2)-benzoyl-D-arginine
CHEBI:57909	 kanamycin 3'-phosphate
CHEBI:57912	 L-tryptophan
CHEBI:57915	 gamma-L-glutamyl-D-alanine
CHEBI:57916	 3-methoxy-4-hydroxy-5-all-trans-hexaprenylbenzoate
CHEBI:57917	 4-nitrophenol
CHEBI:57918	 alpha-ribazole 5'-phosphate
CHEBI:57919	 4-CDP-2-C-methyl-D-erythritol 2-phosphate
CHEBI:57920	 norspermidine
CHEBI:57921	 an N(3')-acetyl-2-deoxystreptamine antibiotic
CHEBI:57922	 oxidized coenzyme F420-2
CHEBI:57923	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,5-bisphosphate)
CHEBI:57924	 L-dopaquinone
CHEBI:57925	 glutathione
CHEBI:57926	 L-threonine
CHEBI:57927	 oxaloacetate 4-methyl ester
CHEBI:57928	 3',4',5,7-tetrahydroxy-3-methoxyflavone
CHEBI:57929	 7''-O-phosphohygromycin B
CHEBI:57930	 a ribonucleoside 5'-diphosphate
CHEBI:57932	 D-methionine
CHEBI:57933	 oleandomycin
CHEBI:57934	 beta-D-galactosyl-(1<->1)-sphing-4-enine
CHEBI:57935	 oxidized Watasenia luciferin
CHEBI:57936	 N-acetyl-L-glutamyl 5-phosphate
CHEBI:57938	 trans-3-hydroxy-L-proline
CHEBI:57939	 sphinganine 1-phosphate
CHEBI:57940	 3-sulfopyruvate
CHEBI:57945	 NADH
CHEBI:57946	 N-methylphenylethanolamine
CHEBI:57947	 creatine
CHEBI:57948	 5-oxo-D-proline
CHEBI:57949	 6-phospho-5-dehydro-2-deoxy-D-gluconate
CHEBI:57951	 L-saccharopine
CHEBI:57955	 6-phospho-D-glucono-1,5-lactone
CHEBI:57956	 3-amino-3-(4-hydroxyphenyl)propanoate
CHEBI:57957	 2-N,3-O-bis[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosaminyl 1-phosphate
CHEBI:57958	 3-dehydro-D-erythronate
CHEBI:57959	 L-kynurenine
CHEBI:57962	 5-hydroxymethyl-dCMP
CHEBI:57963	 vitexin
CHEBI:57964	 GDP-4-dehydro-alpha-D-rhamnose
CHEBI:57965	 deacetoxyvindoline
CHEBI:57966	 beta-alanine
CHEBI:57967	 ADP-D-ribose
CHEBI:57969	 imidazole-4-acetate
CHEBI:57970	 a 1-acyl-sn-glycero-3-phosphate
CHEBI:57971	 hygromycin B
CHEBI:57972	 L-alanine
CHEBI:57973	 leukotriene C4
CHEBI:57975	 1-(4-hydroxy-2-methylpyrimid-5-ylmethyl)-3-(2-hydroxyethyl)-2-methylpyridinium
CHEBI:57976	 3-carboxy-2,5-dihydro-5-oxofuran-2-acetate
CHEBI:57977	 bilirubin IXalpha
CHEBI:57978	 2-hydroxy-3-oxopropanoate
CHEBI:57979	 2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate
CHEBI:57980	 L-histidinol phosphate
CHEBI:57981	 D-phenylalanine
CHEBI:57985	 S-inosyl-L-homocysteine
CHEBI:57986	 riboflavin
CHEBI:57987	 2-hydroxyadipate
CHEBI:57989	 2-dehydro-3-deoxy-D-galactonate
CHEBI:57990	 2-dehydro-3-deoxy-D-gluconate
CHEBI:57991	 biliverdin IXalpha
CHEBI:57992	 carboxymethoxysuccinate
CHEBI:57993	 (S)-N-methylcoclaurine
CHEBI:57994	 2,3,5,6-tetrachlorohydroquinone
CHEBI:57995	 all-trans-undecaprenyl diphosphate
CHEBI:57996	 nororientaline
CHEBI:57997	 a 6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:57999	 1-carboxyvinyl carboxyphosphonate
CHEBI:58000	 D-glutamine
CHEBI:58001	 an aliphatic amine
CHEBI:58002	 L-erythrulose 1-phosphate
CHEBI:58003	 3',5'-cyclic CMP
CHEBI:58004	 3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA
CHEBI:58005	 N-amidino-L-aspartate
CHEBI:58006	 Cypridina luciferin
CHEBI:58007	 streptomycin
CHEBI:58008	 2-carboxy-D-arabinitol
CHEBI:58009	 gamma-L-glutamyl-L-cysteinyl-beta-alanine
CHEBI:58010	 (S)-3'-hydroxy-N-methylcoclaurine
CHEBI:58011	 (1R,2R,3R)-prephytoene diphosphate
CHEBI:58012	 strictosidine aglycone
CHEBI:58013	 aspulvinone H
CHEBI:58014	 1-O-alkyl-sn-glycero-3-phosphate
CHEBI:58015	 7,8-dihydro-7,8-dihydroxykynurenate
CHEBI:58016	 1-guanidino-1-deoxy-scyllo-inositol
CHEBI:58017	 5-phospho-alpha-D-ribose 1-diphosphate
CHEBI:58018	 N(5)-formyl-5,6,7,8-tetrahydromethanopterin
CHEBI:58021	 (Z)-glucotropeolin
CHEBI:58022	 10-oxodecanoate
CHEBI:58023	 3-(3,5-diiodo-4-hydroxyphenyl)pyruvate
CHEBI:58024	 deoxylimonoate
CHEBI:58025	 octopamine
CHEBI:58026	 3,5-dihydroxy-1,4-naphthoquinone
CHEBI:58028	 6-sulfo-alpha-D-glucosyl-(1->6)-alpha-D-glucosyl-(1->6)-alpha-D-glucosyl-(1->3)-1-alkyl-2-acylglycerol
CHEBI:58029	 cysteamine
CHEBI:58030	 2-hydroxy-5-carboxymethylmuconate semialdehyde
CHEBI:58032	 anhydrotetracycline
CHEBI:58033	 2-phosphoglycolate
CHEBI:58034	 a flavonol 3-O-(6-O-malonyl-beta-D-glucoside)
CHEBI:58035	 1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol
CHEBI:58037	 O-demethylpuromycin
CHEBI:58038	 firefly D-luciferin
CHEBI:58039	 N-methylputrescine
CHEBI:58040	 dimethylamine
CHEBI:58042	 guanidinoethyl methyl phosphate
CHEBI:58043	 a ribonucleoside 5'-phosphate
CHEBI:58044	 2,5-dihydroxybenzoate
CHEBI:58045	 L-isoleucine
CHEBI:58046	 3,5-dibromo-4-hydroxybenzonitrile
CHEBI:58048	 L-asparagine
CHEBI:58051	 4,5-dihydroxyphthalate
CHEBI:58052	 UDP-alpha-D-glucuronate
CHEBI:58053	 IMP
CHEBI:58055	 4,5-dioxopentanoate
CHEBI:58056	 2-methyleneglutarate
CHEBI:58057	 (2E)-geranyl diphosphate
CHEBI:58058	 D-lysopine
CHEBI:58059	 oxidized Cypridina luciferin
CHEBI:58061	 salutaridine
CHEBI:58064	 taurocyamine
CHEBI:58066	 L-glutamate 5-semialdehyde
CHEBI:58067	 beta-cyclopiazonate
CHEBI:58069	 CDP
CHEBI:58071	 2-ethylhexyl phthalate
CHEBI:58074	 D-nopaline
CHEBI:58075	 2-hydroxy-4-oxobutane-1,2,4-tricarboxylate
CHEBI:58077	 bis-gamma-glutamylcystine
CHEBI:58079	 butanoyl phosphate
CHEBI:58080	 N(4)-(beta-N-acetyl-D-glucosaminyl)-L-asparagine
CHEBI:58081	 dTDP-D-galacturonate
CHEBI:58082	 O-(1->4)-alpha-L-dihydrostreptosyl-streptidine 6-phosphate
CHEBI:58083	 glycerol 2-phosphate
CHEBI:58085	 2-isopropylmaleate
CHEBI:58087	 N-succinyl-(2S,6S)-2,6-diaminoheptanedioate
CHEBI:58088	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)
CHEBI:58090	 L-cysteate
CHEBI:58091	 deacetylisoipecoside
CHEBI:58092	 N-phosphocreatine
CHEBI:58093	 homoserine lactone
CHEBI:58095	 L-phenylalanine
CHEBI:58097	 morphine
CHEBI:58098	 2-dehydro-3-deoxy-D-glucarate
CHEBI:58100	 N(6),N(6),N(6)-trimethyl-L-lysine
CHEBI:58101	 N(1)-acetylspermine
CHEBI:58102	 N(2),6-disulfo-D-glucosamine
CHEBI:58103	 5,6,7,8-tetrahydromethanopterin
CHEBI:58105	 N(6)-[(indole-3-yl)acetyl]-L-lysine
CHEBI:58111	 N(5)-acyl-L-ornithine
CHEBI:58112	 cetraxate
CHEBI:58113	 L-2-aminohexano-6-lactam
CHEBI:58114	 2-carboxy-cis,cis-muconate
CHEBI:58115	 GMP
CHEBI:58116	 5-methyl-5,6,7,8-tetrahydromethanopterin
CHEBI:58117	 L-2-acetamido-6-oxoheptanedioate
CHEBI:58118	 L-rhamnonate
CHEBI:58119	 N(4)-phosphoagmatine
CHEBI:58121	 D-ribulose 5-phosphate
CHEBI:58122	 N(6)-acetyl-N(6)-hydroxy-L-lysine
CHEBI:58123	 a (2S)-2-hydroxycarboxylate
CHEBI:58124	 isovitexin 2''-O-beta-D-glucoside
CHEBI:58125	 3-hydroxy-L-kynurenine
CHEBI:58126	 porphobilinogen
CHEBI:58127	 GDP-D-glucose
CHEBI:58128	 N(5)-ethyl-L-glutamine
CHEBI:58130	 1D-myo-inositol hexakisphosphate
CHEBI:58131	 2-methylpropanoyl phosphate
CHEBI:58132	 3-chloro-L-alanine
CHEBI:58133	 3-(imidazol-5-yl)pyruvate
CHEBI:58135	 2-(hydroxymethyl)-4-oxobutanoate
CHEBI:58136	 2,5-dioxopentanoate
CHEBI:58137	 3,4-dihydroxyphthalate
CHEBI:58138	 N-caffeoylputrescine
CHEBI:58139	 3-hydroxy-cis,cis-muconate
CHEBI:58140	 tetrahydropteroyltri-L-glutamate
CHEBI:58141	 P(1),P(4)-bis(5'-adenosyl) tetraphosphate
CHEBI:58142	 4-carboxy-2-hydroxy-cis,cis-muconate
CHEBI:58143	 5-dehydro-D-gluconate
CHEBI:58144	 (R)-reticuline
CHEBI:58145	 agmatine
CHEBI:58146	 (R)-5-phosphomevalonate
CHEBI:58147	 4-(2-aminophenyl)-2,4-dioxobutanoate
CHEBI:58148	 L-homocitrulline
CHEBI:58149	 3-hydroxyphenylacetate
CHEBI:58150	 3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine
CHEBI:58151	 methanofuran
CHEBI:58152	 cis-4-coumarate
CHEBI:58154	 N-(2,3-dihydroxybenzoyl)-L-serine
CHEBI:58155	 N-methyltyramine
CHEBI:58157	 2-O-caffeoylglucarate
CHEBI:58158	 aminomalonate
CHEBI:58159	 uracil 5-carboxylate
CHEBI:58161	 L,L-cystathionine
CHEBI:58164	 L-hyoscyamine
CHEBI:58165	 3',5'-cyclic AMP
CHEBI:58166	 CDP-4-dehydro-6-deoxy-D-glucose
CHEBI:58168	 a 1-acyl-sn-glycero-3-phosphocholine
CHEBI:58169	 2-(alpha-D-galactosyl)-sn-glycerol 3-phosphate
CHEBI:58170	 6-O-sulfo-beta-D-galactosyl-(1<->1)-sphing-4-enine
CHEBI:58171	 7,8-dihydroxykynurenate
CHEBI:58173	 gamma-L-glutamyl-L-cysteine
CHEBI:58174	 cis-homoaconitate
CHEBI:58175	 N-methyl-L-alanine
CHEBI:58176	 (Z)-2-phenyl-1-thioacetohydroximate
CHEBI:58177	 testolate
CHEBI:58178	 a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate)
CHEBI:58179	 all-trans-hexaprenyl diphosphate
CHEBI:58180	 L-arogenate
CHEBI:58181	 trans-beta-D-glucosyl-2-hydroxycinnamate
CHEBI:58182	 (S)-6-hydroxynicotine
CHEBI:58183	 6-amino-2-oxohexanoate
CHEBI:58184	 L-tyrosyl-L-arginine
CHEBI:58185	 2-carboxy-D-arabinitol 1-phosphate
CHEBI:58186	 1-phospho-alpha-D-galacturonate
CHEBI:58189	 GDP
CHEBI:58190	 phosphoethanolamine
CHEBI:58191	 1-O-alkyl-2-acetyl-sn-glycerol 3-phosphate
CHEBI:58192	 quercitrin
CHEBI:58193	 3alpha(S)-strictosidine
CHEBI:58194	 biochanin A
CHEBI:58195	 S-(5-deoxy-D-ribos-5-yl)-L-homocysteine
CHEBI:58196	 (3R)-3-hydroxy-L-aspartate
CHEBI:58199	 L-homocysteine
CHEBI:58200	 N(5)-methyl-L-glutamine
CHEBI:58201	 6,7-dimethyl-8-(1-D-ribityl)lumazine
CHEBI:58202	 N(6)-methyl-L-lysine
CHEBI:58203	 2-formylbenzoate
CHEBI:58205	 3-nitroacrylate
CHEBI:58206	 all-trans-heptaprenyl diphosphate
CHEBI:58207	 5-methyltetrahydropteroyltri-L-glutamate
CHEBI:58209	 4-(3-methylbut-2-enyl)-L-tryptophan
CHEBI:58210	 FMN
CHEBI:58213	 aminoacetaldehyde
CHEBI:58214	 kanamycin A
CHEBI:58217	 pentachlorophenol
CHEBI:58218	 9-riburonosylhypoxanthine
CHEBI:58219	 mevaldate
CHEBI:58223	 UDP
CHEBI:58224	 GDP-alpha-D-rhamnose
CHEBI:58225	 alpha-D-glucose 6-phosphate
CHEBI:58226	 L-ribulose 5-phosphate
CHEBI:58227	 5-(L-alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
CHEBI:58228	 carbamoyl phosphate
CHEBI:58229	 Watasenia luciferin
CHEBI:58230	 2-(beta-D-glucuronosyl)-D-glucuronate
CHEBI:58232	 D-glucose 1,6-bisphosphate
CHEBI:58234	 3-hydroxyquinine
CHEBI:58236	 N-feruloylglycine
CHEBI:58237	 cis-4,5-dihydroxycyclohexa-2,6-diene-1,2-dicarboxylate
CHEBI:58238	 4-methoxy-1-methyl-2-oxo-1,2-dihydropyridine-3-carboxylate
CHEBI:58239	 16-hydroxytabersonine
CHEBI:58240	 aspulvinone E
CHEBI:58241	 N(2)-succinyl-L-arginine
CHEBI:58242	 luciferyl sulfate
CHEBI:58243	 adenosine 5'-phosphosulfate
CHEBI:58245	 dAMP
CHEBI:58246	 sulfoacetaldehyde
CHEBI:58247	 beta-D-glucose 6-phosphate
CHEBI:58248	 (2R)-2,3-bisphosphoglycerate
CHEBI:58249	 nicotianamine
CHEBI:58251	 N,N-dimethylglycine
CHEBI:58252	 S-methyl-L-methionine
CHEBI:58253	 (S)-norcoclaurine
CHEBI:58254	 quercetin 3-sulfate
CHEBI:58255	 aldehydo-D-galactose 6-phosphate
CHEBI:58256	 alpha-cyclopiazonate
CHEBI:58257	 S-(4-bromophenyl)-L-cysteine
CHEBI:58259	 dihydrostreptomycin 3'alpha,6-bisphosphate
CHEBI:58260	 N(6)-acetyl-L-lysine
CHEBI:58261	 monomethyl sulfate
CHEBI:58262	 2-C-methyl-D-erythritol 4-phosphate
CHEBI:58263	 N-acetylputrescine
CHEBI:58264	 4-aminobutanal
CHEBI:58265	 2-hydroxy-3-oxosuccinate
CHEBI:58266	 5-hydroxy-L-tryptophan
CHEBI:58269	 2-amino-2-deoxy-D-gluconate
CHEBI:58270	 N-acetyl-L-leucine
CHEBI:58272	 (2R)-3-phosphoglycerate
CHEBI:58273	 aldehydo-D-ribose 5-phosphate
CHEBI:58274	 L-glutamyl 5-phosphate
CHEBI:58275	 2-methylserine
CHEBI:58276	 4-hydroxy-4-methyl-2-oxoglutarate
CHEBI:58277	 dehydro-D-arabinono-1,4-lactone
CHEBI:58278	 D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate
CHEBI:58280	 IDP
CHEBI:58282	 1D-myo-inositol 1,4-bisphosphate
CHEBI:58284	 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate
CHEBI:58285	 N(7)-methyl-GMP
CHEBI:58286	 methyl-coenzyme M
CHEBI:58289	 (2R)-2-phosphoglycerate
CHEBI:58290	 trypanothione
CHEBI:58291	 1D-1-guanidino-1-deoxy-3-dehydro-scyllo-inositol
CHEBI:58293	 1-acyl-2-(9Z)-octadecenoyl-sn-glycero-3-phosphocholine
CHEBI:58295	 S-acetylcysteamine
CHEBI:58296	 4-methyl-5-(2-phosphooxyethyl)-thiazole
CHEBI:58297	 glutathione disulfide
CHEBI:58298	 2-dehydro-3-deoxy-6-phospho-D-galactonate
CHEBI:58299	 3-oxosphinganine
CHEBI:58301	 taurolithocholate 3-sulfate
CHEBI:58303	 1-hexadecanoylglycerone 3-phosphate
CHEBI:58304	 2-oxo-2H-pyran-4,6-dicarboxylate
CHEBI:58305	 quercetin 3,3'-bissulfate
CHEBI:58306	 rifamycin B
CHEBI:58307	 FADH2
CHEBI:58308	 5-amino-4-chloro-2-(2-hydroxymuconoyl)pyridazin-3(2H)-one
CHEBI:58310	 N(2)-phenylacetyl-L-glutamine
CHEBI:58311	 CDP-glycerol
CHEBI:58312	 6-phospho-beta-D-glucosyl-(1->4)-D-glucose
CHEBI:58313	 L-rhamnulose 1-phosphate
CHEBI:58314	 a (2R)-2-hydroxycarboxylate
CHEBI:58315	 L-tyrosine
CHEBI:58318	 N-carbamoylputrescine
CHEBI:58319	 coenzyme M
CHEBI:58320	 aminoacetone
CHEBI:58321	 (S)-2-amino-6-oxohexanoate
CHEBI:58322	 3-sulfanyl-2-(sulfanylmethyl)propanoate
CHEBI:58324	 N(1)-acetylspermidine
