id	name	abbreviation	formula	charge	isCofactor
cpd09118	Deoxyribose triphosphate	Deoxyribose triphosphate	C5H10O13P3	-3	0
cpd09119	Tetracenomycin F2	Tetracenomycin F2	C20H15O8	-1	0
cpd09120	Tetracenomycin F1	Tetracenomycin F1	C20H13O7	-1	0
cpd09121	Tetracenomycin D3	Tetracenomycin D3	C20H11O8	-1	0
cpd09122	Tetracenomycin B3	Tetracenomycin B3	C21H13O8	-1	0
cpd09123	Tetracenomycin E	Tetracenomycin E	C22H15O8	-1	0
cpd09124	Tetracenomycin A2	Tetracenomycin A2	C23H18O8	0	0
cpd09125	Tetracenomycin M	Tetracenomycin M	C19H16O7	0	0
cpd09126	Tetracenomycin F1 methylester	Tetracenomycin F1 methylester	C21H16O7	0	0
cpd09127	Decarboxytetracenomycin F1	Decarboxytetracenomycin F1	C19H14O5	0	0
cpd09128	Tetracenomycin D3 methylester	Tetracenomycin D3 methylester	C21H14O8	0	0
cpd09129	Tetracenomycin D1	Tetracenomycin D1	C19H12O6	0	0
cpd09130	Tetracenomycin B1	Tetracenomycin B1	C20H14O6	0	0
cpd09131	Tetracenomycin B2	Tetracenomycin B2	C22H16O8	0	0
cpd09132	8-Demethyltetracenomycin C	8-Demethyltetracenomycin C	C22H18O11	0	0
cpd09133	Tetracenomycin X	Tetracenomycin X	C24H22O11	0	0
cpd09134	Elloramycin A	Elloramycin A	C32H36O15	0	0
cpd09135	4-Demethylpremithramycinone	4-Demethylpremithramycinone	C20H15O9	-1	0
cpd09136	Premithramycinone	Premithramycinone	C21H17O9	-1	0
cpd09137	Premithramycin A1	Premithramycin A1	C27H27O12	-1	0
cpd09138	Premithramycin A2'	Premithramycin A2'	C33H37O15	-1	0
cpd09139	Premithramycin A3'	Premithramycin A3'	C40H49O18	-1	0
cpd09141	Premithramycin B	Premithramycin B	C53H71O24	-1	0
cpd09142	Mithramycin (dup2)	Mithramycin (dup2)	C52H76O24	0	0
cpd09143	Dehydrorabelomycin	Dehydrorabelomycin	C19H12O5	0	0
cpd09144	Kinobscurinone	Kinobscurinone	C18H10O5	0	0
cpd09145	Stealthin C	Stealthin C	C18H14NO4	1	0
cpd09146	Prekinamycin	Prekinamycin	C18H11N2O4	1	0
cpd09147	Kinamycin D	Kinamycin D	C22H19N2O9	1	0
cpd09148	Jadomycin B	Jadomycin B	C30H31NO9	0	0
cpd09149	Tetrangomycin	Tetrangomycin	C19H14O5	0	0
cpd09150	Tetrangulol	Tetrangulol	C19H12O4	0	0
cpd09151	8-O-Methyltetrangulol	8-O-Methyltetrangulol	C20H14O4	0	0
cpd09152	19-Hydroxytetrangulol	19-Hydroxytetrangulol	C19H12O5	0	0
cpd09153	19-Hydroxy-8-O-methyltetrangulol	19-Hydroxy-8-O-methyltetrangulol	C20H14O5	0	0
cpd09154	PD116740	PD116740	C20H16O7	0	0
cpd09155	Rabelomycin	Rabelomycin	C19H14O6	0	0
cpd09156	104-1	104-1	C25H24O9	0	0
cpd09157	Urdamycinone B	Urdamycinone B	C25H24O8	0	0
cpd09158	100-1	100-1	C31H34O10	0	0
cpd09159	Urdamycin B	Urdamycin B	C37H44O13	0	0
cpd09160	104-2	104-2	C25H23O9	-1	0
cpd09161	100-2	100-2	C31H36O12	0	0
cpd09162	124-1	124-1	C37H43O14	-1	0
cpd09163	Urdamycinone F	Urdamycinone F	C25H28O11	0	0
cpd09164	Urdamycin F	Urdamycin F	C43H58O18	0	0
cpd09165	Aquayamycin	Aquayamycin	C25H26O10	0	0
cpd09166	Urdamycin A	Urdamycin A	C43H56O17	0	0
cpd09167	Urdamycin G	Urdamycin G	C37H46O14	0	0
cpd09168	Nogalonic acid	Nogalonic acid	C20H13O8	-1	0
cpd09169	Auraviketone	Auraviketone	C21H16O8	0	0
cpd09170	Dihydro-NAME	Dihydro-NAME	C21H18O8	0	0
cpd09171	Auramycinone	Auramycinone	C21H18O8	0	0
cpd09172	12-Deoxyaklanonic acid	12-Deoxyaklanonic acid	C21H17O7	-1	0
cpd09173	Aklanonic acid	Aklanonic acid	C21H15O8	-1	0
cpd09174	Aklanonic acid methyl ester	Aklanonic acid methyl ester	C22H18O8	0	0
cpd09175	Aklaviketone	Aklaviketone	C22H18O8	0	0
cpd09176	Aklavinone	Aklavinone	C22H20O8	0	0
cpd09177	epsilon-Rhodomycinone	epsilon-Rhodomycinone	C22H20O9	0	0
cpd09178	Rhodomycin D	Rhodomycin D	C28H32NO11	1	0
cpd09179	10-Carboxy-13-deoxycarminomycin	10-Carboxy-13-deoxycarminomycin	C27H29NO11	0	0
cpd09180	13-Deoxycarminomycin	13-Deoxycarminomycin	C26H30NO9	1	0
cpd09181	13-Deoxydaunorubicin	13-Deoxydaunorubicin	C27H32NO9	1	0
cpd09182	13-Dihydrodaunorubicin	13-Dihydrodaunorubicin	C27H32NO10	1	0
cpd09183	13-Dihydrocarminomycin	13-Dihydrocarminomycin	C26H30NO10	1	0
cpd09184	Carminomycin	Carminomycin	C26H28NO10	1	0
cpd09185	(13S)-13-Dihydrodaunorubicin	(13S)-13-Dihydrodaunorubicin	C27H32NO10	1	0
cpd09186	(S)-DNPA	(S)-DNPA	C16H13O5	-1	0
cpd09187	6-Deoxydihydrokalafungin	6-Deoxydihydrokalafungin	C16H15O5	-1	0
cpd09188	Dihydrokalafungin	Dihydrokalafungin	C16H13O6	-1	0
cpd09189	Medermycin	Medermycin	C24H28NO8	1	0
cpd09190	2-Decarboxytetrangomycin	2-Decarboxytetrangomycin	C20H13O7	-1	0
cpd09191	Phenanthroviridone aglycon	Phenanthroviridone aglycon	C20H12NO6R	10000000	0
cpd09192	Trachelanthamidine	Trachelanthamidine	C8H16NO	1	0
cpd09193	C-9 Reduced nonaketamide	C-9 Reduced nonaketamide	C19H22NO10RS	10000000	0
cpd09194	dTDP-beta-L-daunosamine	dTDP-beta-L-daunosamine	C16H26N3O13P2	-1	0
cpd09195	dTDP-D-mycarose	dTDP-D-mycarose	C17H26N2O14P2	-2	0
cpd09196	dTDP-beta-D-olivose	dTDP-beta-D-olivose	C16H24N2O14P2	-2	0
cpd09197	dTDP-D-oliose	dTDP-D-oliose	C16H24N2O14P2	-2	0
cpd09198	dTDP-beta-L-rhodinose	dTDP-beta-L-rhodinose	C16H24N2O13P2	-2	0
cpd09199	Ecgonine methyl ester	Ecgonine methyl ester	C10H18NO3	1	0
cpd09200	Pseudoecgonine	Pseudoecgonine	C9H15NO3	0	0
cpd09201	Pseudoecgonyl-CoA	Pseudoecgonyl-CoA	C30H46N8O18P3S	-3	0
cpd09202	Fridamycin E	Fridamycin E	C19H15O7	-1	0
cpd09203	Acetyltropine	Acetyltropine	C10H18NO2	1	0
cpd09204	Acetylpseudotropine	Acetylpseudotropine	C10H18NO2	1	0
cpd09205	Anatalline	Anatalline	C15H18N3	1	0
cpd09206	5-Aminopentanal	5-Aminopentanal	C5H12NO	1	0
cpd09207	3-Dimethylallyl-4-hydroxyphenylpyruvate	3-Dimethylallyl-4-hydroxyphenylpyruvate	C14H15O4	-1	0
cpd09208	3-Dimethylallyl-4-hydroxymandelic acid	3-Dimethylallyl-4-hydroxymandelic acid	C13H15O4	-1	0
cpd09209	3-Dimethylallyl-4-hydroxybenzoate	3-Dimethylallyl-4-hydroxybenzoate	C12H13O3	-1	0
cpd09210	3-Dimethylallyl-4-hydroxybenzaldehyde	3-Dimethylallyl-4-hydroxybenzaldehyde	C12H14O2	0	0
cpd09211	3-Amino-4,7-dihydroxy-8-methylcoumarin	3-Amino-4,7-dihydroxy-8-methylcoumarin	C10H9NO4	0	0
cpd09212	3-Amino-4,7-dihydroxycoumarin	3-Amino-4,7-dihydroxycoumarin	C9H7NO4	0	0
cpd09213	3-Amino-4,7-dihydroxy-8-chlorocoumarin	3-Amino-4,7-dihydroxy-8-chlorocoumarin	C9H5ClNO4	-1	0
cpd09214	Chlorobiocic acid	Chlorobiocic acid	C21H16ClNO6	-2	0
cpd09215	Novclobiocin 105	Novclobiocin 105	C28H29ClNO10	-1	0
cpd09216	Novclobiocin 104	Novclobiocin 104	C29H31ClNO10	-1	0
cpd09217	Novobiocic acid	Novobiocic acid	C22H21NO6	0	0
cpd09218	Desmethyldescarbamoylnovobiocin	Desmethyldescarbamoylnovobiocin	C29H32NO10	-1	0
cpd09219	Descarbamoylnovobiocin	Descarbamoylnovobiocin	C30H34NO10	-1	0
cpd09220	3-Methylpyrrole-2,4-dicarboxylic acid	3-Methylpyrrole-2,4-dicarboxylic acid	C7H5NO4	-2	0
cpd09221	Coumeroic acid	Coumeroic acid	C17H13N2O7	-1	0
cpd09222	Coumermic acid	Coumermic acid	C27H21N3O10	0	0
cpd09223	Coumermycin D	Coumermycin D	C43H47N3O18	-2	0
cpd09224	dTDP-5-dimethyl-L-lyxose	dTDP-5-dimethyl-L-lyxose	C17H26N2O15P2	-2	0
cpd09225	Boric acid	Boric acid	BH3O3	0	0
cpd09227	Butenafine hydrochloride	Butenafine hydrochloride	C23H28ClN	10000000	0
cpd09228	Pyrrolnitrin	Pyrrolnitrin	C10H6Cl2N2O2	0	0
cpd09230	Nateglinide	Nateglinide	C19H26NO3	-1	0
cpd09231	Eplerenone	Eplerenone	C24H30O6	0	0
cpd09232	Pyriditol	Pyriditol	C16H20N2O4S2	0	0
cpd09234	5alpha-Androstan-3beta,17beta-diol	5alpha-Androstan-3beta,17beta-diol	C19H32O2	0	0
cpd09235	Tazarotene	Tazarotene	C21H21NO2S	0	0
cpd09236	Sulfamonomethoxine	Sulfamonomethoxine	C11H12N4O3S	0	0
cpd09237	Oxethazaine	Oxethazaine	C28H41N3O3	0	0
cpd09238	Potassium acetate	Potassium acetate	C2H3KO2	10000000	0
cpd09239	Cefepime hydrochloride	Cefepime hydrochloride	C19H28Cl2N6O6S2	10000000	0
cpd09240	Saquinavir mesylate	Saquinavir mesylate	C39H54N6O8S	10000000	0
cpd09241	Aripiprazole	Aripiprazole	C23H28Cl2N3O2	1	0
cpd09242	Magnesium oxide	Magnesium oxide	MgO	10000000	0
cpd09243	Potassium hydroxide	Potassium hydroxide	HKO	10000000	0
cpd09244	Sodium hydroxide	Sodium hydroxide	HNaO	10000000	0
cpd09245	Pheniramine maleate	Pheniramine maleate	C20H24N2O4	10000000	0
cpd09246	Pheneturide	Pheneturide	C11H14N2O2	0	0
cpd09247	Emtricitabine	Emtricitabine	C8H10FN3O3S	0	0
cpd09248	Phenolsulfonphthalein	Phenolsulfonphthalein	C19H14O5S	0	0
cpd09249	Sodium bicarbonate	Sodium bicarbonate	CHNaO3	10000000	0
cpd09250	Novobiocin sodium	Novobiocin sodium	C31H35N2NaO11	10000000	0
cpd09251	Sulfamethopyrazine	Sulfamethopyrazine	C11H11N4O3S	-1	0
cpd09252	trans-3-Hydroxycinnamate	trans-3-Hydroxycinnamate	C9H7O3	-1	0
cpd09253	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	C9H9O4	-1	0
cpd09254	trans-2,3-Dihydroxycinnamate	trans-2,3-Dihydroxycinnamate	C9H7O4	-1	0
cpd09255	2-Hydroxy-6-ketononatrienedioate	2-Hydroxy-6-ketononatrienedioate	C9H6O6	-2	0
cpd09256	Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside)	Biochanin A 7-O-(6-O-malonyl-beta-D-glucoside)	C25H23O13	-1	0
cpd09257	Kaempferol-3-O-galactoside	Kaempferol-3-O-galactoside	C21H19O11	-1	0
cpd09258	Apigenin 7-O-neohesperidoside	Apigenin 7-O-neohesperidoside	C27H30O14	0	0
cpd09259	Vitexin 2''-O-beta-L-rhamnoside	Vitexin 2''-O-beta-L-rhamnoside	C27H29O14	-1	0
cpd09260	Isoswertisin 2''-rhamnoside	Isoswertisin 2''-rhamnoside	C28H32O14	0	0
cpd09261	Scolymoside	Scolymoside	C27H30O15	0	0
cpd09262	2-Hydroxy-2,3-dihydrogenistein	2-Hydroxy-2,3-dihydrogenistein	C15H12O6	0	0
cpd09263	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	C27H24O18	-2	0
cpd09264	Laricitrin	Laricitrin	C16H11O8	-1	0
cpd09265	Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside	Kaempferol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside	C27H29O16	-1	0
cpd09266	Kaempferol 3-sophorotrioside	Kaempferol 3-sophorotrioside	C33H39O21	-1	0
cpd09267	Kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside]	Kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside]	C42H45O23	-1	0
cpd09268	Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside]	Quercetin 3-O-[beta-D-xylosyl-(1->2)-beta-D-glucoside]	C26H27O16	-1	0
cpd09269	Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)	Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)	C24H20O15	-2	0
cpd09270	Quercimeritrin (dup2)	Quercimeritrin (dup2)	C21H20O12	0	0
cpd09271	Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside	Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside	C36H36O18	0	0
cpd09272	4'''-Demalonylsalvianin	4'''-Demalonylsalvianin	C39H37O21	-1	0
cpd09273	Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside)	Pelargonidin 3-O-(6-O-malonyl-beta-D-glucoside)	C24H21O13	-1	0
cpd09274	Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)	Cyanidin 3-O-(6-O-malonyl-beta-D-glucoside)	C24H21O14	-1	0
cpd09275	Pelargonidin 3-O-rutinoside	Pelargonidin 3-O-rutinoside	C27H30O14	0	0
cpd09276	Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside	Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside	C33H40O19	0	0
cpd09277	Cyanidin 3-O-rutinoside 5-O-beta-D-glucoside	Cyanidin 3-O-rutinoside 5-O-beta-D-glucoside	C33H40O20	0	0
cpd09278	Salvianin	Salvianin	C42H38O24	-2	0
cpd09279	Citric acid monohydrate	Citric acid monohydrate	C6H10O8	10000000	0
cpd09280	Capecitabine	Capecitabine	C15H22FN3O6	0	0
cpd09281	Phenylpropanolamine hydrochloride	Phenylpropanolamine hydrochloride	C9H13NO	0	0
cpd09282	Paramethasone acetate	Paramethasone acetate	C24H31FO6	0	0
cpd09283	Pantethine	Pantethine	C22H42N4O8S2	0	0
cpd09284	Leucomycin A3	Leucomycin A3	C42H70NO15	1	0
cpd09285	Prednisolone sodium succinate	Prednisolone sodium succinate	C25H31NaO8	10000000	0
cpd09286	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside	C27H29O17	-1	0
cpd09287	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside	C33H39O22	-1	0
cpd09288	Tegafur	Tegafur	C8H9FN2O3	0	0
cpd09289	Benzylhydrochlorothiazide	Benzylhydrochlorothiazide	C14H14ClN3O4S2	0	0
cpd09290	Acrinol	Acrinol	C18H21N3O4	10000000	0
cpd09291	Floxacillin sodium	Floxacillin sodium	C19H16N3O5SClF	-1	0
cpd09292	Berberine chloride	Berberine chloride	C20H18ClNO4	10000000	0
cpd09294	Cyclothiazide	Cyclothiazide	C14H16ClN3O4S2	0	0
cpd09295	Cefacetrile sodium	Cefacetrile sodium	C13H12N3NaO6S	10000000	0
cpd09296	Carindacillin sodium	Carindacillin sodium	C26H25N2NaO6S	10000000	0
cpd09297	Dimefline hydrochloride	Dimefline hydrochloride	C20H22ClNO3	10000000	0
cpd09298	Ethynodiol diacetate	Ethynodiol diacetate	C24H32O4	0	0
cpd09299	Bisibuthiamine	Bisibuthiamine	C32H46N8O6S2	0	0
cpd09300	Troleandomycin	Troleandomycin	C41H68NO15	1	0
cpd09301	Mequitazine	Mequitazine	C20H23N2S	1	0
cpd09302	Cyclacillin	Cyclacillin	C15H23N3O4S	0	0
cpd09303	Dibenzthion	Dibenzthion	C17H18N2S2	0	0
cpd09304	Timepidium bromide	Timepidium bromide	C17H22BrNOS2	10000000	0
cpd09305	Erythromycin ethylsuccinate	Erythromycin ethylsuccinate	C43H76NO16	1	0
cpd09306	Tulobuterol hydrochloride	Tulobuterol hydrochloride	C12H19Cl2NO	10000000	0
cpd09307	Allylestrenol	Allylestrenol	C21H32O	0	0
cpd09308	Kainic acid	Kainic acid	C10H14NO4	-1	0
cpd09309	Bromisovalum	Bromisovalum	C6H11BrN2O2	0	0
cpd09310	3,4,6-Trichlorocatechol	3,4,6-Trichlorocatechol	C6H2Cl3O2	-1	0
cpd09311	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene	C6H5Cl3O2	0	0
cpd09312	2,3,5-Trichloro-cis,cis-muconate	2,3,5-Trichloro-cis,cis-muconate	C6HCl3O4	-2	0
cpd09313	2,5-Dichloro-carboxymethylenebut-2-en-4-olide	2,5-Dichloro-carboxymethylenebut-2-en-4-olide	C6HCl2O4	-1	0
cpd09314	2,5-Dichloro-4-oxohex-2-enedioate	2,5-Dichloro-4-oxohex-2-enedioate	C6H2Cl2O5	-2	0
cpd09315	2-Chloro-3-oxoadipate	2-Chloro-3-oxoadipate	C6H5ClO5	-2	0
cpd09316	3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene	3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene	C6H7ClO2	0	0
cpd09317	trans-4-Carboxymethylenebut-2-en-4-olide	trans-4-Carboxymethylenebut-2-en-4-olide	C6H3O4	-1	0
cpd09318	Pyricarbate	Pyricarbate	C11H15N3O4	0	0
cpd09319	Cefpirome sulfate	Cefpirome sulfate	C21H23N7O9S3	0	0
cpd09320	p-Phenolsulfonic acid	p-Phenolsulfonic acid	C6H5O4S	-1	0
cpd09321	Thiamphenicol	Thiamphenicol	C12H15Cl2NO5S	0	0
cpd09322	Estradiol valerate	Estradiol valerate	C23H32O3	0	0
cpd09323	Nedaplatin	Nedaplatin	C2H2O3.H6N2.Pt	2	0
cpd09324	Tamibarotene	Tamibarotene	C22H24NO3	-1	0
cpd09325	Benzyl nicotinate	Benzyl nicotinate	C13H11NO2	0	0
cpd09326	Lopinavir	Lopinavir	C37H48N4O5	0	0
cpd09327	Dialicor	Dialicor	C21H28ClNO2	10000000	0
cpd09328	Hydrocortisone succinate	Hydrocortisone succinate	C25H33O8	-1	0
cpd09329	n-Decanohydroxamic acid	n-Decanohydroxamic acid	C10H21NO2	0	0
cpd09330	Acetylspiramycin	Acetylspiramycin	C45H78N2O15	2	0
cpd09331	Magnesium carbonate	Magnesium carbonate	CMgO3	10000000	0
cpd09332	Carpipramine maleate	Carpipramine maleate	C32H42N4O5	10000000	0
cpd09333	Bupivacaine hydrochloride	Bupivacaine hydrochloride	C18H28N2O	0	0
cpd09334	Variotin	Variotin	C17H25NO3	0	0
cpd09335	Nemonapride	Nemonapride	C21H27ClN3O2	1	0
cpd09336	1-alpha,24(R)-Dihydroxyvitamin D3	1-alpha,24(R)-Dihydroxyvitamin D3	C27H44O3	0	0
cpd09337	Rolitetracycline nitrate	Rolitetracycline nitrate	C54H74N8O25	10000000	0
cpd09338	Clocapramine dihydrochloride	Clocapramine dihydrochloride	C28H39Cl3N4O	10000000	0
cpd09339	Butoctamide hydrogen succinate	Butoctamide hydrogen succinate	C16H28NO5	-1	0
cpd09340	Mazaticol hydrochloride	Mazaticol hydrochloride	C21H28ClNO3S2	10000000	0
cpd09341	Dilazep dihydrochloride	Dilazep dihydrochloride	C31H46Cl2N2O10	10000000	0
cpd09342	Phenylacetylglycine dimethylamide	Phenylacetylglycine dimethylamide	C12H16N2O2	0	0
cpd09343	Dimetacrine tartrate	Dimetacrine tartrate	C24H32N2O6	10000000	0
cpd09344	Cyphenothrin	Cyphenothrin	C24H25NO3	0	0
cpd09345	Tocoretinate	Tocoretinate	C49H76O3	0	0
cpd09346	Epidihydrocholesterin	Epidihydrocholesterin	C27H48O	0	0
cpd09347	Cefroxadine	Cefroxadine	C16H19N3O5S	0	0
cpd09348	dl-alpha-Tocopherol nicotinate	dl-alpha-Tocopherol nicotinate	C35H53NO3	0	0
cpd09349	N2-Acetyl-L-aminoadipate	N2-Acetyl-L-aminoadipate	C8H11NO5	-2	0
cpd09350	N2-Acetyl-L-aminoadipyl-delta-phosphate	N2-Acetyl-L-aminoadipyl-delta-phosphate	C8H11NO8P	-3	0
cpd09351	N2-Acetyl-L-aminoadipate semialdehyde	N2-Acetyl-L-aminoadipate semialdehyde	C8H12NO4	-1	0
cpd09352	N2-Acetyl-L-lysine	N2-Acetyl-L-lysine	C8H16N2O3	0	0
cpd09353	Laureth 4	Laureth 4	C12H26O(C2H4O)n	10000000	0
cpd09354	Edaravone	Edaravone	C10H10N2O	0	0
cpd09355	1-Naphthylacetic acid	1-Naphthylacetic acid	C12H9O2	-1	0
cpd09356	Carumonam sodium	Carumonam sodium	C12H12N6Na2O10S2	10000000	0
cpd09357	Cefpimizole sodium	Cefpimizole sodium	C28H25N6NaO10S2	10000000	0
cpd09358	Tonus-forte	Tonus-forte	C10H15NO2	0	0
cpd09359	Estramustine phosphate sodium	Estramustine phosphate sodium	C23H30Cl2NNa2O6P	10000000	0
cpd09360	Lynestrenol	Lynestrenol	C20H28O	0	0
cpd09361	Flufenamic acid	Flufenamic acid	C14H9F3NO2	-1	0
cpd09362	Tricaprilin	Tricaprilin	C27H50O6	0	0
cpd09363	p-Nitrophenyl-O-ethyl ethylphosphonate	p-Nitrophenyl-O-ethyl ethylphosphonate	C10H14NO5P	0	0
cpd09364	Cyclic ADP-ribose	Cyclic ADP-ribose	C15H19N5O13P2	-2	0
cpd09365	Nicotinic acid adenine dinucleotide phosphate	Nicotinic acid adenine dinucleotide phosphate	C21H23N6O18P3	-4	0
cpd09366	Oxytetracycline hydrochloride	Oxytetracycline hydrochloride	C22H25ClN2O9	10000000	0
cpd09367	Calcium L-aspartate	Calcium L-aspartate	C4H5CaNO4	10000000	0
cpd09368	Acetylsulfamethoxazole	Acetylsulfamethoxazole	C12H12N3O4S	-1	0
cpd09369	Sodium picosulfate	Sodium picosulfate	C18H13NNa2O8S2	10000000	0
cpd09370	Estradiol dipropionate	Estradiol dipropionate	C24H32O4	0	0
cpd09371	Sodium glucuronate	Sodium glucuronate	C6H9NaO7	10000000	0
cpd09372	Propagermanium	Propagermanium	C6H8Ge2O7	-2	0
cpd09373	Cefetamet pivoxil hydrochloride	Cefetamet pivoxil hydrochloride	C20H26ClN5O7S2	10000000	0
cpd09374	Hexestrol	Hexestrol	C18H22O2	0	0
cpd09375	Bismuth subnitrate	Bismuth subnitrate	Bi.H2NO3.N2O6	0	0
cpd09376	Leucomycin V	Leucomycin V	C35H60NO13	1	0
cpd09377	Aluminoparaaminosalicylate calcium	Aluminoparaaminosalicylate calcium	C14H13AlCaN2O8	10000000	0
cpd09378	Hyoscyamine methylbromide	Hyoscyamine methylbromide	C18H26BrNO3	10000000	0
cpd09379	Propicillin potassium	Propicillin potassium	C18H21KN2O5S	10000000	0
cpd09380	Ancitabin hydrochloride	Ancitabin hydrochloride	C9H12ClN3O4	10000000	0
cpd09381	Aceglutamide aluminum	Aceglutamide aluminum	C35H59N10O24Al3	4	0
cpd09382	Bropirimine	Bropirimine	C10H8BrN3O	0	0
cpd09383	Sultamicillin tosilate	Sultamicillin tosilate	C32H38N4O12S3	10000000	0
cpd09384	beta-Butoxyethyl nicotinate	beta-Butoxyethyl nicotinate	C12H17NO3	0	0
cpd09385	Calcium oxide	Calcium oxide	CaO	10000000	0
cpd09386	Cefovecin sodium	Cefovecin sodium	C17H18N5NaO6S2	10000000	0
cpd09387	Ceftiofur sodium	Ceftiofur sodium	C19H16N5NaO7S3	10000000	0
cpd09388	Ozagrel hydrochloride	Ozagrel hydrochloride	C13H13ClN2O2	10000000	0
cpd09389	Dehydrocholic acid	Dehydrocholic acid	C24H33O5	-1	0
cpd09390	Dihydro-alpha-ergocryptine mesylate	Dihydro-alpha-ergocryptine mesylate	C33H47N5O8S	10000000	0
cpd09391	Roxithromycin	Roxithromycin	C41H77N2O15	1	0
cpd09392	Fleroxacin	Fleroxacin	C17H17F3N3O3	-1	0
cpd09393	Benexate hydrochloride	Benexate hydrochloride	C23H28ClN3O4	10000000	0
cpd09394	Betadex	Betadex	C42H70O35	0	0
cpd09395	Calcium bromide	Calcium bromide	Br2Ca	10000000	0
cpd09396	Potassium sulfate	Potassium sulfate	K2O4S	10000000	0
cpd09397	Calcium sulfate	Calcium sulfate	CaO4S	10000000	0
cpd09398	Potassium dibasic phosphate	Potassium dibasic phosphate	HK2O4P	10000000	0
cpd09399	Potassium bromide	Potassium bromide	BrK	10000000	0
cpd09400	Sodium sulfate	Sodium sulfate	Na2O4S	10000000	0
cpd09401	Cefmenoxime hydrochloride	Cefmenoxime hydrochloride	C32H32N18O10S6	-2	0
cpd09402	Procaterol hydrochloride	Procaterol hydrochloride	C16H23ClN2O3	10000000	0
cpd09403	Ether	Ether	C4H10O	0	0
cpd09404	Mebhydrolin napadisilate	Mebhydrolin napadisilate	C48H48N4O6S2	10000000	0
cpd09405	Aspoxicillin	Aspoxicillin	C21H27N5O7S	0	0
cpd09406	Nicorandil	Nicorandil	C8H9N3O4	0	0
cpd09407	Cefotiam hydrochloride	Cefotiam hydrochloride	C18H22N9O4S3	-1	0
cpd09408	Geranylgeranylacetone	Geranylgeranylacetone	C23H38O	0	0
cpd09409	Fungichromin	Fungichromin	C35H58O12	0	0
cpd09410	2-Phytyl-1,4-naphthoquinone	2-Phytyl-1,4-naphthoquinone	C30H44O2	0	0
cpd09411	Faropenem sodium	Faropenem sodium	C12H14NNaO5S	10000000	0
cpd09412	Fasoracetam	Fasoracetam	C10H16N2O2	0	0
cpd09413	Kad 1229	Kad 1229	C38H48CaN2O6	10000000	0
cpd09414	p-Hydroxypropiophenone	p-Hydroxypropiophenone	C9H10O2	0	0
cpd09415	Astromicin sulfate	Astromicin sulfate	C17H37N5O14S2	-2	0
cpd09416	Aniracetam	Aniracetam	C12H13NO3	0	0
cpd09417	Hydrocortisone butyrate propionate	Hydrocortisone butyrate propionate	C28H40O7	0	0
cpd09418	Xenon	Xenon	Xe	0	0
cpd09419	Cefpiramide sodium	Cefpiramide sodium	C25H23N8NaO7S2	10000000	0
cpd09420	Mercuric chloride	Mercuric chloride	Cl2Hg	10000000	0
cpd09421	alpha,beta-Dihydroxyethyl-TPP	alpha,beta-Dihydroxyethyl-TPP	C14H21N4O9P2S	-1	0
cpd09422	Aluminum hydroxide	Aluminum hydroxide	AlH3O3	10000000	0
cpd09423	Azulene	Azulene	C10H8	0	0
cpd09424	Bufferin	Bufferin	C12H14AlMgNO11	10000000	0
cpd09425	Sodium caffeine benzoate	Sodium caffeine benzoate	C15H17N4NaO5	10000000	0
cpd09426	Sodium 3-ethyl-7-isopropyl-1-azulenesulfonate	Sodium 3-ethyl-7-isopropyl-1-azulenesulfonate	C15H17NaO3S	10000000	0
cpd09427	Sodium equilin sulfate	Sodium equilin sulfate	C18H19NaO5S	10000000	0
