id	primary_name	equation	definition	status	paired reactions
rxn01861	NADH:trimethylamine-N-oxide oxidoreductase	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00441[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00811[0]	(1) (CH3)3N[c] + (1) H2O[c] + (1) NAD[c] <=> (1) (CH3)3NO[c] + (2) H+[c] + (1) NADH[c]	OK	
rxn01862	NADH:trimethylamine-N-oxide oxidoreductase	(1) cpd00001[0] + (1) cpd00015[0] + (1) cpd00441[0] <=> (1) cpd00067[0] + (1) cpd00811[0] + (1) cpd00982[0]	(1) (CH3)3N[c] + (1) FAD[c] + (1) H2O[c] <=> (1) (CH3)3NO[c] + (1) FADH2[c] + (1) H+[c]	OK	
rxn01863	4-aminobenzoate,NADH:oxygen oxidoreductase (1-hydroxylating,	(1) cpd00004[0] + (1) cpd00007[0] + (2) cpd00067[0] + (1) cpd00443[0] <=> (1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00011[0] + (1) cpd01584[0]	(1) ABEE[c] + (2) H+[c] + (1) NADH[c] + (1) O2[c] <=> (1) CO2[c] + (1) H2O[c] + (1) NAD[c] + (1) p-Aminophenol[c]	OK	
rxn01864	4-aminobenzoate,NADPH:oxygen oxidoreductase (1-hydroxylating,	(1) cpd00005[0] + (1) cpd00007[0] + (2) cpd00067[0] + (1) cpd00443[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd00011[0] + (1) cpd01584[0]	(1) ABEE[c] + (2) H+[c] + (1) NADPH[c] + (1) O2[c] <=> (1) CO2[c] + (1) H2O[c] + (1) NADP[c] + (1) p-Aminophenol[c]	OK	
rxn01865	CDPethanolamine:L-serine ethanolaminephosphotransferase	(1) cpd00054[0] + (1) cpd00444[0] <=> (1) cpd00046[0] + (1) cpd02415[0]	(1) CDPethanolamine[c] + (1) L-Serine[c] <=> (1) CMP[c] + (1) Serine phosphoethanolamine[c]	OK	
rxn01866	Cyclohexylsulfamate sulfohydrolase	(1) cpd00001[0] + (1) cpd01827[0] <=> (1) cpd00048[0] + (1) cpd00445[0]	(1) Cylamic acid[c] + (1) H2O[c] <=> (1) Cyclohexanamine[c] + (1) Sulfate[c]	OK	
rxn01867	p-cumic alcohol:NAD+ oxidoreductase	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00447[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00540[0]	(1) Betaine aldehyde[c] + (1) H2O[c] + (1) NAD[c] <=> (1) BET[c] + (2) H+[c] + (1) NADH[c]	OK	
rxn01868	p-Cumic alcohol:NADP+ oxidoreductase	(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd00447[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd00540[0]	(1) Betaine aldehyde[c] + (1) H2O[c] + (1) NADP[c] <=> (1) BET[c] + (2) H+[c] + (1) NADPH[c]	OK	
rxn01869	Choline:(acceptor) 1-oxidoreductase	(1) cpd00001[0] + (1) cpd00015[0] + (1) cpd00447[0] <=> (1) cpd00067[0] + (1) cpd00540[0] + (1) cpd00982[0]	(1) Betaine aldehyde[c] + (1) FAD[c] + (1) H2O[c] <=> (1) BET[c] + (1) FADH2[c] + (1) H+[c]	OK	
rxn01870	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	(1) cpd00802[0] <=> (1) cpd00095[0] + (1) cpd00448[0]	(1) D-fructose-1-phosphate[c] <=> (1) D-Glyceraldehyde[c] + (1) Glycerone-phosphate[c]	OK	
rxn01871	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	(1) cpd00022[0] + (1) cpd00449[0] <=> (1) cpd00010[0] + (1) cpd00836[0]	(1) Acetyl-CoA[c] + (1) Dihydrolipoamide[c] <=> (1) CoA[c] + (1) S-Acetyldihydrolipoamide[c]	OK	
rxn01872	succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase	(1) cpd00078[0] + (1) cpd00449[0] <=> (1) cpd00010[0] + (1) cpd00860[0]	(1) Dihydrolipoamide[c] + (1) Succinyl-CoA[c] <=> (1) CoA[c] + (1) S-Succinyldihydrolipoamide[c]	OK	
rxn01873	Glutaryl-CoA:dihydrolipoamide S-succinyltransferase	(1) cpd00413[0] + (1) cpd00449[0] <=> (1) cpd00010[0] + (1) cpd03672[0]	(1) Dihydrolipoamide[c] + (1) Glutaryl-CoA[c] <=> (1) CoA[c] + (1) S-Glutaryldihydrolipoamide[c]	OK	
rxn01874	S-Adenosyl-L-methionine:dimethyl-sulfide S-methyltransferase	(1) cpd00017[0] + (1) cpd00450[0] <=> (1) cpd00019[0] + (1) cpd00740[0]	(1) Methyl sulfide[c] + (1) S-Adenosyl-L-methionine[c] <=> (1) S-Adenosyl-homocysteine[c] + (1) Trimethylsulfonium[c]	OK	
rxn01875	Trimethylsulfonium:tetrahydrofolate N-methyltransferase	(1) cpd00087[0] + (1) cpd00740[0] <=> (1) cpd00067[0] + (1) cpd00345[0] + (1) cpd00450[0]	(1) Tetrahydrofolate[c] + (1) Trimethylsulfonium[c] <=> (1) 5-Methyltetrahydrofolate[c] + (1) H+[c] + (1) Methyl sulfide[c]	OK	
rxn01876	S,S-Dimethyl-beta-propiothetin dimethyl-sulfide-lyase	(1) cpd02491[0] <=> (1) cpd00067[0] + (1) cpd00400[0] + (1) cpd00450[0]	(1) DMSP[c] <=> (1) Acrylate[c] + (1) H+[c] + (1) Methyl sulfide[c]	OK	
rxn01877	ATP:guanidoacetate N-phosphotransferase	(1) cpd00002[0] + (1) cpd00451[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd02023[0]	(1) ATP[c] + (1) Glycocyamine[c] <=> (1) ADP[c] + (1) H+[c] + (1) Phosphoguanidinoacetate[c]	OK	
rxn01878	Phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase	(1) cpd00053[0] + (1) cpd00452[0] <=> (1) cpd00010[0] + (1) cpd00067[0] + (1) cpd02559[0]	(1) L-Glutamine[c] + (1) Phenylacetyl-CoA[c] <=> (1) CoA[c] + (1) H+[c] + (1) alpha-N-Phenylacetyl-L-glutamine[c]	OK	
rxn01879	Propane-1,2-diol:NAD+ 1-oxidoreductase	(1) cpd00006[0] + (1) cpd00453[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd03571[0]	(1) 1,2-Propanediol[c] + (1) NADP[c] <=> (1) H+[c] + (1) Lactaldehyde[c] + (1) NADPH[c]	OK	
rxn01880	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate:NAD+15-	(1) cpd00003[0] + (1) cpd00454[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd02865[0]	(1) Dinoprostone[c] + (1) NAD[c] <=> (1) (5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn01881	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-	(1) cpd00006[0] + (1) cpd00488[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00454[0]	(1) NADP[c] + (1) PGF2a[c] <=> (1) Dinoprostone[c] + (1) H+[c] + (1) NADPH[c]	OK	
rxn01882	rxn01882	(1) cpd00454[0] <=> (1) cpd00001[0] + (1) cpd03542[0]	(1) Dinoprostone[c] <=> (1) H2O[c] + (1) PGA2[c]	OK	
rxn01883	2-Deoxy-D-glucose 6-phosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd03805[0] <=> (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00455[0]	(1) 2-Deoxy-D-glucose 6-phosphate[c] + (1) H2O[c] <=> (1) 2-Deoxy-D-glucose[c] + (1) H+[c] + (1) Phosphate[c]	OK	
rxn01884	3-hydroxybenzoate,NADH:oxygen oxidoreductase (6-hydroxylating)	(1) cpd00004[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd00456[0] <=> (1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00479[0]	(1) 3-Hydroxybenzoate[c] + (1) H+[c] + (1) NADH[c] + (1) O2[c] <=> (1) Gentisate[c] + (1) H2O[c] + (1) NAD[c]	OK	
rxn01885	CTP:choline-phosphate cytidylyltransferase	(1) cpd00052[0] + (1) cpd00067[0] + (1) cpd03876[0] <=> (1) cpd00012[0] + (1) cpd03380[0]	(1) 2-Trimethylaminoethylphosphonate[c] + (1) CTP[c] + (1) H+[c] <=> (1) CMP-2-trimethylaminoethylphosphonate[c] + (1) PPi[c]	OK	
rxn01886	sn-Glycero-3-phosphocholine cholinephosphohydrolase	(1) cpd00001[0] + (1) cpd00507[0] <=> (1) cpd00100[0] + (1) cpd00457[0]	(1) Glycerophosphocholine[c] + (1) H2O[c] <=> (1) Glycerol[c] + (1) Phosphocholine[c]	OK	
rxn01887	coniferyl alcohol:NADP+ oxidoreductase	(1) cpd00006[0] + (1) cpd00458[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd01733[0]	(1) Coniferol[c] + (1) NADP[c] <=> (1) Ferulaldehyde[c] + (1) H+[c] + (1) NADPH[c]	OK	
rxn01888	UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase	(1) cpd00026[0] + (1) cpd00458[0] <=> (1) cpd00014[0] + (1) cpd00565[0]	(1) Coniferol[c] + (1) UDP-glucose[c] <=> (1) Coniferin[c] + (1) UDP[c]	OK	
rxn01889	Coniferin beta-D-glucosidase	(1) cpd00001[0] + (1) cpd00565[0] <=> (1) cpd00027[0] + (1) cpd00458[0]	(1) Coniferin[c] + (1) H2O[c] <=> (1) Coniferol[c] + (1) D-Glucose[c]	OK	
rxn01890	N-Acylneuraminate-9-phosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd00883[0] <=> (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00459[0]	(1) H2O[c] + (1) N-Acylneuraminate 9-phosphate[c] <=> (1) H+[c] + (1) N-Acylneuraminate[c] + (1) Phosphate[c]	OK	
rxn01891	CMP-N-acylneuraminate N-acylneuraminohydrolase	(1) cpd00001[0] + (1) cpd00783[0] <=> (1) cpd00046[0] + (1) cpd00459[0]	(1) CMP-N-acylneuraminate[c] + (1) H2O[c] <=> (1) CMP[c] + (1) N-Acylneuraminate[c]	OK	
rxn01892	CTP:N-acylneuraminate cytidylyltransferase	(1) cpd00052[0] + (1) cpd00459[0] <=> (1) cpd00012[0] + (1) cpd00783[0]	(1) CTP[c] + (1) N-Acylneuraminate[c] <=> (1) CMP-N-acylneuraminate[c] + (1) PPi[c]	OK	
rxn01893	2-oxopent-4-enoate hydratase	(1) cpd00001[0] + (1) cpd00461[0] <=> (1) cpd02258[0]	(1) H2O[c] + (1) Oxopent-4-enoate[c] <=> (1) 4-Hydroxy-2-oxovalerate[c]	OK	
rxn01894	4-Oxalocrotonate carboxy-lyase	(1) cpd00067[0] + (1) cpd02183[0] <=> (1) cpd00011[0] + (1) cpd00461[0]	(1) 4-Oxalocrotonate[c] + (1) H+[c] <=> (1) CO2[c] + (1) Oxopent-4-enoate[c]	OK	
rxn01895	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	(1) cpd00036[0] + (1) cpd00067[0] + (1) cpd00461[0] <=> (1) cpd00001[0] + (1) cpd02731[0]	(1) H+[c] + (1) Oxopent-4-enoate[c] + (1) Succinate[c] <=> (1) 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate[c] + (1) H2O[c]	OK	
rxn01896	2-hydroxymuconic semi-aldehyde	(1) cpd00047[0] + (1) cpd00067[0] + (1) cpd00461[0] <=> (1) cpd00001[0] + (1) cpd00518[0]	(1) Formate[c] + (1) H+[c] + (1) Oxopent-4-enoate[c] <=> (1) 2-Hydroxymuconic semialdehyde[c] + (1) H2O[c]	OK	
rxn01897	L-2-Amino-4-chloropent-4-enoate chloride-lyase (deaminating)	(1) cpd00001[0] + (1) cpd02521[0] <=> (1) cpd00013[0] + (1) cpd00067[0] + (1) cpd00461[0]	(1) H2O[c] + (1) L-2-Amino-4-chloropent-4-enoate[c] <=> (1) H+[c] + (1) NH3[c] + (1) Oxopent-4-enoate[c]	MI:Cl-1|CI:1	
rxn01898	2,6-Dioxo-6-phenylhexa-3-enoate benzoylhydrolase	(1) cpd00001[0] + (1) cpd00935[0] <=> (1) cpd00067[0] + (1) cpd00153[0] + (1) cpd00461[0]	(1) 2,6-Dioxo-6-phenylhexa-3-enoate[c] + (1) H2O[c] <=> (1) Benzoate[c] + (1) H+[c] + (1) Oxopent-4-enoate[c]	OK	
rxn01900	5beta-Cholestan-3-one:NADP+ 4,5-oxidoreductase	(1) cpd00006[0] + (1) cpd01983[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00463[0]	(1) Coprostan-3-one[c] + (1) NADP[c] <=> (1) Cholestenone[c] + (1) H+[c] + (1) NADPH[c]	OK	
rxn01901	5alpha-cholestan-3-one:NADP+ delta7-oxidoreductase	(1) cpd00006[0] + (1) cpd02073[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00463[0]	(1) 5alpha-Cholestan-3-one[c] + (1) NADP[c] <=> (1) Cholestenone[c] + (1) H+[c] + (1) NADPH[c]	OK	
rxn01902	Phenylethylalcohol:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03481[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00464[0]	(1) 2-phenylethanol[c] + (1) NAD[c] <=> (1) H+[c] + (1) NADH[c] + (1) alpha-Tolualdehyde[c]	OK	
rxn01903	Phenethylamine:oxygen oxidoreductase (deaminating)	(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd03161[0] <=> (1) cpd00013[0] + (1) cpd00025[0] + (1) cpd00464[0]	(1) H2O[c] + (1) O2[c] + (1) Phenethylamine[c] <=> (1) H2O2[c] + (1) NH3[c] + (1) alpha-Tolualdehyde[c]	OK	
rxn01904	Styrene-oxide isomerase	(1) cpd01413[0] <=> (1) cpd00464[0]	(1) Styrene oxide[c] <=> (1) alpha-Tolualdehyde[c]	OK	
rxn01905	rxn01905	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00467[0] <=> (1) cpd00004[0] + (1) cpd00013[0] + (1) cpd00067[0] + (1) cpd03284[0]	(1) 3-Sulfinoalanine[c] + (1) H2O[c] + (1) NAD[c] <=> (1) 3-Sulfinopyruvate[c] + (1) H+[c] + (1) NADH[c] + (1) NH3[c]	OK	
rxn01906	3-Sulfino-L-alanine:2-oxoglutarate aminotransferase	(1) cpd00024[0] + (1) cpd00467[0] <=> (1) cpd00023[0] + (1) cpd03284[0]	(1) 2-Oxoglutarate[c] + (1) 3-Sulfinoalanine[c] <=> (1) 3-Sulfinopyruvate[c] + (1) L-Glutamate[c]	OK	
rxn01907	3'-Phosphoadenylylsulfate:quercetin-3-sulfate 3'-sulfotransferase	(1) cpd00044[0] + (1) cpd00471[0] <=> (1) cpd00045[0] + (1) cpd00849[0]	(1) 3-phosphoadenylylsulfate[c] + (1) Quercetin 3-sulfate[c] <=> (1) Adenosine 3-5-bisphosphate[c] + (1) Quercetin 3,3'-bissulfate[c]	OK	
rxn01908	3'-Phosphoadenylylsulfate:quercetin-3-sulfate 4'-sulfotransferase	(1) cpd00044[0] + (1) cpd00471[0] <=> (1) cpd00045[0] + (1) cpd00850[0]	(1) 3-phosphoadenylylsulfate[c] + (1) Quercetin 3-sulfate[c] <=> (1) Adenosine 3-5-bisphosphate[c] + (1) Quercetin 3,4'-bissulfate[c]	OK	
rxn01909	UTP:1-Phospho-alpha-D-galacturonate uridylyltransferase	(1) cpd00012[0] + (1) cpd00472[0] <=> (1) cpd00062[0] + (1) cpd02497[0]	(1) PPi[c] + (1) UDPgalacturonate[c] <=> (1) D-Galacturonate 1-phosphate[c] + (1) UTP[c]	OK	
rxn01910	UDP-D-galacturonate carboxy-lyase	(1) cpd00067[0] + (1) cpd00472[0] <=> (1) cpd00011[0] + (1) cpd00691[0]	(1) H+[c] + (1) UDPgalacturonate[c] <=> (1) CO2[c] + (1) UDP-L-arabinose[c]	OK	
rxn01911	3-Dehydro-L-gulonate:NAD+ 2-oxidoreductase	(1) cpd00003[0] + (1) cpd00473[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd02784[0]	(1) 3-Dehydro-L-gulonate[c] + (1) NAD[c] <=> (1) 2,3-Dioxo-L-gulonate[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn01912	3-Dehydro-L-gulonate:NADP+ 2-oxidoreductase	(1) cpd00006[0] + (1) cpd00473[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd02784[0]	(1) 3-Dehydro-L-gulonate[c] + (1) NADP[c] <=> (1) 2,3-Dioxo-L-gulonate[c] + (1) H+[c] + (1) NADPH[c]	OK	
rxn01913	L-Gulonate:NAD+ 3-oxidoreductase	(1) cpd00003[0] + (1) cpd00594[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00473[0]	(1) Gulonate[c] + (1) NAD[c] <=> (1) 3-Dehydro-L-gulonate[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn01914	3-Oxo-delta5-steroid delta5-delat4-isomerase	(1) cpd00761[0] <=> (1) cpd00474[0]	(1) 3-Oxo-delta5-steroid[c] <=> (1) 3-Oxo-delta4-steroid[c]	OK	
rxn01915	urate-ribonucleotide:orthophosphate D-ribosyltransferase	(1) cpd00009[0] + (1) cpd02110[0] <=> (1) cpd00300[0] + (1) cpd00475[0]	(1) Phosphate[c] + (1) Urate D-ribonucleotide[c] <=> (1) Ribose 1-phosphate[c] + (1) Urate[c]	MI:O-3/P-1|CI:2|HI:-1	
rxn01916	Glycerol 1,2-cyclic phosphate 2-glycerophosphohydrolase	(1) cpd00001[0] + (1) cpd02451[0] <=> (1) cpd00080[0]	(1) Glycerol 1,2-cyclic phosphate[c] + (1) H2O[c] <=> (1) Glycerol-3-phosphate[c]	OK	
rxn01917	ATP:N-acetyl-L-glutamate 5-phosphotransferase	(1) cpd00002[0] + (1) cpd00067[0] + (1) cpd00477[0] <=> (1) cpd00008[0] + (1) cpd02552[0]	(1) ATP[c] + (1) H+[c] + (1) N-Acetyl-L-glutamate[c] <=> (1) ADP[c] + (1) n-acetylglutamyl-phosphate[c]	OK	
rxn01918	Gentisate aldehyde:NAD+ oxidoreductase	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd03315[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00479[0]	(1) Gentisate aldehyde[c] + (1) H2O[c] + (1) NAD[c] <=> (1) Gentisate[c] + (2) H+[c] + (1) NADH[c]	OK	
rxn01919	Gentisate:oxygen 1,2-oxidoreductase (decyclizing)	(1) cpd00007[0] + (1) cpd00479[0] <=> (1) cpd00067[0] + (1) cpd01466[0]	(1) Gentisate[c] + (1) O2[c] <=> (1) H+[c] + (1) Maleylpyruvate[c]	OK	
rxn01920	rxn01920	(1) cpd00025[0] + (1) cpd00067[0] + (1) cpd00479[0] <=> (1) cpd00001[0] + (1) cpd00007[0] + (1) cpd03315[0]	(1) Gentisate[c] + (1) H+[c] + (1) H2O2[c] <=> (1) Gentisate aldehyde[c] + (1) H2O[c] + (1) O2[c]	OK	
rxn01921	ATP:2-dehydro-D-gluconate 6-phosphate	(1) cpd00002[0] + (1) cpd00480[0] <=> (1) cpd00008[0] + (1) cpd00896[0]	(1) 2-Dehydro-D-gluconate[c] + (1) ATP[c] <=> (1) 6-Phospho-2-dehydro-D-gluconate[c] + (1) ADP[c]	OK	
rxn01922	rxn01922	(1) cpd00067[0] + (1) cpd00480[0] <=> (1) cpd00001[0] + (1) cpd03860[0]	(1) 2-Dehydro-D-gluconate[c] + (1) H+[c] <=> (1) 2-Dehydro-D-glucono-1,5-lactone[c] + (1) H2O[c]	OK	
rxn01923	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase	(1) cpd00007[0] + (2) cpd00481[0] <=> (2) cpd00001[0] + (2) cpd02187[0]	(2) Isobutyryl-CoA[c] + (1) O2[c] <=> (2) H2O[c] + (2) Methacrylyl-CoA[c]	OK	
rxn01924	2-Methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase	(1) cpd00015[0] + (1) cpd00481[0] <=> (1) cpd00982[0] + (1) cpd02187[0]	(1) FAD[c] + (1) Isobutyryl-CoA[c] <=> (1) FADH2[c] + (1) Methacrylyl-CoA[c]	OK	
rxn01925	2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine	(1) cpd00449[0] + (1) cpd00481[0] <=> (1) cpd00010[0] + (1) cpd02700[0]	(1) Dihydrolipoamide[c] + (1) Isobutyryl-CoA[c] <=> (1) CoA[c] + (1) S-(2-Methylpropionyl)-dihydrolipoamide[c]	OK	
rxn01926	2-phosphoglycerate kinase	(1) cpd00002[0] + (1) cpd00482[0] <=> (1) cpd00008[0] + (1) cpd00853[0]	(1) 2-Phospho-D-glycerate[c] + (1) ATP[c] <=> (1) ADP[c] + (1) DPG[c]	OK	
rxn01927	3-Hydroxyanthranilate:oxygen 3,4-oxidoreductase (decyclizing)	(1) cpd00007[0] + (1) cpd00483[0] <=> (1) cpd00067[0] + (1) cpd02692[0]	(1) 3-Hydroxyanthranilate[c] + (1) O2[c] <=> (1) 2-Amino-3-carboxymuconate semialdehyde[c] + (1) H+[c]	OK	
rxn01928	3-Hydroxyanthranilate:oxygen oxidoreductase	(1) cpd00007[0] + (1) cpd00483[0] <=> (1) cpd00025[0] + (1) cpd02793[0]	(1) 3-Hydroxyanthranilate[c] + (1) O2[c] <=> (1) 6-Imino-5-oxocyclohexa-1,3-dienecarboxylate[c] + (1) H2O2[c]	OK	
rxn01929	S-Adenosyl-L-methionine:3-hydroxyanthranilate 4-C-methyltransferase	(1) cpd00017[0] + (1) cpd00483[0] <=> (1) cpd00019[0] + (1) cpd00067[0] + (1) cpd02472[0]	(1) 3-Hydroxyanthranilate[c] + (1) S-Adenosyl-L-methionine[c] <=> (1) 3-Hydroxy-4-methylanthranilate[c] + (1) H+[c] + (1) S-Adenosyl-homocysteine[c]	OK	
rxn01930	3-Hydroxy-L-kynurenine hydrolase	(1) cpd00001[0] + (1) cpd02065[0] <=> (1) cpd00035[0] + (1) cpd00067[0] + (1) cpd00483[0]	(1) 3-Hydroxy-L-kynurenine[c] + (1) H2O[c] <=> (1) 3-Hydroxyanthranilate[c] + (1) H+[c] + (1) L-Alanine[c]	OK	
rxn01931	rxn01931	(1) cpd00067[0] + (1) cpd00483[0] <=> (1) cpd00011[0] + (1) cpd01360[0]	(1) 3-Hydroxyanthranilate[c] + (1) H+[c] <=> (1) CO2[c] + (1) o-Aminophenol[c]	OK	
rxn01932	Hydorogen-peroxide:hydrogen-peroxide oxidoreductase	(3) cpd00007[0] + (2) cpd00483[0] <=> (3) cpd00025[0] + (1) cpd03351[0]	(2) 3-Hydroxyanthranilate[c] + (3) O2[c] <=> (1) Cinnavalininate[c] + (3) H2O2[c]	OK	
rxn01933	4-Hydroxybenzoylformate carboxy-lyase	(1) cpd00067[0] + (1) cpd02259[0] <=> (1) cpd00011[0] + (1) cpd00484[0]	(1) 4-Hydroxybenzoylformate[c] + (1) H+[c] <=> (1) CO2[c] + (1) p-Hydroxybenzaldehyde[c]	OK	
rxn01934	(S)-2-Hydroxy-2-(4-hydroxyphenyl)acetate:oxygen 1-oxidoreductase	(1) cpd00007[0] + (1) cpd00067[0] + (1) cpd02043[0] <=> (1) cpd00011[0] + (1) cpd00025[0] + (1) cpd00484[0]	(1) (S)-4-Hydroxymandelate[c] + (1) H+[c] + (1) O2[c] <=> (1) CO2[c] + (1) H2O2[c] + (1) p-Hydroxybenzaldehyde[c]	OK	
rxn01935	4-Hydroxymandelonitrile hydroxybenzaldehyde-lyase	(1) cpd02346[0] <=> (1) cpd00150[0] + (1) cpd00484[0]	(1) (S)-4-Hydroxymandelonitrile[c] <=> (1) HCN[c] + (1) p-Hydroxybenzaldehyde[c]	OK	
rxn01936	ADPmannose sugarphosphohydrolase	(1) cpd00001[0] + (1) cpd03700[0] <=> (1) cpd00018[0] + (1) cpd00485[0]	(1) ADP-mannose[c] + (1) H2O[c] <=> (1) AMP[c] + (1) D-Mannose1-phosphate[c]	OK	
rxn01937	Indole-3-acetaldehyde:NAD+ oxidoreductase	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00486[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00703[0]	(1) H2O[c] + (1) Indoleacetaldehyde[c] + (1) NAD[c] <=> (2) H+[c] + (1) Indoleacetate[c] + (1) NADH[c]	OK	
rxn01938	indole-3-ethanol:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd00704[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00486[0]	(1) NAD[c] + (1) Tryptophol[c] <=> (1) H+[c] + (1) Indoleacetaldehyde[c] + (1) NADH[c]	OK	
rxn01939	indole-3-ethanol:NADP+ oxidoreductase	(1) cpd00006[0] + (1) cpd00704[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00486[0]	(1) NADP[c] + (1) Tryptophol[c] <=> (1) H+[c] + (1) Indoleacetaldehyde[c] + (1) NADPH[c]	OK	
rxn01940	indole-3-acetaldehyde:oxygen oxidoreductase	(2) cpd00001[0] + (1) cpd00007[0] + (2) cpd00486[0] <=> (1) cpd00025[0] + (4) cpd00067[0] + (2) cpd00703[0]	(2) H2O[c] + (2) Indoleacetaldehyde[c] + (1) O2[c] <=> (4) H+[c] + (1) H2O2[c] + (2) Indoleacetate[c]	CI:2	
rxn01941	(5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-	(1) cpd00003[0] + (1) cpd00488[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03549[0]	(1) NAD[c] + (1) PGF2a[c] <=> (1) 15-Keto-PGF2a[c] + (1) H+[c] + (1) NADH[c]	OK	
rxn01942	(5Z,13E)-(15S)-9alpha,11alpha,15-trihydroxyprosta-5,13-	(1) cpd00006[0] + (1) cpd00488[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00527[0]	(1) NADP[c] + (1) PGF2a[c] <=> (1) H+[c] + (1) NADPH[c] + (1) Prostaglandin D2[c]	OK	
rxn01943	4-Hydroxyphenylacetaldehyde:NAD+ oxidoreductase	(1) cpd00001[0] + (1) cpd00003[0] + (1) cpd02361[0] <=> (1) cpd00004[0] + (2) cpd00067[0] + (1) cpd00489[0]	(1) 4-Hydroxyphenylacetaldehyde[c] + (1) H2O[c] + (1) NAD[c] <=> (1) 4-Hydroxyphenylacetate[c] + (2) H+[c] + (1) NADH[c]	OK	
rxn01944	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd02361[0] <=> (1) cpd00005[0] + (2) cpd00067[0] + (1) cpd00489[0]	(1) 4-Hydroxyphenylacetaldehyde[c] + (1) H2O[c] + (1) NADP[c] <=> (1) 4-Hydroxyphenylacetate[c] + (2) H+[c] + (1) NADPH[c]	OK	
rxn01945	4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxylating)	(1) cpd00004[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd00489[0] <=> (1) cpd00001[0] + (1) cpd00003[0] + (1) cpd00854[0]	(1) 4-Hydroxyphenylacetate[c] + (1) H+[c] + (1) NADH[c] + (1) O2[c] <=> (1) H2O[c] + (1) Homoprotocatechuate[c] + (1) NAD[c]	OK	
