rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R01364	4-fumarylacetoacetate fumarylhydrolase; Acetoacetate + Fumarate <=> 4-Fumarylacetoacetate + H2O
rn:R01365	Butanoyl-CoA:acetoacetate CoA-transferase; Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA
rn:R01366	Acetoacetate carboxy-lyase (acetone-forming); Acetoacetate <=> Acetone + CO2
rn:R01367	Acetoacetate hydro-lyase (3-butynoate-forming); Acetoacetate <=> 3-Butynoate + H2O
rn:R01368	Acyl-CoA:2-acylglycerol O-acyltransferase; Acyl-CoA + 2-Acylglycerol <=> CoA + Diacylglycerol
rn:R01369	triacylglycerol acylhydrolase; Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate
rn:R01370	Phenyllactate:NAD+ oxidoreductase; Phenyllactate + NAD+ <=> Phenylpyruvate + NADH + H+
rn:R01371	Phenyllactate:NADP+ oxidoreductase; Phenyllactate + NADP+ <=> Phenylpyruvate + NADPH + H+
rn:R01372	Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating); Phenylpyruvate + Oxygen <=> 2-Hydroxyphenylacetate + CO2
rn:R01373	prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming); Prephenate <=> Phenylpyruvate + H2O + CO2
rn:R01374	D-phenylalanine:quinone oxidoreductase (deaminating); D-Phenylalanine + H2O + Quinone <=> Phenylpyruvate + Ammonia + Hydroquinone
rn:R01375	L-Glutamine:phenylpyruvate aminotransferase; L-Glutamine + Phenylpyruvate <=> 2-Oxoglutaramate + L-Phenylalanine
rn:R01376	L-Tryptophan:phenylpyruvate aminotransferase; L-Tryptophan + Phenylpyruvate <=> Indolepyruvate + L-Phenylalanine
rn:R01377	phenylpyruvate carboxy-lyase (phenylacetaldehyde-forming); Phenylpyruvate <=> Phenylacetaldehyde + CO2
rn:R01378	Phenylpyruvate keto-enol-isomerase; Phenylpyruvate <=> 2-Hydroxy-3-phenylpropenoate
rn:R01381	UTP:1-phospho-alpha-D-glucuronate uridylyltransferase; UTP + D-Glucuronate 1-phosphate <=> Diphosphate + UDP-glucuronate
rn:R01383	UDPglucuronate beta-D-glucuronosyltransferase (acceptor-unspecific); UDP-glucuronate + ROH <=> UDP + beta-D-Glucuronoside
rn:R01384	UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming); UDP-glucuronate <=> UDP-D-xylose + CO2
rn:R01385	UDP-glucuronate 4-epimerase; UDP-glucuronate <=> UDP-D-galacturonate
rn:R01386	UDP-D-glucuronate carboxy-lyase (UDP-D-apiose-forming); UDP-glucuronate <=> UDP-apiose + CO2
rn:R01387	UDP-glucuronate 5'-epimerase; UDP-glucuronate <=> UDP-L-iduronate
rn:R01388	D-Glycerate:NAD+ 2-oxidoreductase; D-Glycerate + NAD+ <=> Hydroxypyruvate + NADH + H+
rn:R01390	Hydroxypyruvate + CO2 <=> Dihydroxyfumarate
rn:R01392	D-Glycerate:NADP+ 2-oxidoreductase; D-Glycerate + NADP+ <=> Hydroxypyruvate + NADPH + H+
rn:R01393	hydroxypyruvate carboxy-lyase (glycolaldehyde-forming); Hydroxypyruvate <=> Glycolaldehyde + CO2
rn:R01394	hydroxypyruvate aldose-ketose-isomerase; Hydroxypyruvate <=> 2-Hydroxy-3-oxopropanoate
rn:R01395	ATP:carbamate phosphotransferase; ATP + Carbamate <=> ADP + Carbamoyl phosphate
rn:R01396	Carbamoyl-phosphate:L-lysine carbamoyltransferase; Carbamoyl phosphate + L-Lysine <=> Orthophosphate + L-Homocitrulline
rn:R01397	carbamoyl-phosphate:L-aspartate carbamoyltransferase; Carbamoyl phosphate + L-Aspartate <=> Orthophosphate + N-Carbamoyl-L-aspartate
rn:R01398	Carbamoyl-phosphate:L-ornithine carbamoyltransferase; Carbamoyl phosphate + L-Ornithine <=> Orthophosphate + L-Citrulline
rn:R01399	Carbamoyl-phosphate:putrescine carbamoyltransferase; Carbamoyl phosphate + Putrescine <=> Orthophosphate + N-Carbamoylputrescine
rn:R01400	Carbamoyl phosphate <=> Cyclic amidine
rn:R01401	methylthioadenosine methylthioribohydrolase; 5'-Methylthioadenosine + H2O <=> Adenine + 5-Methylthio-D-ribose
rn:R01402	S-methyl-5'-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase; 5'-Methylthioadenosine + Orthophosphate <=> Adenine + S-Methyl-5-thio-D-ribose 1-phosphate
rn:R01403	acyl-[acyl-carrier-protein]:NAD+ oxidoreductase; Acyl-[acyl-carrier protein] + NAD+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADH + H+
rn:R01404	acyl-[acyl-carrier protein]:NADP+ oxidoreductase; Acyl-[acyl-carrier protein] + NADP+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADPH + H+
rn:R01406	long-chain-fatty-acid:[acyl-carrier-protein] ligase (AMP-forming); ATP + Long-chain fatty acid + Acyl-carrier protein <=> AMP + Diphosphate + Long-chain acyl-[acyl-carrier protein]
rn:R01407	long-chain-fatty-acid:protein ligase (AMP-forming); ATP + Long-chain fatty acid + [Protein]-L-cysteine <=> AMP + Diphosphate + [Protein]-S-(long-chain-acyl)-L-cysteine
rn:R01408	formamide hydro-lyase (cyanide-forming); Formamide <=> Hydrogen cyanide + H2O
rn:R01409	Cyanohydrin aldehyde-lyase (cyanide-forming); Cyanohydrin <=> Cyanide ion + Aldehyde
rn:R01410	Hydrogen cyanide + Acetaldehyde + Ammonia <=> alpha-Aminopropiononitrile + H2O
rn:R01411	5-Methylcytosine aminohydrolase; 5-Methylcytosine + H2O <=> Thymine + Ammonia
rn:R01412	Thymine,2-oxoglutarate:oxygen oxidoreductase (7-hydroxylating); Thymine + 2-Oxoglutarate + Oxygen <=> 5-Hydroxymethyluracil + Succinate + CO2
rn:R01413	thymine:acceptor oxidoreductase; Thymine + Acceptor + H2O <=> 5-Methylbarbiturate + Reduced acceptor
rn:R01414	5,6-dihydrothymine:NAD+ oxidoreductase; 5,6-Dihydrothymine + NAD+ <=> Thymine + NADH + H+
rn:R01415	5,6-Dihydrothymine:NADP+ oxidoreductase; (R)-5,6-Dihydrothymine + NADP+ <=> Thymine + NADPH + H+
rn:R01416	Agmatine iminohydrolase; Agmatine + H2O <=> N-Carbamoylputrescine + Ammonia
rn:R01417	ATP:agmatine N4-phosphotransferase; ATP + Agmatine <=> ADP + Phosphoagmatine
rn:R01418	1,4-diguanidinobutane amidinohydrolase; Agmatine + Urea <=> Arcaine + H2O
rn:R01419	Benzaldehyde:NAD+ oxidoreductase; Benzaldehyde + NAD+ + H2O <=> Benzoate + NADH + H+
rn:R01420	benzaldehyde:NADP+ oxidoreductase; Benzaldehyde + NADP+ + H2O <=> Benzoate + NADPH + H+
rn:R01421	Benzoyl phosphate phosphohydrolase; Benzoyl phosphate + H2O <=> Benzoate + Orthophosphate
rn:R01422	benzoate:CoA ligase (AMP-forming); ATP + Benzoate + CoA <=> AMP + Diphosphate + Benzoyl-CoA
rn:R01423	5'-Benzoylphosphoadenosine benzoylhydrolase; 5'-Benzoylphosphoadenosine + H2O <=> AMP + Benzoate
rn:R01424	N-Benzoylglycine amidohydrolase; Hippurate + H2O <=> Benzoate + Glycine
rn:R01425	Benzoylagmatine amidohydrolase; Benzoylagmatine + H2O <=> Benzoate + Agmatine
rn:R01426	Benzoate + Acetate + NADH + H+ <=> trans-Cinnamate + 2 H2O + NAD+
rn:R01427	Benzoate <=> 3-Hydroxybenzoate
rn:R01429	D-xylose:NAD+ 1-oxidoreductase; D-Xylose + NAD+ <=> D-Xylonolactone + NADH + H+
rn:R01430	D-xylose:NADP+ 1-oxidoreductase; D-Xylose + NADP+ <=> D-Xylonolactone + NADPH + H+
rn:R01431	xylitol:NADP+ oxidoreductase; Xylitol + NADP+ <=> D-Xylose + NADPH + H+
rn:R01432	D-xylose aldose-ketose-isomerase; D-Xylose <=> D-Xylulose
rn:R01433	D-xylose xylohydrolase; D-Xylose + 1,4-beta-D-Xylan <=> 1,4-beta-D-Xylan + H2O
rn:R01434	L-valine:NAD+ oxidoreductase(deaminating); L-Valine + H2O + NAD+ <=> 3-Methyl-2-oxobutanoic acid + Ammonia + NADH + H+
rn:R01437	L-valine carboxy-lyase (2-methylpropanamine-forming); L-Valine <=> 2-Methylpropanamine + CO2
rn:R01440	D-Xylulose-5-phosphate:formaldehyde glycolaldehydetransferase; D-Xylulose 5-phosphate + Formaldehyde <=> D-Glyceraldehyde 3-phosphate + Glycerone
rn:R01441	ATP:cellobiose 6-phosphotransferase; ATP + Cellobiose <=> ADP + 6-Phospho-beta-D-glucosyl-(1,4)-D-glucose
rn:R01442	Cellobiose:oxygen 1-oxidoreductase; Cellobiose + Oxygen <=> Cellobiono-1,5-lactone + Hydrogen peroxide
rn:R01443	Cellobiose:(acceptor) 1-oxidoreductase; Cellobiose + Acceptor <=> Cellobiono-1,5-lactone + Reduced acceptor
rn:R01444	cellotriose glucohydrolase; Cellotriose + H2O <=> Cellobiose + D-Glucose
rn:R01445	cellobiose 2-epimerase; Cellobiose <=> 4-O-beta-D-Glucopyranosyl-D-mannose
rn:R01446	(S)-lactaldehyde:NAD+ oxidoreductase; (S)-Lactaldehyde + NAD+ + H2O <=> (S)-Lactate + NADH + H+
rn:R01447	(S)-Lactate:oxaloacetate oxidoreductase; (S)-Lactate + Oxaloacetate <=> (S)-Malate + Pyruvate
rn:R01448	(R)-2-O-sulfolactate 2-sulfohydrolase; (R)-2-O-Sulfolactate + H2O <=> (R)-Lactate + Sulfate
rn:R01449	lactoyl-CoA:propanoate CoA-transferase; Lactoyl-CoA + Propanoate <=> (S)-Lactate + Propanoyl-CoA
rn:R01450	lactate racemase; (S)-Lactate <=> (R)-Lactate
rn:R01451	Cholesterol:NAD+ delta7-oxidoreductase; Cholesterol + NAD+ <=> 7-Dehydrocholesterol + NADH + H+
rn:R01452	cholesterol,NADPH:oxygen oxidoreductase (5alpha,6alpha-epoxidizing); Cholesterol + Oxygen + NADPH + H+ <=> Cholesterol-5alpha,6alpha-epoxide + NADP+ + H2O
rn:R01453	cholesterol,NADPH:oxygen oxidoreductase (5beta,6beta-epoxidizing); Cholesterol + Oxygen + NADPH + H+ <=> Cholesterol-5beta,6beta-epoxide + NADP+ + H2O
rn:R01454	Cholesterol:oxygen oxidoreductase (side-chain-cleaving); Cholesterol + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 20alpha-Hydroxycholesterol + H2O + 2 Oxidized adrenal ferredoxin
rn:R01456	cholesterol:NADP+ delta7-oxidoreductase; Cholesterol + NADP+ <=> 7-Dehydrocholesterol + NADPH + H+
rn:R01457	cholesterol:NADP+ Delta24-oxidoreductase; Cholesterol + NADP+ <=> Desmosterol + H+ + NADPH
rn:R01459	Cholesterol:oxygen oxidoreductase; Cholesterol + Oxygen <=> Cholest-4-en-3-one + Hydrogen peroxide
rn:R01460	Cholesteryl-beta-D-glucoside glucohydrolase; Cholesteryl-beta-D-glucoside + H2O <=> Cholesterol + D-Glucose
rn:R01461	Acyl-CoA:cholesterol O-acyltransferase; Acyl-CoA + Cholesterol <=> CoA + Cholesterol ester
rn:R01462	cholesterol ester acylhydrolase; Cholesterol ester + H2O <=> Cholesterol + Fatty acid
rn:R01463	cholesterol,NADPH-hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating); Cholesterol + Oxygen + [Reduced NADPH---hemoprotein reductase] <=> 7alpha-Hydroxycholesterol + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R01465	L-threonine:NAD+ oxidoreductase; L-Threonine + NAD+ <=> L-2-Amino-3-oxobutanoic acid + NADH + H+
rn:R01466	O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming); O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate
rn:R01467	Threonine racemase; L-Threonine <=> D-Threonine
rn:R01468	ATP:ethanolamine O-phosphotransferase; ATP + Ethanolamine <=> ADP + Ethanolamine phosphate
rn:R01469	Ethanolamine:oxygen oxidoreductase (deaminating); Ethanolamine + H2O + Oxygen <=> Glycolaldehyde + Ammonia + Hydrogen peroxide
rn:R01470	sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase; sn-Glycero-3-phosphoethanolamine + H2O <=> Ethanolamine + sn-Glycerol 3-phosphate
rn:R01471	UTP:alpha-D-xylose-1-phosphate uridylyltransferase; UTP + alpha-D-Xylose 1-phosphate <=> Diphosphate + UDP-D-xylose
rn:R01472	UDP-D-xylose:dolichyl-phosphate D-xylosyltrtansferase; UDP-D-xylose + Dolichyl phosphate <=> UDP + Dolichyl D-xylosyl phosphate
rn:R01473	UDP-L-arabinose 4-epimerase; UDP-L-arabinose <=> UDP-D-xylose
rn:R01474	UDP-D-xylose <=> Pentosan + UDP
rn:R01476	ATP:D-glucuronate 1-phosphotransferase; ATP + D-Glucuronate <=> ADP + D-Glucuronate 1-phosphate
rn:R01478	beta-D-glucuronoside glucuronosohydrolase; H2O + beta-D-Glucuronoside <=> D-Glucuronate + Alcohol
rn:R01480	alpha-D-Glucosiduronate glucuronohydrolase; alpha-D-Glucuronoside + H2O <=> Alcohol + D-Glucuronate
rn:R01481	L-gulonate:NADP+ 6-oxidoreductase; L-Gulonate + NADP+ <=> D-Glucuronate + NADPH + H+
rn:R01482	D-glucuronate aldose-ketose-isomerase; D-Glucuronate <=> D-Fructuronate
rn:R01483	D-Glucuronolactone lactonohydrolase; D-Glucuronolactone + H2O <=> D-Glucuronate
rn:R01484	D-Glucurono-6,2-lactone lactonohydrolase; D-Glucurono-6,2-lactone + H2O <=> D-Glucuronate
rn:R01485	L-Asparagine:hydroxylamine gamma-aspartyltransferase; L-Asparagine + Hydroxylamine <=> Ammonia + beta-L-Aspartylhydroxamate
rn:R01486	aromatic aldehyde:NAD+ oxidoreductase; Aromatic aldehyde + NAD+ + H2O <=> Aromatic acid + NADH + H+
rn:R01487	Aromatic alcohol:NAD+ oxidoreductase; Aromatic primary alcohol + NAD+ <=> Aromatic aldehyde + NADH + H+
rn:R01488	Aromatic alcohol:NADP+ oxidoreductase; Aromatic primary alcohol + NADP+ <=> Aromatic aldehyde + NADPH + H+
rn:R01489	aromatic aldehyde:oxygen oxidoreductase; Aromatic aldehyde + Oxygen + H2O <=> Aromatic acid + Hydrogen peroxide
rn:R01490	aromatic aldehyde:NADP+ oxidoreductase (ATP-forming); Aromatic aldehyde + AMP + Diphosphate + NADP+ <=> Aromatic acid + NADPH + ATP + H+
rn:R01491	aromatic alcohol:oxygen oxidoreductase; Aromatic primary alcohol + Oxygen <=> Aromatic aldehyde + Hydrogen peroxide
rn:R01492	ATP:cob(I)alamin Co-beta-adenosyltransferase; ATP + Cob(I)alamin <=> Triphosphate + Cobamide coenzyme
rn:R01493	N-Acylsphingosine amidohydrolase; N-Acylsphingosine + H2O <=> Carboxylate + Sphingosine
rn:R01494	N-Acylsphingosine amidohydrolase; N-Acylsphingosine + H2O <=> Fatty acid + Sphingosine
rn:R01495	ATP:ceramide 1-phosphotransferase; ATP + N-Acylsphingosine <=> ADP + Ceramide 1-phosphate
rn:R01496	acyl-CoA:sphingosine N-acyltransferase; Acyl-CoA + Sphingosine <=> CoA + N-Acylsphingosine
rn:R01497	UDP-glucose:N-acylsphingosine D-glucosyltransferase; UDP-glucose + N-Acylsphingosine <=> UDP + beta-D-Glucosyl-(1<->1)-ceramide
rn:R01498	D-Glucosyl-N-acylsphingosine glucohydrolase; beta-D-Glucosyl-(1<->1)-ceramide + H2O <=> D-Glucose + N-Acylsphingosine
rn:R01500	UDP-alpha-D-galactose:N-acylsphingosine D-galactosyltransferase; UDP-alpha-D-galactose + N-Acylsphingosine <=> UDP + Galactosylceramide
rn:R01501	Glycosyl-N-acylsphingosine glycohydrolase; Glycosyl-N-acylsphingosine + H2O <=> Sugar + N-Acylsphingosine
rn:R01503	CDP-ethanolamine:N-acylsphingosine ethanolaminephosphotransferase; CDP-ethanolamine + N-Acylsphingosine <=> CMP + Ceramide phosphoethanolamine
rn:R01504	ATP:2,3-dihydroxybenzoate adenylyltransferase; ATP + 2,3-Dihydroxybenzoate <=> Diphosphate + (2,3-Dihydroxybenzoyl)adenylate
rn:R01505	2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase; (2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate + NAD+ <=> 2,3-Dihydroxybenzoate + NADH + H+
rn:R01506	2,3-Dihydroxybenzoate:oxygen 2,3-oxidoreductase (decyclizing); 2,3-Dihydroxybenzoate + Oxygen <=> 2-Carboxy-cis,cis-muconate
rn:R01507	2,3-dihydroxybenzoate:oxygen 3,4-oxidoreductase (decyclizing); 2,3-Dihydroxybenzoate + Oxygen <=> 3-Carboxy-2-hydroxymuconate semialdehyde
rn:R01508	3-Hydroxybenzoate, hydrogen-donor:oxygen oxidoreduxtase (2-hydroxylating); 3-Hydroxybenzoate + Reduced acceptor + Oxygen <=> 2,3-Dihydroxybenzoate + Acceptor + H2O
rn:R01511	D-Glycerate-3-phosphate phosphohydrolase; 3-Phospho-D-glycerate + H2O <=> D-Glycerate + Orthophosphate
rn:R01512	ATP:3-phospho-D-glycerate 1-phosphotransferase; ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate
rn:R01513	3-Phospho-D-glycerate:NAD+ 2-oxidoreductase; 3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+
rn:R01514	ATP:(R)-glycerate 3-phosphotransferase; ATP + D-Glycerate <=> ADP + 3-Phospho-D-glycerate
rn:R01515	3-Phospho-D-glyceroyl phosphate phosphohydrolase; 3-Phospho-D-glyceroyl phosphate + H2O <=> 3-Phospho-D-glycerate + Orthophosphate
rn:R01516	2,3-bisphospho-D-glycerate 2-phosphohydrolase; 2,3-Bisphospho-D-glycerate + Protein histidine <=> 3-Phospho-D-glycerate + Protein N(tau)-phospho-L-histidine
rn:R01517	GTP:3-phospho-D-glycerate 1-phosphotransferase; GTP + 3-Phospho-D-glycerate <=> GDP + 3-Phospho-D-glyceroyl phosphate
rn:R01518	D-phosphoglycerate 2,3-phosphomutase; 2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate
rn:R01519	D-Glucono-1,5-lactone lactonohydrolase; D-Glucono-1,5-lactone + H2O <=> D-Gluconic acid
rn:R01520	beta-D-Glucose:NAD+ 1-oxoreductase; beta-D-Glucose + NAD+ <=> D-Glucono-1,5-lactone + NADH + H+
rn:R01521	beta-D-Glucose:NADP+ 1-oxoreductase; beta-D-Glucose + NADP+ <=> D-Glucono-1,5-lactone + NADPH + H+
rn:R01522	beta-D-glucose:oxygen 1-oxidoreductase; beta-D-Glucose + Oxygen <=> D-Glucono-1,5-lactone + Hydrogen peroxide
rn:R01523	ATP:D-ribulose-5-phosphate 1-phosphotransferase; ATP + D-Ribulose 5-phosphate <=> ADP + D-Ribulose 1,5-bisphosphate
rn:R01524	D-Ribitol-5-phosphate:NAD+ 2-oxidoreductase; D-Ribitol 5-phosphate + NAD+ <=> D-Ribulose 5-phosphate + NADH + H+
rn:R01525	D-Ribitol-5-phosphate:NADP+ 2-oxidoreductase; D-Ribitol 5-phosphate + NADP+ <=> D-Ribulose 5-phosphate + NADPH + H+
rn:R01526	ATP:D-ribulose 5-phosphotransferase; ATP + D-Ribulose <=> ADP + D-Ribulose 5-phosphate
rn:R01528	6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating); 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+
rn:R01529	D-Ribulose-5-phosphate 3-epimerase; D-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate
rn:R01530	D-arabinose-5-phosphate aldose-ketose-isomerase; D-Arabinose 5-phosphate <=> D-Ribulose 5-phosphate
rn:R01532	nucleoside-triphosphate diphosphohydrolase; Nucleoside triphosphate + H2O <=> Nucleotide + Diphosphate
rn:R01533	Diisopropyl-fluorophosphate fluorohydrolase; Isoflurophate + H2O <=> Diisopropyl phosphate + Hydrofluoric acid
rn:R01535	UDP-alpha-D-galactose:undecaprenyl-phosphate galactose phosphotransferase; UDP-alpha-D-galactose + di-trans,poly-cis-Undecaprenyl phosphate <=> UMP + alpha-D-Galactosyl-diphosphoundecaprenol
rn:R01537	UDP-N-acetyl-D-galactosamine <=> Glycolipid
rn:R01538	D-gluconate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming); D-Gluconic acid <=> 2-Dehydro-3-deoxy-D-gluconate + H2O
rn:R01540	D-altronate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming); D-Altronate <=> 2-Dehydro-3-deoxy-D-gluconate + H2O
rn:R01541	ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase; ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate
rn:R01542	2-Dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase; 2-Dehydro-3-deoxy-D-gluconate + NAD+ <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate + NADH + H+
rn:R01543	2-Dehydro-3-deoxy-D-gluconate:NADP+ 6-oxidoreductase; 2-Dehydro-3-deoxy-D-gluconate + NADP+ <=> (4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate + NADPH + H+
rn:R01544	2-amino-2-deoxy-D-gluconate ammonia-lyase (isomerizing; 2-dehydro-3-deoxy-D-gluconate-forming); 2-Amino-2-deoxy-D-gluconate <=> 2-Dehydro-3-deoxy-D-gluconate + Ammonia
rn:R01547	ATP:dAMP phosphotransferase; ATP + dAMP <=> ADP + dADP
rn:R01548	dATP:cytidine 5'-phosphotransferase; dATP + Cytidine <=> dADP + CMP
rn:R01549	dATP:uridine 5'-phosphotransferase; dATP + Uridine <=> dADP + UMP
rn:R01550	Propan-2-ol:NADP+ oxidoreductase; Acetone + NADPH + H+ <=> Propan-2-ol + NADP+
rn:R01553	acetone-cyanohydrin acetone-lyase (cyanide-forming); Acetone cyanohydrin <=> Hydrogen cyanide + Acetone
rn:R01555	Maltose:phosphate 1-beta-D-glucosyltransferase; Maltose + Orthophosphate <=> D-Glucose + beta-D-Glucose 1-phosphate
rn:R01556	Acetyl-CoA:maltose O-acetyltransferase; Acetyl-CoA + Maltose <=> CoA + Acetyl-maltose
rn:R01557	Maltose alpha-D-glucosylmutase; Maltose <=> alpha,alpha-Trehalose
rn:R01558	oxalate:CoA ligase (AMP-forming); ATP + Oxalate + CoA <=> AMP + Diphosphate + Oxalyl-CoA
rn:R01559	Succinyl-CoA:oxalate CoA-transferase; Succinyl-CoA + Oxalate <=> Succinate + Oxalyl-CoA
rn:R01560	Adenosine aminohydrolase; Adenosine + H2O <=> Inosine + Ammonia
rn:R01561	adenosine:phosphate alpha-D-ribosyltransferase; Adenosine + Orthophosphate <=> Adenine + alpha-D-Ribose 1-phosphate
rn:R01562	adenosine 3'-phosphate phosphohydrolase; 3'-AMP + H2O <=> Adenosine + Orthophosphate
rn:R01563	N-Carbamoylsarcosine amidohydrolase; N-Carbamoylsarcosine + H2O <=> Sarcosine + CO2 + Ammonia
rn:R01564	N,N-Dimethylglycine:oxygen oxidoreductase (demethylating); N,N-Dimethylglycine + H2O + Oxygen <=> Sarcosine + Formaldehyde + Hydrogen peroxide
rn:R01565	N,N-dimethylglycine,5,6,7,8-tetrahydrofolate:electron-transferflavoprotein oxidoreductase (demethylating,5,10-methylenetetrahydrofolate-forming); N,N-Dimethylglycine + Tetrahydrofolate + Electron-transferring flavoprotein <=> Sarcosine + 5,10-Methylenetetrahydrofolate + Reduced electron-transferring flavoprotein
rn:R01566	Creatine amidinohydrolase; Creatine + H2O <=> Sarcosine + Urea
rn:R01567	ATP:thymidine 5'-phosphotransferase; ATP + Thymidine <=> ADP + dTMP
rn:R01568	ADP:thymidine 5'-phosphotransferase; ADP + Thymidine <=> AMP + dTMP
rn:R01569	thymidylate 5'-phosphohydrolase; dTMP + H2O <=> Thymidine + Orthophosphate
rn:R01570	thymidine:phosphate deoxy-alpha-D-ribosyltransferase; Thymidine + Orthophosphate <=> Thymine + 2-Deoxy-D-ribose 1-phosphate
rn:R01571	AMP:thymidine 5'-phosphotransferase; AMP + Thymidine <=> Adenosine + dTMP
rn:R01572	Nucleotide phosphohydrolase; Nucleotide + H2O <=> Nucleoside + Orthophosphate
rn:R01573	ATP:D-arabinose 5-phosphotransferase; ATP + D-Arabinose <=> ADP + D-Arabinose 5-phosphate
rn:R01574	D-Arabinose:NAD+ 1-oxidoreductase; D-Arabinose + NAD+ <=> D-Arabinono-1,4-lactone + NADH + H+
rn:R01575	D-Arabinose:NADP+ 1-oxidoreductase; D-Arabinose + NADP+ <=> D-Arabinono-1,4-lactone + NADPH + H+
rn:R01576	3-deoxy-D-manno-octulosonate D-arabinose-lyase (pyruvate-forming); 3-Deoxy-D-manno-octulosonate <=> Pyruvate + D-Arabinose
rn:R01577	D-arabinose aldose-ketose-isomerase; D-Arabinose <=> D-Ribulose
rn:R01578	D-Glutamate + Peptide <=> D-Glutamyl-peptide
rn:R01579	D-Glutamine amidohydrolase; D-Glutamine + H2O <=> D-Glutamate + Ammonia
rn:R01580	Pyridoxamine-5'-phosphate:2-oxoglutarate aminotransferase (D-glutamate-forming); Pyridoxamine phosphate + 2-Oxoglutarate <=> Pyridoxal phosphate + D-Glutamate
rn:R01581	N-Acyl-D-glutamate amidohydrolase; N-Acyl-D-glutamate + H2O <=> Carboxylate + D-Glutamate
rn:R01582	D-Phenylalanine:2-oxoglutarate aminotransferase; D-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + D-Glutamate
rn:R01583	D-glutamate hydro-lyase (cyclizing; 5-oxo-D-proline-forming); D-Glutamate <=> 5-Oxo-D-proline + H2O
rn:R01584	N-methyl-L-alanine:NADP+ oxidoreductase (demethylating, deaminating); N-Methyl-L-alanine + H2O + NADP+ <=> Pyruvate + Methylamine + NADPH + H+
rn:R01585	L-Glutamate:methylamine ligase (ADP-forming); ATP + L-Glutamate + Methylamine <=> ADP + Orthophosphate + N5-Methyl-L-glutamine
rn:R01586	L-glutamate:methylamine 1,3-dicarboxypropyltransferase (N-methyl-L-glutamate-forming); Methylamine + L-Glutamate <=> Ammonia + N-Methyl-L-glutamate
rn:R01587	N-Methyl-2-oxoglutaramate methylamidohydrolase; N-Methyl-2-oxoglutaramate + H2O <=> Methylamine + 2-Oxoglutarate
rn:R01588	dimethylamine:electron-transferring flavoprotein oxidoreductase; Dimethylamine + H2O + Electron-transferring flavoprotein <=> Methylamine + Formaldehyde + Reduced electron-transferring flavoprotein
rn:R01589	Methylguanidine amidinohydrolase; Methylguanidine + H2O <=> Methylamine + Urea
rn:R01590	Arachidonate:oxygen oxidoreductase; Arachidonate + 2 Oxygen <=> Prostaglandin G2
rn:R01593	arachidonate:oxygen 15-oxidoreductase; Arachidonate + Oxygen <=> 15(S)-HPETE
rn:R01594	Arachidonate:oxygen 8-oxidoreductase; Arachidonate + Oxygen <=> 8(R)-HPETE
rn:R01595	Arachidonate:oxygen 5-oxidoreductase; Arachidonate + Oxygen <=> 5(S)-HPETE
rn:R01596	arachidonate:oxygen 12-oxidoreductase; Arachidonate + Oxygen <=> 12(S)-HPETE
rn:R01598	Arachidonate:CoA ligase (AMP-forming); ATP + Arachidonate + CoA <=> AMP + Diphosphate + Arachidonyl-CoA
rn:R01599	Arachidonate,reduced acceptor:oxygen oxidoreductase; Arachidonate + Reduced acceptor + 2 Oxygen <=> Prostaglandin H2 + Acceptor + H2O
rn:R01600	ATP:beta-D-glucose 6-phosphotransferase; ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate
