SCENARIO	REACTION
Purine conversions:AMP to Hypoxanthine:10:reactions	R01228
Purine conversions:AMP to Hypoxanthine:10:reactions	R02297
Purine conversions:AMP to Hypoxanthine:10:reactions	R01132
Purine conversions:AMP to Hypoxanthine:10:reactions	R02148
Purine conversions:AMP to Hypoxanthine:10:reactions	R01230
Purine conversions:AMP to Hypoxanthine:10:reactions	R00185
Purine conversions:AMP to Hypoxanthine:10:reactions	R01134
Purine conversions:AMP to Hypoxanthine:10:reactions	R02143
Purine conversions:AMP to Hypoxanthine:10:reactions	R02090
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R03260
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01291
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01288
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01001
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R04858
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01287
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01224
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R02026
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R04405
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R04859
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00177
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R02821
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00946
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00194
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01776
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00650
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00192
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01771
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01777
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R07168
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00586
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00782
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00999
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R03217
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01775
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R00897
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01286
Methionine Biosynthesis:Adenosylmethionine to Homocysteine:1:reactions	R01290
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06267
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06272
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R04237
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06284
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06896
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06271
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06286
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06269
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R03845
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R03877
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06268
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06282
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06265
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06270
Chlorophyll Biosynthesis:Protoporphyrin to Chlorophyllide a:31:reactions	R06266
pyrimidine conversions:CMP to Uracil:2:reactions	R02099
pyrimidine conversions:CMP to Uracil:2:reactions	R00157
pyrimidine conversions:CMP to Uracil:2:reactions	R01411
pyrimidine conversions:CMP to Uracil:2:reactions	R02092
pyrimidine conversions:CMP to Uracil:2:reactions	R02331
pyrimidine conversions:CMP to Uracil:2:reactions	R01567
pyrimidine conversions:CMP to Uracil:2:reactions	R00570
pyrimidine conversions:CMP to Uracil:2:reactions	R01877
pyrimidine conversions:CMP to Uracil:2:reactions	R06613
pyrimidine conversions:CMP to Uracil:2:reactions	R02330
pyrimidine conversions:CMP to Uracil:2:reactions	R02101
pyrimidine conversions:CMP to Uracil:2:reactions	R00159
pyrimidine conversions:CMP to Uracil:2:reactions	R00969
pyrimidine conversions:CMP to Uracil:2:reactions	R00569
pyrimidine conversions:CMP to Uracil:2:reactions	R03538
pyrimidine conversions:CMP to Uracil:2:reactions	R02094
pyrimidine conversions:CMP to Uracil:2:reactions	R01878
pyrimidine conversions:CMP to Uracil:2:reactions	R02485
pyrimidine conversions:CMP to Uracil:2:reactions	R02093
pyrimidine conversions:CMP to Uracil:2:reactions	R00511
pyrimidine conversions:CMP to Uracil:2:reactions	R02370
pyrimidine conversions:CMP to Uracil:2:reactions	R00966
pyrimidine conversions:CMP to Uracil:2:reactions	R02098
pyrimidine conversions:CMP to Uracil:2:reactions	R02484
pyrimidine conversions:CMP to Uracil:2:reactions	R00514
pyrimidine conversions:CMP to Uracil:2:reactions	R01669
pyrimidine conversions:CMP to Uracil:2:reactions	R00156
pyrimidine conversions:CMP to Uracil:2:reactions	R00968
pyrimidine conversions:CMP to Uracil:2:reactions	R00568
pyrimidine conversions:CMP to Uracil:2:reactions	R00963
pyrimidine conversions:CMP to Uracil:2:reactions	R00155
pyrimidine conversions:CMP to Uracil:2:reactions	R02504
pyrimidine conversions:CMP to Uracil:2:reactions	R00573
pyrimidine conversions:CMP to Uracil:2:reactions	R02095
pyrimidine conversions:CMP to Uracil:2:reactions	R02325
pyrimidine conversions:CMP to Uracil:2:reactions	R00722
pyrimidine conversions:CMP to Uracil:2:reactions	R02137
pyrimidine conversions:CMP to Uracil:2:reactions	R01570
pyrimidine conversions:CMP to Uracil:2:reactions	R03929
pyrimidine conversions:CMP to Uracil:2:reactions	R01664
pyrimidine conversions:CMP to Uracil:2:reactions	R01080
pyrimidine conversions:CMP to Uracil:2:reactions	R00158
pyrimidine conversions:CMP to Uracil:2:reactions	R00964
pyrimidine conversions:CMP to Uracil:2:reactions	R01666
pyrimidine conversions:CMP to Uracil:2:reactions	R01876
pyrimidine conversions:CMP to Uracil:2:reactions	R00571
pyrimidine conversions:CMP to Uracil:2:reactions	R02016
pyrimidine conversions:CMP to Uracil:2:reactions	R01667
pyrimidine conversions:CMP to Uracil:2:reactions	R02326
pyrimidine conversions:CMP to Uracil:2:reactions	R00970
pyrimidine conversions:CMP to Uracil:2:reactions	R00510
pyrimidine conversions:CMP to Uracil:2:reactions	R01668
pyrimidine conversions:CMP to Uracil:2:reactions	R01665
pyrimidine conversions:CMP to Uracil:2:reactions	R00974
pyrimidine conversions:CMP to Uracil:2:reactions	R01569
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00212
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00230
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00754
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00228
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00315
Fermentations: Mixed acid:Phosphoenolpyruvate to Oxaloacetate:1:reactions	R00345
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R03027
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R03276
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01977
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01688
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R03026
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01975
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01976
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01174
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R01171
Acetyl-CoA fermentation to Butyrate:AcetylCoA to CrotonoylCoA:4:reactions	R00238
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R01214
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R07600
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R02661
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R05064
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R07618
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R04224
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R02660
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R05066
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R07599
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R02662
Valine degradation:IsobutyrylCoA to Methylmalonate semialdehyde:2:reactions	R00935
pyrimidine conversions:dCTP to dCMP:2:reactions	R00516
pyrimidine conversions:dCTP to dCMP:2:reactions	R02099
pyrimidine conversions:dCTP to dCMP:2:reactions	R00157
pyrimidine conversions:dCTP to dCMP:2:reactions	R01411
pyrimidine conversions:dCTP to dCMP:2:reactions	R02092
pyrimidine conversions:dCTP to dCMP:2:reactions	R02331
pyrimidine conversions:dCTP to dCMP:2:reactions	R01567
pyrimidine conversions:dCTP to dCMP:2:reactions	R00570
pyrimidine conversions:dCTP to dCMP:2:reactions	R01877
pyrimidine conversions:dCTP to dCMP:2:reactions	R06613
pyrimidine conversions:dCTP to dCMP:2:reactions	R02330
pyrimidine conversions:dCTP to dCMP:2:reactions	R02101
pyrimidine conversions:dCTP to dCMP:2:reactions	R00159
pyrimidine conversions:dCTP to dCMP:2:reactions	R00513
pyrimidine conversions:dCTP to dCMP:2:reactions	R00969
pyrimidine conversions:dCTP to dCMP:2:reactions	R00569
pyrimidine conversions:dCTP to dCMP:2:reactions	R03538
pyrimidine conversions:dCTP to dCMP:2:reactions	R02094
pyrimidine conversions:dCTP to dCMP:2:reactions	R01878
pyrimidine conversions:dCTP to dCMP:2:reactions	R02296
pyrimidine conversions:dCTP to dCMP:2:reactions	R02485
pyrimidine conversions:dCTP to dCMP:2:reactions	R02093
pyrimidine conversions:dCTP to dCMP:2:reactions	R00517
pyrimidine conversions:dCTP to dCMP:2:reactions	R00511
pyrimidine conversions:dCTP to dCMP:2:reactions	R02370
pyrimidine conversions:dCTP to dCMP:2:reactions	R00966
pyrimidine conversions:dCTP to dCMP:2:reactions	R02098
pyrimidine conversions:dCTP to dCMP:2:reactions	R02484
pyrimidine conversions:dCTP to dCMP:2:reactions	R00514
pyrimidine conversions:dCTP to dCMP:2:reactions	R01669
pyrimidine conversions:dCTP to dCMP:2:reactions	R00156
pyrimidine conversions:dCTP to dCMP:2:reactions	R00968
pyrimidine conversions:dCTP to dCMP:2:reactions	R00568
pyrimidine conversions:dCTP to dCMP:2:reactions	R00963
pyrimidine conversions:dCTP to dCMP:2:reactions	R00155
pyrimidine conversions:dCTP to dCMP:2:reactions	R02504
pyrimidine conversions:dCTP to dCMP:2:reactions	R00573
pyrimidine conversions:dCTP to dCMP:2:reactions	R02095
pyrimidine conversions:dCTP to dCMP:2:reactions	R00722
pyrimidine conversions:dCTP to dCMP:2:reactions	R02137
pyrimidine conversions:dCTP to dCMP:2:reactions	R01570
pyrimidine conversions:dCTP to dCMP:2:reactions	R03929
pyrimidine conversions:dCTP to dCMP:2:reactions	R01664
pyrimidine conversions:dCTP to dCMP:2:reactions	R01080
pyrimidine conversions:dCTP to dCMP:2:reactions	R00512
pyrimidine conversions:dCTP to dCMP:2:reactions	R00158
pyrimidine conversions:dCTP to dCMP:2:reactions	R00964
pyrimidine conversions:dCTP to dCMP:2:reactions	R01666
pyrimidine conversions:dCTP to dCMP:2:reactions	R01876
pyrimidine conversions:dCTP to dCMP:2:reactions	R00571
pyrimidine conversions:dCTP to dCMP:2:reactions	R02016
pyrimidine conversions:dCTP to dCMP:2:reactions	R01667
pyrimidine conversions:dCTP to dCMP:2:reactions	R02326
pyrimidine conversions:dCTP to dCMP:2:reactions	R00970
pyrimidine conversions:dCTP to dCMP:2:reactions	R00510
pyrimidine conversions:dCTP to dCMP:2:reactions	R01668
pyrimidine conversions:dCTP to dCMP:2:reactions	R01665
pyrimidine conversions:dCTP to dCMP:2:reactions	R00974
pyrimidine conversions:dCTP to dCMP:2:reactions	R01569
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:9:reactions	R03321
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R04109
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03222
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03194
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R00036
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R05578
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R04972
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03220
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03197
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03947
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R03165
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R00830
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R02272
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R06895
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R02864
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R00310
Heme and Siroheme Biosynthesis:Uroporphyrinogen III to Siroheme:1:reactions	R00084
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00551
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R04189
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00670
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00667
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00671
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R01398
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R01416
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R01152
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R04217
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R01155
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00832
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00707
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00566
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R01157
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R05049
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00411
Arginine and Ornithine Degradation:Arginine to Glutamate:1:reactions	R00552
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R00619
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R04509
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R00617
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R02133
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R04448
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R07462
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R07459
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R07465
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R02135
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R03471
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R03223
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R07464
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R02134
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R03472
Thiamin biosynthesis:HydroxymethylpyrimidinePP to ThiaminPP:2:reactions	R07463
pyrimidine conversions:dCMP to dTMP:1:reactions	R00516
pyrimidine conversions:dCMP to dTMP:1:reactions	R02099
pyrimidine conversions:dCMP to dTMP:1:reactions	R00157
pyrimidine conversions:dCMP to dTMP:1:reactions	R01411
pyrimidine conversions:dCMP to dTMP:1:reactions	R02092
pyrimidine conversions:dCMP to dTMP:1:reactions	R02331
pyrimidine conversions:dCMP to dTMP:1:reactions	R01567
pyrimidine conversions:dCMP to dTMP:1:reactions	R00570
pyrimidine conversions:dCMP to dTMP:1:reactions	R01877
pyrimidine conversions:dCMP to dTMP:1:reactions	R06613
pyrimidine conversions:dCMP to dTMP:1:reactions	R02330
pyrimidine conversions:dCMP to dTMP:1:reactions	R02101
pyrimidine conversions:dCMP to dTMP:1:reactions	R00159
pyrimidine conversions:dCMP to dTMP:1:reactions	R00513
pyrimidine conversions:dCMP to dTMP:1:reactions	R00969
pyrimidine conversions:dCMP to dTMP:1:reactions	R00569
pyrimidine conversions:dCMP to dTMP:1:reactions	R03538
pyrimidine conversions:dCMP to dTMP:1:reactions	R02094
pyrimidine conversions:dCMP to dTMP:1:reactions	R01878
pyrimidine conversions:dCMP to dTMP:1:reactions	R02296
pyrimidine conversions:dCMP to dTMP:1:reactions	R02485
pyrimidine conversions:dCMP to dTMP:1:reactions	R02093
pyrimidine conversions:dCMP to dTMP:1:reactions	R00517
pyrimidine conversions:dCMP to dTMP:1:reactions	R00511
pyrimidine conversions:dCMP to dTMP:1:reactions	R02370
pyrimidine conversions:dCMP to dTMP:1:reactions	R00966
pyrimidine conversions:dCMP to dTMP:1:reactions	R02098
pyrimidine conversions:dCMP to dTMP:1:reactions	R00514
pyrimidine conversions:dCMP to dTMP:1:reactions	R01669
pyrimidine conversions:dCMP to dTMP:1:reactions	R00156
pyrimidine conversions:dCMP to dTMP:1:reactions	R00968
pyrimidine conversions:dCMP to dTMP:1:reactions	R00568
pyrimidine conversions:dCMP to dTMP:1:reactions	R00963
pyrimidine conversions:dCMP to dTMP:1:reactions	R00155
pyrimidine conversions:dCMP to dTMP:1:reactions	R02504
pyrimidine conversions:dCMP to dTMP:1:reactions	R00573
pyrimidine conversions:dCMP to dTMP:1:reactions	R02095
pyrimidine conversions:dCMP to dTMP:1:reactions	R02325
pyrimidine conversions:dCMP to dTMP:1:reactions	R00722
pyrimidine conversions:dCMP to dTMP:1:reactions	R02137
pyrimidine conversions:dCMP to dTMP:1:reactions	R01570
pyrimidine conversions:dCMP to dTMP:1:reactions	R03929
pyrimidine conversions:dCMP to dTMP:1:reactions	R01664
pyrimidine conversions:dCMP to dTMP:1:reactions	R01080
pyrimidine conversions:dCMP to dTMP:1:reactions	R00512
pyrimidine conversions:dCMP to dTMP:1:reactions	R00158
pyrimidine conversions:dCMP to dTMP:1:reactions	R00964
pyrimidine conversions:dCMP to dTMP:1:reactions	R01666
pyrimidine conversions:dCMP to dTMP:1:reactions	R01876
pyrimidine conversions:dCMP to dTMP:1:reactions	R00571
pyrimidine conversions:dCMP to dTMP:1:reactions	R02016
pyrimidine conversions:dCMP to dTMP:1:reactions	R01667
pyrimidine conversions:dCMP to dTMP:1:reactions	R02326
pyrimidine conversions:dCMP to dTMP:1:reactions	R00970
pyrimidine conversions:dCMP to dTMP:1:reactions	R00510
pyrimidine conversions:dCMP to dTMP:1:reactions	R01668
pyrimidine conversions:dCMP to dTMP:1:reactions	R01665
pyrimidine conversions:dCMP to dTMP:1:reactions	R00974
pyrimidine conversions:dCMP to dTMP:1:reactions	R01569
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01523
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01061
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01512
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01829
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01529
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01015
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R00762
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R00024
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01845
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01063
Calvin-Benson cycle:Ribulose15BP to Glyceraldehyde3P:3:reactions	R01056
Proline Synthesis:Glutamate to Proline:2:reactions	R03313
Proline Synthesis:Glutamate to Proline:2:reactions	R01251
Proline Synthesis:Glutamate to Proline:2:reactions	R00239
Proline Synthesis:Glutamate to Proline:2:reactions	R03314
Proline Synthesis:Glutamate to Proline:2:reactions	R00248
Proline Synthesis:Glutamate to Proline:2:reactions	R01248
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R06447
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R01121
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05634
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R02082
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05688
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05633
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05884
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R07219
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R08210
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R02003
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R02245
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05883
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R08209
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05555
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05636
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R03245
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R01658
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R01978
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R05637
Isoprenoid Biosynthesis:IsopentenylPP and DimethylallylPP to GeranylPP:4:reactions	R00238
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01061
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R00658
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R04779
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R00199
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01600
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01786
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01058
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R02073
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01070
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R04780
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01063
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01512
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01518
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R01015
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R02740
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R00200
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R00206
Glycolysis and Gluconeogenesis:Glucose to Phosphoenolpyruvate:20:reactions	R03321
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R00734
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R01730
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R00733
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R00732
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R00691
Phenylalanine and Tyrosine Branches from Chorismate:Chorismate to Phenylalanine:2:reactions	R01728
