Class	Sub-class	Name	Role	Reaction
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	rxn02227
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	rxn06675
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	rxn06802
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-beta-lysine 5,6-aminomutase alpha subunit (EC 5.4.3.3)	rxn02344
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-beta-lysine 5,6-aminomutase beta subunit (EC 5.4.3.3)	rxn02344
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-pipecolate dehydrogenase (EC 1.5.99.3)	rxn01581
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	L-pipecolate oxidase (1.5.3.7)	rxn01580
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine 2,3-aminomutase (EC 5.4.3.2)	rxn00321
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine 2-monooxygenase (EC 1.13.12.2)	rxn00312
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine decarboxylase 2, constitutive (EC 4.1.1.18)	rxn00322
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine decarboxylase, inducible (EC 4.1.1.18)	rxn00322
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine ketoglutarate reductase (EC 1.5.1.8) (LOR) (LKR)	rxn00511
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Lysine/cadaverine antiporter membrane protein CadB	rxn10148
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Saccharopine dehydrogenase (EC 1.5.1.9)	rxn01662
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Saccharopine dehydrogenase [NAD+, L-lysine-forming] (EC 1.5.1.7)	rxn00510
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Lysine_degradation	Saccharopine dehydrogenase [NADP , L-glutamate-forming] (EC 1.5.1.10)	rxn01663
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	rxn00910
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	rxn04954
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	rxn00693
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn03052
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	rxn11944
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Adenosylhomocysteinase (EC 3.3.1.1)	rxn00141
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Archaeal S-adenosylmethionine synthetase (EC 2.5.1.6)	rxn00126
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Betaine--homocysteine S-methyltransferase (EC 2.1.1.5)	rxn02028
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine beta-lyase (EC 4.4.1.8)	rxn00566
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine beta-lyase (EC 4.4.1.8)	rxn00950
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine beta-lyase, type II (EC 4.4.1.8)	rxn00950
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine beta-synthase (EC 4.2.1.22)	rxn00953
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00566
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00742
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn00740
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn01816
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn02302
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cysteine synthase (EC 2.5.1.47)	rxn00649
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Cysteine synthase (EC 2.5.1.47)	rxn05733
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homocysteine S-methyltransferase (EC 2.1.1.10)	rxn00452
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homocysteine S-methyltransferase (EC 2.1.1.10)	rxn08703
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homoserine O-acetyltransferase (EC 2.3.1.31)	rxn01303
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homoserine O-succinyltransferase (EC 2.3.1.46)	rxn01304
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01301
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01302
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Homoserine kinase (EC 2.7.1.39)	rxn01300
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter permease protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter permease protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter permease protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter permease protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter substrate-binding protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter substrate-binding protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter substrate-binding protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter substrate-binding protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine synthase activation domain (EC 2.1.1.13)	rxn00693
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	rxn00952
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	rxn06078
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	O-succinylhomoserine sulfhydrylase (EC 4.2.99.9)	rxn05957
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	RTX toxin transporter, ATP-binding protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	RTX toxin transporter, ATP-binding protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	RTX toxin transporter, ATP-binding protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	RTX toxin transporter, ATP-binding protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	rxn00143
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	rxn01021
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	S-adenosylmethionine synthetase (EC 2.5.1.6)	rxn00126
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	S-ribosylhomocysteine lyase (EC 4.4.1.21)	rxn05958
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	SAM-dependent methlytransferase UbiG	rxn06799
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	SAM-dependent methlytransferase YrrT	rxn06799
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Serine acetyltransferase (EC 2.3.1.30)	rxn00423
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Adenosylhomocysteinase (EC 3.3.1.1)	rxn00141
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Cystathionine beta-synthase (EC 4.2.1.22)	rxn00953
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00566
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Cystathionine gamma-lyase (EC 4.4.1.1)	rxn00742
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter permease protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter permease protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter permease protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter permease protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter substrate-binding protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter substrate-binding protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter substrate-binding protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine ABC transporter substrate-binding protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	rxn00011
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	rxn02342
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	rxn05938
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	RTX toxin transporter, ATP-binding protein	rxn05183
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	RTX toxin transporter, ATP-binding protein	rxn05219
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	RTX toxin transporter, ATP-binding protein	rxn05613
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	RTX toxin transporter, ATP-binding protein	rxn05614
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	rxn00143
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	rxn01021
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	S-adenosylmethionine synthetase (EC 2.5.1.6)	rxn00126
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	rxn05092
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	rxn05105
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05105
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05106
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	rxn05106
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn00143
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn01021
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	5'-methylthioadenosine phosphorylase (EC 2.4.2.28)	rxn01022
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	5-methylthioribose kinase (EC 2.7.1.100)	rxn02894
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00806
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00903
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn01575
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase	rxn05108
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	rxn03057
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	rxn05104
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	2-ketobutyrate formate-lyase (EC 2.3.1.-)	rxn04794
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Acetate kinase (EC 2.7.2.1)	rxn00225
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Acetate kinase (EC 2.7.2.1)	rxn00985
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	L-threonine transporter, anaerobically inducible	rxn05300
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Phosphate acetyltransferase (EC 2.3.1.8)	rxn00173
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Phosphate acetyltransferase (EC 2.3.1.8)	rxn00670
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Propionate kinase (EC 2.7.2.15)	rxn00985
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Pyruvate formate-lyase (EC 2.3.1.54)	rxn00157
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Pyruvate formate-lyase (EC 2.3.1.54)	rxn04794
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	rxn00157
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Serine transporter	rxn05307
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_anaerobic_catabolism_gene_cluster	Threonine dehydratase, catabolic (EC 4.3.1.19)	rxn00737
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	rxn01106
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Aspartate aminotransferase (EC 2.6.1.1)	rxn00260
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Aspartate aminotransferase (EC 2.6.1.1)	rxn00527
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Aspartate aminotransferase (EC 2.6.1.1)	rxn02339
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	rxn01643
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Aspartokinase (EC 2.7.2.4)	rxn00337
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01301
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01302
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Homoserine kinase (EC 2.7.1.39)	rxn01300
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Threonine synthase (EC 4.2.3.1)	rxn01069
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_and_Homoserine_Biosynthesis	Threonine synthase (EC 4.2.3.1)	rxn03446
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	rxn00274
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	5-aminolevulinate synthase (EC 2.3.1.37)	rxn00599
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Amiloride-sensitive amine oxidase [copper-containing] precursor (EC 1.4.3.21)	rxn01833
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	L-threonine 3-dehydrogenase (EC 1.1.1.103)	rxn01068
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	L-threonine transporter, anaerobically inducible	rxn05300
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Low-specificity L-threonine aldolase (EC 4.1.2.5)	rxn00541
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Monoamine oxidase (1.4.3.4)	rxn01715
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Monoamine oxidase (1.4.3.4)	rxn01833
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Ornithine cyclodeaminase (EC 4.3.1.12)	rxn00471
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Threonine dehydratase (EC 4.3.1.19)	rxn00737
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Threonine_degradation	Threonine dehydratase, catabolic (EC 4.3.1.19)	rxn00737
Amino Acids and Derivatives	Proline and 4-hydroxyproline	A_Hypothetical_Protein_Related_to_Proline_Metabolism	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00929
Amino Acids and Derivatives	Proline and 4-hydroxyproline	A_Hypothetical_Protein_Related_to_Proline_Metabolism	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00931
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	rxn01635
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	rxn00328
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	rxn03884
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	4-hydroxyproline epimerase (EC 5.1.1.8)	rxn02360
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Aspartate aminotransferase (EC 2.6.1.1)	rxn00260
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Aspartate aminotransferase (EC 2.6.1.1)	rxn00527
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Aspartate aminotransferase (EC 2.6.1.1)	rxn02339
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	rxn08291
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-amino-acid oxidase (EC 1.4.3.3)	rxn02071
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-amino-acid oxidase (EC 1.4.3.3)	rxn02946
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-proline reductase, 23 kDa subunit (EC 1.21.4.1)	rxn02029
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-proline reductase, 26 kDa subunit (EC 1.21.4.1)	rxn02029
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	D-proline reductase, 45 kDa subunit (EC 1.21.4.1)	rxn02029
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn00183
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn00503
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	rxn02373
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Glutamate 5-kinase (EC 2.7.2.11)	rxn00179
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)	rxn00196
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	L-Proline/Glycine betaine transporter ProP	rxn05638
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	L-Proline/Glycine betaine transporter ProP	rxn10945
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	rxn00184
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Ornithine aminotransferase (EC 2.6.1.13)	rxn00467
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Ornithine cyclodeaminase (EC 4.3.1.12)	rxn00471
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3)	rxn00162
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	rxn00162
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3)	rxn00162
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Peptidyl prolyl 4-hydroxylase, alpha subunit (EC 1.14.11.2)	rxn00932
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	rxn02359
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	rxn09188
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Proline racemase (EC 5.1.1.4)	rxn00933
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Proline/sodium symporter PutP (TC 2.A.21.2.1)	rxn05221
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Prolyl-tRNA synthetase (EC 6.1.1.15)	rxn13782
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00929
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	rxn00931
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Pyrroline-5-carboxylate reductase (EC 1.5.1.2), ProG-like	rxn00929
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Pyrroline-5-carboxylate reductase (EC 1.5.1.2), ProG-like	rxn00931
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	Pyrroline-5-carboxylate reductase (EC 1.5.1.2), ProG-like	rxn02356
